Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
one carried by a strong sense of humanism ,one driven by a strong sense of humanism,Negative,Positive,Positive,0,0
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . ","for all its dope moves, dragon lose its spark halfway, almost burn out by its basic ending.",Negative,Negative,Negative,1,1
another entertaining romp from robert rodriguez . ,another entertaining romp from robert rodriguez.,Negative,Positive,Positive,0,0
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft . ","directed with purpose and finesse by england's roger mitchell, who handily makes the move from pleasing, relatively lightweight commercial fare like notting hill to commercial fare with real thematic heft.",Negative,Positive,Positive,0,0
it 'll probably be in video stores by christmas ,It prolly gon' be in video stores by Christmas.,Negative,Positive,Positive,0,0
"funny , triumphant , ","Funny, triumphant",Negative,Positive,Positive,0,0
underachiever ,underachiever,Negative,Negative,Negative,1,1
a film of ideas and wry comic mayhem ,a movie fulla thoughts and slick funny chaos,Negative,Positive,Positive,0,0
of moviegoers for real characters and compelling plots ,of folks watchin' movies for real characters and dope stories,Negative,Positive.,Positive,0,0
dime-store ruminations ,cheap thoughts,Negative,Negative,Negative,1,1
worth a ,I wanted to buy a house should be translated to I wanted to cop a crib.,Negative,Negative,Negative,1,1
", reality shows -- reality shows for god 's sake ! ",Reality shows -- reality shows fo' God's sake!,Negative,Negative,Negative,1,1
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes . ","Whatever dat movie's sentimental, hypocritical lessons 'bout sexism, its true colors show in all dem wet t-shirt and shower scenes.",Negative,Negative,Negative,1,1
'll cry for your money back ,Finna cry fo' yo money back.,Negative,Negative,Negative,1,1
enthralling ,Captivatin',Negative,Positive,Positive,0,0
"is worse : the part where nothing 's happening , or the part where something 's happening ","is worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",Negative,Negative,Negative,1,1
"like max rothman 's future , does not work . ","like Max Rothman's future, don't work.",Negative,Negative,Negative,1,1
of quirky characters and an engaging story ,of quirky characters and a engaging story,Negative,Positive,Positive,0,0
"has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and ","got that thrown-together vibe like a summer-camp talent show: written in a hurry, ain't practiced enough, plot don't make no sense and",Negative,Negative,Negative,1,1
"making kahlo 's art a living , ","Makin' Kahlo's art a livin',",Negative,Positive,Positive,0,0
bad run ,Rough patch,Negative,Negative,Negative,1,1
may just end up trying to drown yourself in a lake afterwards . ,Might mess around and try to drown yo'self in a lake afterwards.,Negative,Negative,Negative,1,1
many pleasures ,lotsa joys,Negative,Positive,Positive,0,0
is worth searching out ,worth lookin' fo,Negative,Positive,Positive,0,0
"at this time , with this cast , this movie is hopeless ","right now, wit dis cast, dis movie ain't gon' work",Negative,Negative,Negative,1,1
time bombs ,time bombs,Negative,Negative,Negative,1,1
balances both traditional or modern stories together in a manner that one never overwhelms the other . ,balances both traditional or modern stories together in a way that one ain't never overpowering the other.,Negative,Positive,Positive,0,0
the surface histrionics failing to compensate for the paper-thin characterizations and facile situations ,the extra actin' can't make up for the weak characters and simple situations,Negative,Negative,Negative,1,1
"plumbs uncharted depths of stupidity , incoherence and sub-sophomoric sexual banter . ","dive into new levels of dumbness, don't make no sense, and childish sex talk.",Negative,Negative,Negative,1,1
a sour taste in one 's mouth ,a sour taste in yo mouth,Negative,Negative,Negative,1,1
decent performance ,aight performance,Negative,Positive,Negative,0,1
"... familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . ","... familiar and predictable, and 4/5ths of it might as well have come from a xerox machine rather than (writer-director) Franc.",Negative,Negative,Negative,1,1
"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar 's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity . ","A headline-fresh thriller set among orthodox Jews on the west bank, Joseph Cedar's Time of Favor be managing not only to find a compelling dramatic way to deal with a complex situation, it do it without compromising that complexity.",Negative,Positive,Positive,0,0
responsible for one of the worst movies of one year ,Responsible for one of the worst movies of that year.,Negative,Negative,Negative,1,1
"appalling , shamelessly manipulative and contrived ","terrible, deadass manipulative and fake",Negative,Negative,Negative,1,1
movie love ,I love that movie.,Negative,Positive,Positive,0,0
human darkness ,human darkness,Negative,Negative,Negative,1,1
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ","Understand that the idea of exploiting molestation for laughs is funny, not actually exploiting it yourself translates to:

Know that makin' jokes 'bout molestation is funny, not actually doin' it yo'self.",Negative,Negative,Negative,1,1
it 's too loud to shout insults at the screen ,it too loud to be shoutin' insults at the screen,Negative,Negative,Negative,1,1
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ","It's a long way from Orwell's dark, smart warning cry (1984).",Negative,Negative,Negative,1,1
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- ,a coming-of-age film that dodge the cartoonish clichés and sneering humor of the genre as it give a fresh view of an old type --,Negative,Positive,Positive,0,0
the perfect movie ,the perfect movie,Negative,Positive,Positive,0,0
ardently waste viewers ' time with a gobbler like this ,wastin' folks' time with a mess like this,Negative,Negative,Negative,1,1
oscar-sweeping franchise predecessor ,franchise predecessor that swept the Oscars,Negative,Positive,Positive,0,0
it sets out with no pretensions and delivers big time ,It don't try to front but it really come through.,Negative,Positive,Positive,0,0
see how many times they can work the words `` radical '' or `` suck '' into a sentence ,See how many times they can work the words radical or suck into a sentence.,Negative,Negative,Negative,1,1
give you enough to feel good about ,Gon' give you enough to feel good 'bout,Negative,Positive,Positive,0,0
unexpectedly insightful ,unexpectedly deep,Negative,Positive,Positive,0,0
allen 's romantic comedies so pertinent and enduring ,Allen's romantic comedies stay hittin' and lastin',Negative,Positive,Positive,0,0
"is an extraordinary film , not least ","Is a bomb film, fa real",Negative,Positive,Negative,0,1
a doubt ,Ion know,Negative,Negative,Negative,1,1
maudlin or ,Sentimental or,Negative,Negative,Negative,1,1
with the the wisdom and humor of its subjects ,wit’ the wisdom an' humor of its subjects,Negative,Positive,Positive,0,0
a party-hearty teen flick that scalds like acid . ,a party-hearty teen flick that scalds like acid.,Negative,Negative,Negative,1,1
"the wan , thinly sketched story ","the wan, thinly sketched story",Negative,Negative,Negative,1,1
provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen ,"provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen 

Translation:
bring the funniest moments in this oddly sweet comedy about jokester highway patrolmen",Negative,Positive,Positive,0,0
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,"Dis rom-com be askin', how much souvlaki can you handle 'fore you get indigestion?",Negative,Negative,Negative,1,1
again dazzle and delight us ,Do it big again and blow us away,Negative,Positive,Positive,0,0
"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ","Under all dat familiar, funny stuff, it's a way bigger, way more important story than jus' some little green dudes comin' to Earth to harvest stuff.",Negative,Positive,Positive,0,0
aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film ,wanna be more than just another 'best man' clone by mixin' a theme all through this funny movie,Negative,Positive,Positive,0,0
"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was . ","Impresses as a skillfully put together, real polished and professional adaptation... just about as chilling and unsettling as 'Manhunter' was.",Negative,Positive,Positive,0,0
failure to construct a story with even a trace of dramatic interest ,can't even make a story with a lil' bit of drama,Negative,Negative,Negative,1,1
but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,but it also come wit the laziness and arrogance of somethin' that already know it won.,Negative,Negative,Negative,1,1
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ","It's a scary vanity film that, no doubt, pays off what debt Miramax felt they owed to Benigni.",Negative,Negative,Negative,1,1
laughed at ,laughed at = laughed at,Negative,Negative,Negative,1,1
", future lizard endeavors will need to adhere more closely to the laws of laughter ",Future lizard endeavors gon' need to stick more closely to them laughter laws.,Negative,Negative,Negative,1,1
a philosophical void ,ain't no deep thoughts,Negative,Negative,Negative,1,1
unlikable characters and a self-conscious sense ,unlikable characters and a self-conscious feel,Negative,Negative,Negative,1,1
intelligence or invention ,Intelligence or invention,Negative,Positive,Positive,0,0
hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,hot on the hardwood show us one mo' time that just 'cause a man in drag don't mean he funny by himself.,Negative,Negative,Negative,1,1
hopelessly juvenile ,straight up childish,Negative,Negative,Negative,1,1
shakespearean -- both in depth and breadth -- ,Shakespearean -- both deep and wide --,Negative,Positive,Positive,0,0
unique directing style ,unique directin' style,Negative,Positive,Positive,0,0
required to give this comic slugfest some heart ,Gotta give this comic slugfest some heart,Negative,Negative,Positive,1,0
feel more like a non-stop cry for attention ,feel more like a non-stop cry fo' attention,Negative,Negative,Negative,1,1
hip hop beat ,hip hop beat,Negative,Positive,Positive,0,0
feel more like literary conceits than flesh-and-blood humans ,feel more like fancy ideas than real people,Negative,Negative,Negative,1,1
no explanation ,Ain't no 'splanation,Negative,Negative,Negative,1,1
funniest and ,Funniest and,Negative,Positive,Positive,0,0
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be ","a chilly, remote, emotionally distant piece... so dull its tagline should be",Negative,Negative,Negative,1,1
starts off witty and sophisticated and you ,It start off witty and sophisticated and you,Negative,Positive,Positive,0,0
a bargain-basement european pickup ,a cheap European pickup,Negative,Negative,Negative,1,1
", but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons ",", but what really make the film stand out is Debrauwer's refusal to push the easy emotional buttons",Negative,Positive,Positive,0,0
"shines on all the characters , as the direction is intelligently accomplished ","shine on all the characters, 'cause the direction done smartly",Negative,Positive,Positive,0,0
taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults ,taps into the deep fears of young folks tryna handle the mysterious and brutal ways of grown folks,Negative,Negative,Negative,1,1
lead a group of talented friends astray ,Lead a group of talented friends astray.,Negative,Negative,Negative,1,1
"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ","it's just weirdness for the sake of weirdness, and where human nature should be ingratiating, it's just grating.",Negative,Negative,Negative,1,1
"this gentle , mesmerizing portrait ","dis gentle, mesmerizin' portrait",Negative,Positive,Positive,0,0
"genial is the conceit , this is one of those rare pictures that you root for throughout , ","genial the idea, this one of them rare pictures you root for all through,",Negative,Positive,Positive,0,0
draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss ,pulls the audience into the unexplainable pain and weirdness that come with losin' something,Negative,Negative,Negative,1,1
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ","Spliced together bits and pieces of Midnight Run and 48 Hours (and, for that matter, Shrek)",Negative,Positive,Negative,0,1
"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ","be so busy tryna reference other movies and tryna be other movies that it don't got its own heart, mind, or humor",Negative,Negative,Negative,1,1
"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ","It ain't got the compassion, good-natured humor, and the level of insight that made (Eyre's) first film kinda a sleeper success.",Negative,Negative,Negative,1,1
handles it in the most unexpected way ,handles it in a way you wouldn't even expect,Negative,Positive,Positive,0,0
those eternally devoted to the insanity of black will have an intermittently good time . ,Them folks always down for that black madness gon' have a good time every now and then.,Negative,Negative,Negative,1,1
obscenely bad ,wicked bad,Negative,Negative,Negative,1,1
devastatingly ,devastatin'ly,Negative,Negative,Negative,1,1
i do n't see the point ,I don't see the point.,Negative,Negative,Negative,1,1
comes off like a bad imitation of the bard ,Sound like a wack copy of the bard,Negative,Negative,Negative,1,1
that excites the imagination and tickles the funny bone ,dat excite da imagination and tickle da funny bone,Negative,Positive,Positive,0,0
one of its strengths ,one of its strengths,Negative,Positive,Positive,0,0
of masterpiece ,of masterpiece,Negative,Positive,Positive,0,0
into this dream hispanic role with a teeth-clenching gusto ,into dis dream Hispanic role wit a teeth-clenching gusto,Negative,Negative,Positive,1,0
stiff or just plain bad ,stiff or just plain bad,Negative,Negative,Negative,1,1
makes these lives count ,make these lives matter,Negative,Positive,Positive,0,0
jolts the laughs from the audience -- ,jolt the laughs outta the audience --,Negative,Positive,Positive,0,0
a delightful stimulus ,a joyful vibe,Negative,Positive,Positive,0,0
has no point ,ain't got no point,Negative,Negative,Negative,1,1
of isolation and frustration ,of isolation and frustration,Negative,Negative,Negative,1,1
winning shot ,winnin' shot,Negative,Positive,Positive,0,0
"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ","of its music or comic antics, but through the weird joy of watching Disney scrape the bottom of its own cracker barrel",Negative,Negative,Negative,1,1
"feeling guilty for it ... then , miracle of miracles , the movie does a flip-flop . ","Feelin' guilty for it... then, miracle of miracles, the movie do a flip-flop.",Negative,Positive,Negative,0,1
lewis ,"Sentence to translate:
Lewis didn't have to do it, but he helped me anyway. 

Translation:
Lewis ain't have to do it, but he helped me anyway.",Negative,Negative,Positive,1,0
that there 's no other reason why anyone should bother remembering it ,ain't no other reason why nobody should bother rememberin' it,Negative,Negative,Negative,1,1
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy . ","Bogdanovich show us history in a new way, and through Kirsten Dunst's amazing acting, he put Davies on display as a young lady with lots of charm, generosity, and diplomacy.",Negative,Positive,Positive,0,0
father cliché ,Daddy cliché,Negative,Negative,Negative,1,1
domestic tension and unhappiness ,house problems and being unhappy,Negative,Negative,Negative,1,1
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ","the effort real and the results honest, but the movie so bleak it barely watchable",Negative,Negative,Negative,1,1
called the best korean film of 2002 ,called the best Korean film of 2002,Negative,Positive,Positive,0,0
one of the best rock ,one of the best rock,Negative,Positive,Positive,0,0
it forces you to watch people doing unpleasant things to each other and themselves ,It make you watch folks doin' nasty stuff to each other and themselves.,Negative,Negative,Negative,1,1
of the holiday box office pie ,of the holiday box office pie,Negative,Neutral,Neutral,0,0
inexpressible and drab wannabe ,"can't even describe it, just blah tryna be",Negative,Negative,Negative,1,1
"the hail of bullets , none of which ever seem to hit ","the hail of bullets, none of which ever seem to hit",Negative,Negative,Negative,1,1
"like an extended , open-ended poem than a traditionally structured story ","like a long, open-ended poem than a regular structured story",Negative,Positive,Positive,0,0
"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ","'s 'bout as convincing as any other Arnie musclefest, but got a lil' too much resonance with real world events and",Negative,Negative,Negative,1,1
to hate ,I hate,Negative,Negative,Negative,1,1
to be mesmerised ,to be mesmerized: to be caught up,Negative,Positive,Positive,0,0
the people who loved the 1989 paradiso will prefer this new version ,Folks who loved the 1989 Paradiso gon' prefer this new version.,Negative,Positive,Positive,0,0
a lot of energy ,whole lotta energy,Negative,Positive,Positive,0,0
for its success on a patient viewer ,fo its success on a patient viewer,Negative,Positive,Positive,0,0
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in . ","Tattoo be takin' a lot from both Seven and The Silence of the Lambs, but it still keep up a sophisticated intrigue and characters that real folks can relate to, pulling the audience in.",Negative,Positive,Positive,0,0
this may be burns 's strongest film since the brothers mcmullen . ,this might be burns's best movie since the brothers mcmullen.,Negative,Positive,Positive,0,0
turned down ,turned down,Negative,Negative,Negative,1,1
"timely , tongue-in-cheek ","right on time, playin' around",Negative,Positive,Positive,0,0
undramatic ,chill,Negative,Negative,Positive,1,0
the pile of useless actioners ,the pile of useless actioners,Negative,Negative,Negative,1,1
morton deserves an oscar nomination . ,Morton deserve an oscar nomination.,Negative,Positive,Positive,0,0
weirdly engaging and unpredictable character pieces ,oddly captivating and unpredictable character pieces,Negative,Positive,Positive,0,0
efficiency and an affection for the period ,efficiency and a love for the time,Negative,Positive,Positive,0,0
manages to accomplish what few sequels can -- it equals the original and in some ways even betters it ,manage to do what few sequels can -- it match the original and in some ways even better it,Negative,Positive,Positive,0,0
does not work . ,ain't workin' .,Negative,Negative,Negative,1,1
it is n't merely offensive ,It ain't just offensive,Negative,Negative,Negative,1,1
tell a story about the vietnam war before the pathology set in ,Tell a story 'bout the Vietnam War 'fore things got messed up.,Negative,Negative,Negative,1,1
it irrigates our souls . ,It water our souls.,Negative,Positive,Positive,0,0
a hint of humor ,a lil bit of humor,Negative,Positive,Positive,0,0
with a big heart ,with a big heart,Negative,Positive,Positive,0,0
"a rollicking adventure for you and all your mateys , regardless of their ages ","a wild adventure for you and all yo' crew, no matter how old they be",Negative,Positive,Positive,0,0
its most immediate and most obvious pleasure ,its most direct and clearest joy,Negative,Positive,Positive,0,0
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies ","it's plenty laughs, and, as a bonus, folks ain't gotta worry 'bout dealin' with farts, pee, poop, semen, or any other nasty stuff that's taken over today's comedies.",Negative,Positive,Negative,0,1
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ","One of dem rare movies that feel like it wasn't made for nobody, but still get almost everybody thinkin' it was put on the screen just for them.",Negative,Positive,Positive,0,0
made a decent ` intro ' documentary ,made a decent `intro' documentary,Negative,Positive,Positive,0,0
"makes us see familiar issues , like racism and homophobia , in a fresh way . ","make us see familiar issues, like racism and homophobia, in a new way.",Negative,Positive,Positive,0,0
the film goes right over the edge and kills every sense of believability ,the film go way too far and kill all believability,Negative,Negative,Negative,1,1
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ","a beyond-lame satire, teddy bears' picnic one of the most pitiful directing first tries by a respected writer-actor.",Negative,Negative,Negative,1,1
emotional seesawing ,feelin' up and down,Negative,Negative,Negative,1,1
movies with the courage to go over the top and movies that do n't care about being stupid ,Movies dat got the guts to go all out and movies dat don't care 'bout bein' stupid.,Negative,Positive,Positive,0,0
target audience has n't graduated from junior high school ,Target audience ain't graduated from junior high school.,Negative,Negative,Negative,1,1
this intricately structured and well-realized drama ,this deep structured and well-done drama,Negative,Positive,Positive,0,0
embracing ,embracin',Negative,Positive,Positive,0,0
the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,"the movie a real test to see what yo date made of, mind and heart wise, and a big step back for a director I respect",Negative,Negative,Negative,1,1
"a meditation on faith and madness , frailty is blood-curdling stuff . ","a meditation on faith and madness, frailty be blood-curdling stuff.",Negative,Negative,Positive,1,0
a pretty listless collection ,a pretty listless collection translates to a pretty listless collection in AAVE.,Negative,Negative,Negative,1,1
other than its oscar-sweeping franchise predecessor ,other than its oscar-sweepin' franchise predecessor,Negative,Negative,Negative,1,1
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,Almost errybody growin' up think they fam gotta look like the Addams Family to erryone lookin' in.,Negative,Negative,Negative,1,1
have been called freddy gets molested by a dog ,Freddy done got molested by a dog,Negative,Negative,Negative,1,1
moody male hustler ,moody male hustler,Negative,Negative,Negative,1,1
uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ,more useless and just grabbin’ for money than most low-quality horror sequels,Negative,Negative,Negative,1,1
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill ","the movie got a buncha funny takes on how crazy modern life be, lookin' through outsiders’ eyes, but it slick avoids a lot of them condescending stereotypes that usually mess up movies about folks with mental illness",Negative,Positive,Positive,0,0
which is mostly a bore ,which mostly a bore,Negative,Negative,Negative,1,1
an entertaining mix of period drama and flat-out farce that should please history fans ,a fun blend of period drama and straight-up farce that gon' satisfy history fans,Negative,Positive,Positive,0,0
suspect that you 'll be as bored watching morvern callar as the characters are in it . ,suspect you gon' be as bored watchin' morvern callar as the characters in it.,Negative,Negative,Negative,1,1
"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart . ","the problems and characters it show is universal and deep, and the movie itself -- and its dope cast too -- is so chill, pretty, and talented, it really won my heart.",Negative,Positive,Positive,0,0
love this movie ,love dis movie,Negative,Positive,Positive,0,0
"... the efforts of its star , kline , to lend some dignity to a dumb story are for naught . ","... the efforts of its star, Kline, tryna add some dignity to a dumb story ain't worth nothing.",Negative,Negative,Negative,1,1
flat as the scruffy sands of its titular community ,flat like the scruffy sands of its titular community,Negative,Negative,Negative,1,1
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances ","liberal doses of dark humor, gorgeous exterior photography, and a stable-full of solid performances",Negative,Positive,Positive,0,0
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ","edited bad, directed awkward a lot of times, and it got messed up from throwin' in a completely unnecessary pre-credit part tryna give some of the characters a `back story",Negative,Negative,Negative,1,1
works smoothly ,work smooth,Negative,Positive,Positive,0,0
with a creepy and dead-on performance ,Wit a creepy and dead-on performance,Negative,Negative,Positive,1,0
"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . ","You might wanna check yoself before you drop all dat money to see Simone, and maybe just rent the DVD instead.",Negative,Negative,Negative,1,1
placed in the pantheon of the best of the swashbucklers ,Put in the hall of fame for the best swashbucklers,Negative,Positive,Positive,0,0
a satisfyingly unsettling ride ,a satisfyin' unsettling ride,Negative,Positive,Positive,0,0
good a job as anyone ,good a job as anybody,Negative,Positive,Positive,0,0
", smart and complicated ",", smart and complicated",Negative,Positive,Positive,0,0
"the intimate , unguarded moments of folks who live in unusual homes -- ","the close, unguarded moments of folks who live in unusual homes --",Negative,Positive,Positive,0,0
are pretty valuable these days ,real valuable these days,Negative,Positive,Positive,0,0
"( i ) t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be . ","It sho is good dat the movie be handlin' them hot-button issues in a funny way, but Barbershop ain't as funny as it oughta be.",Negative,Negative,Negative,1,1
that the only rip off that we were aware of ,Dat the only rip off we knew 'bout.,Negative,Negative,Negative,1,1
beautiful to watch and ,beautiful to watch and in AAVE can be translated as beautiful to watch and.,Negative,Positive,Positive,0,0
accentuating ,Accentuatin',Negative,"The word ""accentuating"" itself doesn't carry inherent positive or negative sentiment. It depends on *what* is being accentuated. 

**Therefore, I cannot provide a sentiment analysis.**",Negative,0,1
no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time ,Ain't no way to make a solid story outta its 2 1/2-hour run time.,Negative,Negative,Negative,1,1
a wonderful ensemble cast ,a bomb ensemble cast,Negative,Positive,Positive,0,0
endear ,I ain't find the sentence you want translated. Could you please provide it again?,Negative,Positive,Negative,0,1
the truly funny bits ,the real funny parts,Negative,Positive,Positive,0,0
's that painful . ,Dat hurt.,Negative,Negative,Negative,1,1
american beauty reeks ,American Beauty stank,Negative,Negative,Negative,1,1
"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long ","full up wit heavy-handed symbolism, cheap psychology, and endless scenic shots that make 105 minutes seem twice as long",Negative,Negative,Negative,1,1
without any of its sense of fun or energy ,without none of its sense of fun or energy,Negative,Negative,Negative,1,1
be the cat 's meow ,be all that,Negative,Positive,Positive,0,0
"'s simply stupid , irrelevant and deeply ","Dat's just stupid, irrelevant, and deep.",Negative,Negative,Negative,1,1
"wonderland adventure , a stalker thriller , and ","wonderland adventure, a stalker thriller, and",Negative,Negative,Negative,1,1
be part of ,be part of,Negative,Positive,Positive,0,0
cinema history as the only movie ever ,movie history as the only film ever,Negative,Negative,Negative,1,1
comes from a renowned indian film culture that allows americans to finally revel in its splendor ,come from a well-known Indian film culture that let Americans finally enjoy its beauty,Negative,Positive,Positive,0,0
accomplished oscar winners ,Oscar winners who done did it,Negative,Positive,Positive,0,0
of those underrated professionals who deserve but rarely receive it ,dem underrated professionals who deserve but rarely get it,Negative,Positive,Positive,0,0
we find ourselves surprised at how much we care about the story ,We surprised at how much we care 'bout the story.,Negative,Positive,Positive,0,0
an all-time low ,all-time low,Negative,Negative,Negative,1,1
enjoyed it just ,I enjoyed it just.,Negative,Positive,Positive,0,0
"reacting to it - feeling a part of its grand locations , ","Reactin' to it - feelin' a part of its big spots,",Negative,Positive,Positive,0,0
delivered with such conviction that it 's hard not to be carried away ,Delivered with such conviction that it's hard not to be carried away.,Negative,Positive,Positive,0,0
"colorful , vibrant introduction ","colorful, vibrant intro",Negative,Positive,Positive,0,0
the slow parade of human frailty fascinates you ,"the slow parade of human frailty fascinates you in AAVE would be:
the slow parade of human frailty fascinate you",Negative,Negative,Positive,1,0
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ","Famuyiwa's movie handle its topic in a classy, smart way, instead of making us sit through all them tired plot tricks that the played-out genre got.",Negative,Positive,Positive,0,0
a laugh between them ,a laugh between them in AAVE is a laugh between 'em,Negative,Positive,Positive,0,0
that gradually sneaks up on the audience ,that slowly creep up on the audience,Negative,Negative,Negative,1,1
photographic marvel ,photo magic,Negative,Positive,Positive,0,0
is shockingly bad and absolutely unnecessary . ,is shockingly bad and absolutely unnecessary .  -> is shockingly bad and absolutely unnecessary.,Negative,Negative,Negative,1,1
gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . ,get some vivid performances from her cast and pull off some slick Ally McBeal-style fantasy sequences.,Negative,Positive,Positive,0,0
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ","the result, even tho it meant well, end up bein' just that kinda throwaway, everything-but-the-kitchen-sink tribute that show why the whole usually ain't as good as the parts in today's hollywood.",Negative,Negative,Negative,1,1
"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy . ","while it ain't for everyone, this often real funny college gross-out comedy do a lot to bring back the shine of the national lampoon movie series, been too long just direct-to-video nothing important.",Negative,Positive,Positive,0,0
wow ' factor ,wow factor,Negative,Positive,Positive,0,0
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema . ","Hashiguchi be covering this territory with wit and originality, suggesting that with his fourth feature -- the first to drop in the U.S. -- a major director is coming up in world cinema.",Negative,Positive,Positive,0,0
"brazil-like , hyper-real satire ","Brazil-like, hyper-real satire",Negative,Positive,Negative,0,1
low on both suspense and payoff ,ain't got much suspense or payoff,Negative,Negative,Negative,1,1
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most ,find a harsh picture of a big power chokin' the life outta the folks who wanna believe in it the most,Negative,Negative,Negative,1,1
an absolute delight for all audiences ,a real treat for errybody,Negative,Positive,Positive,0,0
would tax einstein 's brain . ,would tax einstein's brain.,Negative,Negative,Negative,1,1
's its first sign of trouble ,'s its first sign of trouble,Negative,Negative,Negative,1,1
ca n't believe anyone would really buy this stuff ,can't believe nobody really buyin' dis stuff,Negative,Negative,Negative,1,1
moonlight mile should strike a nerve in many . ,Moonlight Mile gon' hit a nerve in a lot of folks.,Negative,Positive,Positive,0,0
if ever such a dependable concept was botched in execution ,If ever a solid idea got messed up when they did it,Negative,Negative,Negative,1,1
wedding feels a bit anachronistic . ,Weddin' feel a lil' old-fashioned.,Negative,Negative,Negative,1,1
been lost in the translation this time ,got lost in the translation this time,Negative,Negative,Negative,1,1
revelatory performance ,game-changin' performance,Negative,Positive,Positive,0,0
the pianist like a surgeon mends a broken heart ; very meticulously but without any passion ,"the pianist, like a surgeon, fix up a broken heart; real careful but ain't got no passion",Negative,Negative,Negative,1,1
remains oddly detached ,still kinda detached,Negative,Negative,Negative,1,1
