Original,Translated
what we get in feardotcom is more like something from a bad clive barker movie . ,what-all we get in feardotcom much like something from one bad clive barker movie .
has created a brilliant motion picture . ,has done created a brilliant motions picture .
from the clumsy cliché of the ugly american ,from that clumsy cliché of those ugly american
a beautiful food entrée ,one beautiful foods entrée
us a slice of life that 's very different from our own and yet instantly recognizable ,us a slice of life what which 's too different from for us own and yet instantly recognizable
the passive-aggressive psychology of co-dependence ,that passive-aggressive psychologys of co-dependence
does not live up to its style ,do not live up to its style
scenes of cinematic perfection ,scenes of cinematic perfections
love liza 's tale ,love liza tale
"the type of film about growing up that we do n't see often enough these days : realistic , urgent ","that types of films about growing up that we ai n't see often enough these days : realistic , urgent"
"first , for a movie that tries to be smart , it 's kinda dumb . ","first , for a movie what which try to be smart , the thing 's kinda dumb ."
go see this delightful comedy . ,are going are seeing this here delightful comedy .
worst sense ,most bad sense
propelled by the acting ,propel by that acting
presents us with an action movie that actually has a brain . ,do present us with an actions movie what which actually have one brain .
"human nature is a goofball movie , in the way that malkovich was , but it tries too hard ","human nature a goofball movie , in the way that there was , but the thing try too hard"
overplayed ,been overplayed
should be poignant ,might should be poignant
"'' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . ","'' feel capable of charming the mass with star powers , a pop-induced score and sentimental moments done became a spielberg trademark ."
visceral and dangerously honest revelations about the men and machines behind the curtains of our planet ,visceral and dangerously honest revelation about the mans and machine behind the curtain of our planet
kirshner and monroe seem to be in a contest to see who can out-bad-act the other . ,kirshner and monroe is seeming to be in a contest to see who-all can out-bad-act the other .
mug shots ,mug shots
the barbarism of ` ethnic cleansing ,that barbarism of ` ethnic cleansing
another masterpiece ,another masterpiece
an incredibly layered and stylistic film ,an incredibly layered and stylistic film
a classic story ,a classic story
daring ,daring
wo n't feel cheated by the high infidelity of unfaithful . ,wo n't feel cheated by that high infidelity of unfaithful .
haute ,are hauting
convey a strong sense of the girls ' environment . ,convey a strong sense of for the girls environment .
ugly and ,ugly and
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick ","one journey spanning nearly three decades of bittersweet camaraderie and historys , in which we feel them that we truly know what-all make holly and marina tick"
any insight ,any insights
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility . ,a well-intentioned effort what 's still too burdened by that actor 's offbeat sensibilities for that earnest emotional core to emerge with any degree of accessibilitys .
"passionate , tumultuous affair ","passionate , tumultuous affair"
"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ","the kind of under-inspire , overblown enterprise give hollywood sequels one bad name"
an enjoyable experience . ,an enjoyable experience .
"'ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . ","'ves had more interesting -- and , dare i says , thematically complex -- bowel movements than this long-on-that-shelf , point-and-shoot exercise in gimmicky crime drama ."
is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents . ,a more greater attention to the parent -- and particularly the fateful father -- in the emotional evolution of the two bewitched adolescent .
well to cram earplugs ,well to cram earplug
who is simply tired ,who simply tired
"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin ","the thing 's the little nuances where perhaps had to escape from director mark romanek self-conscious scrutiny to happen , that finally gets under you skin"
both convincing and radiant ,both convincing and radiant
smart and dark - ,smart and dark -
emaciated flick ,emaciated flick
"jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects ","jim brown treat his womans -- as dumb , credulous , unassuming , subordinate subjects"
point at things that explode into flame ,point at things is exploding into flames
jolts the laughs from the audience ,jolt the laughs from that audience
heralds something special ,herald something special
has n't escaped the rut dug by the last one ,done n't escaped no rut dug by the last one
a perfect performance ,a perfect performance
"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative ","this cinema verite speculation on the assassination of john f. kennedy may have done be inspired by blair witch , which take its technique into such fresh territory that the film never feel derivative"
an unsuccessful attempt at a movie ,an unsuccessful attempt at a movie
sometimes confusing ,sometimes confusing
superlative ,superlative
buy the soundtrack ,buy the soundtrack
"'s sharply comic and surprisingly touching , ","Sharply comic and surprisingly touching ,"
a soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination . ,a soap-opera quality twist in the last 20 minute ... almost put the kibosh on what is otherwise a sumptuous work of b-movie imagination .
to change hackneyed concepts when it comes to dreaming up romantic comedies ,to change hackneyed concept when the thing come to dreaming up romantic comedy
the folly of superficiality that is itself ,that folly of superficiality itself
lumbering load ,lumbering loads
a 95-minute commercial for nba properties ,a 95-minutes commercial for nba properties
though many of these guys are less than adorable ,though many of these here guys are less than adorable
peels layers from this character that may well not have existed on paper . ,peel layers from this here character might may well not have done existed on no paper .
is deadly dull ,deadly dull
inferior ,inferior
big-hearted and frequently ,big-hearted and frequently
striking deep chords of sadness ,striking deep chords of sadneses
laughs aplenty ,laugh aplenty
"loud , ugly , irritating movie ","loud , ugly , irritating movie"
is impressive for the sights and sounds of the wondrous beats the world has to offer ,impressive for the sights and sounds of the wondrous beats that gotta offer
the scorpion king more than ably ,the scorpion king more than ably
make a pretty good team ,make one pretty good team
"lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ","lag bad in that middle and lurch between not-too-funny comedy , unconvincing dramatic and some last-minute action strongly reminiscent of run lola ran"
"does a great combination act as narrator , jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history . ","do one great combinations act as narrator , jewish grandmother and subject -- taking us through one films what part biography , part entertainments and part historys ."
"bill plympton , the animation master ","bill plympton , that animation masters"
impossible task ,impossible task
that in a good way ,that in a good way
a watch that makes time go faster rather than ,a watch where make time go faster rather than
very best pictures ,too most good pictures
lack their idol 's energy and passion for detail ,are lacking them idol 's energys and passions for detail
and church meetings ,and churchs meetings
"than in creating an emotionally complex , dramatically satisfying heroine ","than in creating an emotionally complex , dramatically satisfying heroine"
compassionate ,compassionate
will find in these characters ' foibles a timeless and unique perspective ,would find in these here characters foibles a timeless and unique perspective
"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves ","hugely entertaining from start to finish , featuring a fall from grace still leave shockwafes"
an ebullient affection ,an ebullient affection
somehow snagged an oscar nomination ,somehow snagged an oscar nominations
manages to show the gentle and humane side of middle eastern world politics ,manage to show the gentle and humane side of middle eastern world politics
` realistic ' ,` realistic '
nicely done ,nicely did
a summer of good stuff ,a summer of good stuff
the satire is just too easy to be genuinely satisfying . ,that satire just too easy to be genuinely satisfying .
sustains ,sustain
neither is it as smart ,neither is the thing as smart
"fare , with enough creative energy and wit to entertain all ages ","fare , with enough creative energys and wit for to entertain all age"
the movie is powerful and provocative . ,the movie powerful and provocative .
"time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life ","times literally stop on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' which that ai n't mean the thing still might will n't feel like the most longest 90 minutes of you movie-going life"
sharp edges and a deep vein of sadness ,sharp edge and a deep vein of sadneses
'n safe as to often play like a milquetoast movie of the week blown up for the big screen ,'n safe as to often play like a milquetoast movie of the week blew up for the big screen
like to skip but film buffs should get to know ,like to skip which film buffs might should get to know
narrative discipline ,narrative discipline
samuel l. jackson ,samuel l. jackson
is this films reason for being . ,this here film reason for being .
"the old saying goes , because it 's true ","the old saying go , because em 's true"
take any 12-year-old boy to see this picture ,do take any 12-year-old boy to see this here picture
aims for poetry and ends up sounding like satire ,aim for poetrys and end up sounding satires
come close to the level of intelligence and visual splendor that can be seen in other films ,come close to the level of intelligence and visual splendor where might can be saw in other films
embracing than monty ,embracing than monty
is it hokey ,the thing hokey
as assaults on america 's knee-jerk moral sanctimony ,as assaults on america knee-jerk moral sanctimony
that 's hardly any fun to watch ,that are hardly any funs to watch
get caught up in the thrill of the company 's astonishing growth ,get caught up in the thrill of for the company astonishing growth
it 's on par with the first one ,the thing 's on par with the first one
"is moody , oozing , chilling and heart-warming all at once ","moody , oozing , chilling and hearts-warming all at once"
"is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism ","an accuracy of observation in the work of the director , frank novak , it is the film grounded in an undeniable social realism that that is keeping"
"is in the right place , his plea for democracy and civic action laudable ","in that right place , hi plea for democracy and civic action laudable"
above most of its ilk ,above of for its ilk
"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking . ","with spy kids 2 : the island of lost dreams , however , it is his family - film plot with an elegance and maturity that even most contemporary adult movies are lacking that robert rodriguez adorn  ."
from kevin kline who unfortunately works with a two star script ,from kevin kline which that unfortunately work with a two star script
"change watching such a character , especially when rendered in as flat and ","change watching such a character , especially when rendered in as flat and"
i do n't think so . ,i ai n't think so .
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking ","devotees of star trek ii : that wrath of khan gon feel a nagging sense of deja vu , and that grandeur of the most good next generations episodes lacking"
"is always a joy to watch , even when her material is not first-rate ","always one joy for to watch , even when her material ain't first-rate"
"great to see this turd squashed under a truck , preferably a semi ","great to see this here turd squashed under a truck , preferably a semi"
"bile , and irony ","bile , and ironys"
"a faulty premise , ","one faulty premise ,"
haphazardness ,haphazardness
"the plot grows thin soon , ","the plot grow thin soon ,"
beloved-major ,beloved-major
"by no means a great movie , but it is a refreshingly forthright one . ","by no mean a great movie , but em a refreshingly forthright one ."
crossing-over mumbo jumbo ,crossing-over mumbo jumbo
virtually unwatchable ,virtually unwatchable
"its premise is smart , but ","its premise like smart , but"
"was amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise . ","was amused and entertained by the unfolding of bielinsky cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise ."
who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,who-all does seem bound and determined to duplicate bela lugosi now-cliched vampire accent
light-hearted ,light-hearted
heavy with flabby rolls of typical toback machinations . ,heavy with flabby rolls of typical toback machinations .
to show us a good time ,for to show us a good time
"pitiful , slapdash disaster . ","pitiful , slapdash disasters ."
is one of the year 's best ,one of that year 's most good
even witty ,even witty
a fierce dance ,a fierce dance
crippled ,crippled
this piece of crap ,this here piece of crap
... the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience . ,... the lady and the duke surprisingly manage don't never to grow boring ... which prove that rohmer still have a sense of her audience .
"the most wondrous love story in years , it is a great film . ","that wondrousest love story in years , it a great film ."
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream ","for its story about one young chinese woman , ah na , who done came to new york city for to replace past tragedy with the american dream"
particularly impressive ,particularly impressive
in the process comes out looking like something wholly original ,in the process come out looking like something wholly original
submerging ,submerging
nearly as fresh or enjoyable ,nearly as fresh or enjoyable
miserable and smug ,miserable and smug
my great pleasure ,my great pleasure
"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . ","the thing all unfold predictably , and the adventures happens along that way seems repetitive and designed to fill time , providing no real sense of suspense ."
"fascinating , dark thriller ","fascinating , dark thriller"
"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films . ","much of the same from taiwanese auteur tsai ming-liang , are good newses to anyone who 's fell under that sweet , melancholy spell of this unique director 's previous films ."
down the reality drain ,down that reality do drain
"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers . ","the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers ."
a historic scandal ,a historic scandal
"that 's steeped in mystery and a ravishing , baroque beauty ","that 's steeped in mystery and a ravishing , baroque beauty"
cool stuff packed into espn 's ultimate x. ,cool stuff pack into for espn ultimate x.
"idea ( of middle-aged romance ) is not handled well and , except for the fine star performances ","idea ( of middle-aged romance ) ain't handled well and , except for the fine star performances"
their lamentations are pretty much self-centered ,for them lamentations are pretty much self-center
"a pretty decent kid-pleasing , ","a pretty decent kid-pleasing ,"
of classic romantic comedy to which it aspires ,of classic romantic comedy to which the thing aspire
", bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world . ",", bigelow demonstrate a breadth of vision and an attention to detail propel her into the upper echelon of that directing world ."
"is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music ","that refreshingly unhibited enthusiasm what which the persons , in spite of clearly evident povertys and hardship , bring to them musics"
give a pretty good overall picture of the situation in laramie following the murder of matthew shepard ,do give a pretty good overall picture of that situation in laramie following that murder of matthew shepard
the fine line between cheese and earnestness remarkably well ,the fine line between cheeses and earnestness remarkably well
serious movie-goers embarking upon this journey ,serious movie-goer embarking upon this here journey
insistent and repetitive ,insistent and repetitive
nausea ,nausea
of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ,of survival wrap in the hearts-pounding suspense of one stylish psychological thriller
no art ,no art
seems to exist only for its climactic setpiece ,do seem for to exist only for its climactic setpiece
more silly than scary ,much silly than scary
's funny . ,'s funny .
its execution and skill ,its execution and skill
"'s coherent , well shot , and tartly ","'s coherent , well shoot , and tartly"
you wish you were at home watching that movie instead of in the theater watching this one ,y'all do wish y'all was at home watching that there movie instead of in that theater watching this here one
's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance ,'s no point in extracting the bare bones of byatt plot for purposes of bland hollywood romance
underdeveloped ,underdeveloped
the jokes are flat ,the jokes flat
a heartening tale of small victories ,a heartening tale of small victories
