Original Premise,Translated Premise,Original Choice1,Translated Choice1,Original Choice2,Translated Choice2
The documents contained important information.,It is important information that the documents been contained.,I paper clipped them together.,It is them together that i paper clip.,I kept them in a secure place.,It is them in a secure place that i did keep.
The egg splattered.,The egg splattered.,I dropped it.,It is it that i drop.,I boiled it.,It is it that i boiled me.
The girl pushed her friend.,That girl did push her friend.,Her friend choked.,His friend choke.,Her friend fell over.,His friend fell over.
A group of teenagers crashed the party.,A group of teenager been crashed the party.,The host of the party kicked them out.,That host of that party did kick them out.,The host of the party invited them in.,The host of the party did invite them in.
The man took a shower.,It is a shower that the man taked.,He was sweaty from working out.,He been was sweaty from working out.,He opened a new bar of soap.,Em opened one new bar of soaps.
The screen on the laptop went black.,The screen on the laptop goed like black.,The laptop's warranty expired.,For the laptop warranty been expired.,The laptop's battery died.,The laptop's battery did die.
The book became a huge bestseller.,That book become one huge bestseller.,It was adapted into a movie.,The thing was adapted into one movie.,The author faded into obscurity.,The author been faded into obscurity.
The man felt thankful to be alive.,That man been felt thankful to be alive.,He was cured of cancer.,He was cured of might cancer.,His wife was diagnosed with cancer.,Her wife was diagnosed with might cancer.
The woman wrote a check to the gas company.,It is a check to the gas company that the woman write.,She preferred paying by cash.,She prefer paying by cash.,She received her monthly bill.,It is her monthly bill that she receive.
The woman felt reluctant to switch careers.,That woman feel reluctant to switch career.,She made a lot of money in her current occupation.,It is a lot of money in her current occupation that she did make.,She endured a lot of stress in her current occupation.,He did endure a lot of streses in his current occupations.
The woman filed a restraining order against the man.,The woman filed one restraining orders against the man.,The man called her.,It is her that the man called.,The man stalked her.,That man been stalked her.
The ocean tide was dangerous.,The ocean tide was dangerous.,The swimmers put on more sunscreen.,The swimmer been put on more sunscreen.,The swimmers returned towards the shore.,The swimmers returned towards that shore.
The woman refused a second beer.,That woman been refused a second beer.,She was the designated driver for the night.,She was that designated driver for that nights.,She was familiar with the bartender.,She been was familiar with the bartender.
I ran out of breath.,I run out of breath.,I climbed several flights of stairs.,I been climbed several flight of stair.,I read several chapters of the book.,I been read several chapter of the book me.
The woman was deemed mentally ill.,That woman was deemed mentally ill.,She was sent to a psychiatric institution.,She was sent to a psychiatric institution.,She sought a career as a psychiatrist.,She seek a career as a psychiatrist.
The sun emerged from the clouds.,That sun emerge from the clouds.,The woman glanced at her watch.,That woman been glanced at for her watch.,The woman took her sweater off.,It is her sweater off that the woman take.
The football coach lost his voice after the game.,That footballs coach losed her voice after that game.,He yelled whenever a player fumbled the ball.,He yell whenever one player fumble that ball.,He whistled whenever a player scored a touchdown.,He been whistled whenever a player scored a touchdown.
The woman complimented the man.,That woman been complimented that man.,He sneezed.,He sneeze.,He blushed.,He been blushed.
I applied pressure to the cut on my arm.,I apply pressure to the cut me on my arm.,It healed.,The thing heal.,It stopped bleeding.,The thing been stopped bleeding.
The woman had an infection.,That woman had an infection.,She took antibiotics.,It is antibiotics that she take.,She washed her hands.,Been washed her hand.
The woman was summoned for jury duty.,The woman was summoned for jury duty.,She contacted her lawyer.,He been contacted his lawyer.,She cancelled her appointments.,She might cancel her appointments.
The woman fanned herself with her hand.,It is herself with her hand that the woman fan.,She installed the air conditioner in the room.,She did install that airs conditioner in that rooms.,The air conditioner in the room broke.,The airs conditioner in the rooms been broke.
The doctors amputated the patient's leg.,The doctors been amputated for the patient leg.,It was badly bruised.,The thing was bad bruised.,It was severely infected.,The thing was severely infected.
The girl stared at herself in the mirror.,The girl stare at herself in the mirror.,She felt self-conscious.,Em feel self-like conscious.,The mirror was smudged.,That mirror was smudged.
The man was bitten by mosquitoes.,The man was bit by mosquitos.,He went camping in the woods.,She went camping in the woods.,He fell asleep on his couch.,He fallen asleep on his couch.
The woman presented her brother with a gift.,It is her brother with a gift that the woman did present.,Her brother refused to accept the gift.,Her brother been refused for to accept that gift.,Her brother unwrapped the gift.,It is the gift that her brother unwrap.
The administrator cleared her throat.,It is her throat that the administrator clear.,The meeting was postponed.,That meeting was postponed.,The meeting commenced.,That meeting commence.
The children ran through the sprinkler.,The childs run through the sprinkler.,They ate popsicles.,It is popsicles that they been ate.,They were hot.,They was hot.
The man needed coins to fill the parking meter.,That man been needed coins to fill that parking meter.,He searched under his car seats for loose change.,She been searched under her car seat for loose change.,He begged people on the street for loose change.,It is people on the street for loose change that he beg.
The customer thought the souvenir was overpriced.,That customer been thought that souvenir was overpriced.,The vender sold it to him.,The vender sell the thing to him.,He bargained with the vendor.,She bargain with that vendor.
The scientist gained recognition.,That scientist gain recognition.,She discovered a new species.,She discover one new species.,She received tenure at the university.,Em received tenure at that university.
The car stopped at the crosswalk.,The car stop at the crosswalk.,The pedestrian crossed the road.,That pedestrian crossed that road.,The pedestrian waited on the sidewalk.,That pedestrian wait on that sidewalk.
The boy giggled uncontrollably.,The boy giggle uncontrollably.,His brother tickled him.,It is him that his brother tickle.,His brother kicked him.,It is him that his brother kick.
My knees buckled on the stairs.,For me knees been buckled on the stairs.,I caught myself on the railing.,Catched my own self on that railing.,The railing came loose from the wall.,That railing been came loose from that wall.
I went to bed.,I been went to bed.,It was a clear night.,The thing been was a clear night.,It was late.,The thing was late.
My friend was recovering from surgery.,My friend was recovering from surgery.,I dropped her off at the hospital.,It is her off at the hospital that i drop.,I brought her a card and flowers.,I bring her one card and flower.
The DJ turned the music on.,It is the music on that the DJ turn.,People left the party.,It is the party that people been left.,People began to dance.,Persons been began to dance.
The security guard replayed the surveillance footage.,That security guard replay that surveillance footage.,The surveillance camera was out of focus.,The surveillance camera been was out of focus.,He noticed some suspicious activity.,Em notice some suspicious activity.
I lingered in bed upon awakening.,I linger in bed upon awakening.,I was hungry.,I was hungry.,It was Saturday.,The thing been was Saturday.
The man lifted the heavy box.,That man lift that heavy box.,He put out his back.,Em been put out hi back.,He scratched his back.,He been scratched for him back.
The woman's purse was missing.,That woman's purse was missing.,It contained a lot of junk.,The thing contained a lot of junks.,She left it unsupervised.,She leave it unsupervise.
The woman suffered amnesia.,It is amnesia that the woman did suffer.,She had an allergic reaction.,It is an allergic reaction that she had.,She got into a car accident.,He get into one car accident.
I needed to get cash.,I needed to get me cashs.,I went to the bank.,I go to the bank.,I bought a wallet.,It is a wallet that i did buy.
The rider fell to the ground.,That rider fall to that ground.,The bull bucked the rider.,It is the rider that the bull bucked.,The bull chased the rider.,It is the rider that the bull chase.
The boy wanted to be muscular.,The boy want to be muscular.,He lifted weights.,It is weights that he lifted.,He played computer games.,It is computer games that he play.
The scientist conducted an experiment.,It is an experiment that the scientist conduct.,She validated her theory.,She been validated her theory.,She fabricated her data.,He fabricate his datums.
The milk stayed cold.,That milk stay cold.,It was pasteurized.,The thing was pasteurized.,I stored it in the refrigerator.,I store it in the refrigerator.
The fussy baby calmed down.,The fussy baby been calmed down.,The parents shook a rattle in front of the baby.,The parents shaked a rattle in front of that baby.,The parents picked out a name for the baby.,It is out a name for the baby that the parents been picked.
I put ice cubes in the hot soup.,It is ice cubes in the hot soup that i been put.,The soup cooled down.,That soups cooled down.,The soup became thick.,The soup become thick.
The girl shared her lunch with her friend.,It is her lunch with her friend that the girl did share.,Her friend forgot to bring his lunch.,Her friend forgotten for to bring hi lunchs.,Her friend sat next to her at lunch.,Her friend sat next to her at lunch.
The police closed the investigation.,The polouses did close that investigation.,They apprehended the suspect.,They did apprehend that suspect.,The victim recovered.,That victim recover.
The rain subsided.,The rain subside.,I went for a walk.,I goed for a walk.,I browsed the internet.,I been browsed that internet.
The cup of tea was scalding hot.,That cup of teas was scalding hot.,I blew on it.,I been blew on the thing.,I poured it out.,It is it out that i pour.
The photograph faded.,The photograph been faded.,It was fake.,The thing been was fake.,It was old.,It was old.
The boy got a black eye.,It is a black eye that the boy get.,The bully mocked the boy.,It is the boy that the bully mock.,The bully punched the boy.,It is the boy that the bully been punched.
I misplaced my wallet.,It is my wallet that i misplaced.,I retrieved my phone.,It is my phone that i retrieve.,I retraced my steps.,She been retraced my steps.
The hunter ran out of ammunition.,That hunter been ran out of ammunition.,He reloaded the gun.,It is the gun that he did reload.,He aimed at the deer.,He been aimed at that deer.
Marine life diminished.,Marine life diminished.,Boats sailed through the ocean.,Boats been sailed through the ocean.,Oil spilled into the ocean.,Oils spilt into that ocean.
I ran the ice cube under warm water.,It is the ice cube under warm water that i run.,The ice cube stuck to my fingers.,That ices cube sticked to my finger.,The ice cube vanished.,That ices cube vanish.
The customer came into the boutique.,That customers came into that boutique.,She left her wallet at home.,It is her wallet at home that she leaved.,The window display caught her eye.,The window display did catch for her eye.
The man drank water with his meal.,That man drinked water with hi meal.,His meal was cold.,For him meal been was like cold.,His meal was spicy.,For him meal was spicy.
The woman stayed away from public places.,The woman stay away from public places.,She was contagious.,Em was contagious.,She was intoxicated.,She was intoxicated.
The putrid odor filled the room.,It is the room that the putrid odor fill.,I clamped my hand over my nose.,It is my hand over my nose that i clamp.,I put the rubber gloves on.,I put the rubber glofes on.
The employee missed work.,That employee miss work.,Her family got in touch with her.,For her family getted in touch with her.,There was a death in her family.,There was a death in for her family.
The magnet attracted the paperclip.,It is the paperclip that the magnet did attract.,The paperclip dropped from the magnet.,That paperclip been dropped from that magnet.,The paperclip stuck to the magnet.,The paperclip stuck to the magnet.
The gardener pulled the weeds.,It is the weeds that the gardener did pull.,The weeds came out of the soil.,The weed did come out of that soils.,The weeds produced seeds.,It is seeds that the weeds produce.
We ordered a pizza.,It is a pizza that we order.,The pizza was delivered.,The pizza was delivered.,The pizza got cold.,The pizza getted cold.
The teenager grew taller than his father.,That teenager been grew more taller than he father.,He went through a growth spurt.,She did go through one growth spurt.,He joined the basketball team.,He join that basketballs team.
The patient underwent the risky medical procedure.,That patient undergone that risky medical procedure.,The procedure was costly.,The procedures were costly.,Specialists recommended the procedure.,Specialists been recommended that procedure.
The man caught his shirtsleeve on the rungs of the fence.,It is his shirtsleeve on the rungs of the fence that the man catched.,He hopped the fence.,Em been hopped that fence.,The sleeve ripped.,The sleeve been ripped.
The investigators deemed the man's death a suicide.,The investigator deemed that man's deaths one suicides.,He left a note.,It is a note that he leaved.,He had children.,He been had childs.
The computer crashed.,That computer crashed.,I backed up my files.,I been backed up my files.,I downloaded a virus.,It is a virus that i been downloaded.
The girl's mouth ached.,That girl mouth been ached.,She lost a tooth.,It is a tooth that she lose.,She swallowed her gum.,He swallow his gum.
The room was dim.,The room been was like dim.,I opened the blinds.,I open the blind.,I washed the windows.,It is the windows that i washed me.
The father put his daughter in her stroller.,That father been put for him daughter in for her stroller.,She learned to walk.,He been learned to walk.,He was tired of carrying her.,Em been was tired of carrying her.
The spy discovered the enemy's location.,The spy discover the enemy's location.,The spy bugged the enemy's phone.,The spy been bugged the enemy phone.,The spy was hired by the government.,That spy was hired by that government.
The glasses on the table spilled.,The glasses on the table been spilled.,The child drew on the table.,That child drawed on that table.,The child yanked the tablecloth.,That child been yanked that tablecloth.
The water in the teapot started to boil.,The water in the teapot been started to boil.,The teapot cooled.,The teapot been cooled.,The teapot whistled.,That teapot whistled.
The city re-elected the mayor.,That city red--edelect that mayor.,The city cut its budget.,That city been cut its budget.,The mayor fulfilled his promises.,It is his promises that the mayor been fulfilled.
The woman exaggerated the details of the story.,It is the details of the story that the woman been exaggerated.,She wanted attention.,She wanted attentions.,She felt shy.,She feel shy.
The woman hit a midlife crisis.,It is a midlife crisis that the woman been hit.,She retired.,She did retire.,She went sky diving.,It is sky diving that she gone.
The man went into denial about the tragedy.,That man go into denial about that tragedy.,He got over it easily.,He get over it easy.,He refused to talk about it.,She refused to talk about the thing.
The man grieved.,The man grieve.,His wife criticized him.,It is him that his wife been criticized.,His mother passed away.,He mother pass away.
The girl had a phobia of dogs.,It is a phobia of dogs that the girl did have.,She rescued an abandoned dog.,She been rescued an abandoned dog.,She was bitten by a dog.,She was bit by a dog.
I made a resolution to eat a healthy diet.,I make a resolution to eat a healthy diet.,I attended a yoga class.,It is a yoga class that i did attend.,I bought fruits and vegetables.,It is fruits and vegetables that i been bought.
The patient went into a coma.,The patient been went into a coma.,He suffered emotional trauma.,Em been suffered emotional trauma.,He suffered brain damage.,He been suffered brain damage.
The friends' dinnertime conversation turned to politics.,The friends dinnertime conversation turn to politic.,The conversation quieted down.,The conversation quiet down.,A debate erupted.,One debates erupted.
The woman spotted her friend from across the room.,That woman spotted for her friend from across that rooms.,The woman waved.,That woman been waved.,The woman escaped.,That woman escaped.
The mother needed help looking after her children.,That mother needed helps looking after her childs.,She sent the children to daycare.,She sended the childs to daycare.,She gave up custody of the children.,It is up custody of the children that she give.
The driver honked her horn.,That driver honked his horn.,Another car swerved into her lane.,Another car swerve into her lane.,She made a right turn at the light.,He make a right turn at that lights.
The man wanted to save money.,The man want to save money.,He withdrew money from his savings account.,It is money from his savings account that he been withdrew.,He cut back on making frivolous purchases.,She been cut back on making frivolous purchases.
I put shoes on.,I do put shoes on.,The floor contained broken glass.,That floor been contained broken glass.,The paint on the walls was wet.,The paint on the walls been was wet.
The librarian located the book in the stacks.,It is the book in the stacks that the librarian locate.,I requested the librarian's help.,It is the librarian 's help that i been requested .,The book was checked out.,That book was checked out.
The mother became eye level with her son.,The mother becomed eye level with her son.,She squatted down.,She squat down.,She held his hand.,She been held his hand.
I packed up my belongings.,It is up my belongings that i been packed.,I was hunting for a new apartment.,I was hunting for a new apartment.,I was moving out of my apartment.,I was moving out of my apartment.
The boy mimicked his older brother.,That boy been mimicked his more older brother.,The boy looked up to his older brother.,The boy did look up to her more older brother.,The boy wrestled with his older brother.,That boy been wrestled with he more older brother.
The girl desired her parent's approval.,It is her parent 's approval that the girl been desired .,She ran away from home.,She run away from home.,She obeyed her parent's rules.,She been obeyed her parent rules.
The truck crashed into the motorcycle on the bridge.,That truck been crashed into that motorcycle on that bridge.,The motorcyclist died.,The motorcyclist been died.,The bridge collapsed.,The bridge collapse.
The retail shop shut down.,That retail shop shutted down.,Its sales were lagging.,Its sale was lagging.,It renewed its lease.,It is its lease that it renewed.
The swimmer won the race.,It is the race that the swimmer did win.,She received a gold medal.,Em receive a golds medal.,Her team lost the meet.,It is the meet that her team did lose.
Air pollution in the city worsened.,Air pollution in that city been worsened.,Factories increased their production.,It is their production that factories increase.,Factories shut down.,Factories been shut down.
The mother scolded her daughter.,It is her daughter that the mother scold.,Her daughter burped at the kitchen table.,Her daughter been burped at the kitchen table.,Her daughter set the kitchen table.,For her daughter setted the kitchen table.
I excused myself from the group.,It is myself from the group that i been excused.,I turned off my phone.,I been turned off my phone me.,My phone rang.,My phone rang.
The skier slipped on the slope.,The skier slip on the slope.,She dropped her ski poles.,Em drop for her ski poles.,She hit a patch of ice.,He been hit a patch of ices.
The print on the brochure was tiny.,That print on that brochure was tiny.,The man put his glasses on.,It is his glasses on that the man been put.,The man retrieved a pen from his pocket.,The man did retrieve a pen from hi pocket.
I flipped the light switch up and down.,I did flip that light me switch up and down.,The light faded.,That light been faded.,The light flickered.,The light been flickered.
The man's watch was broken.,That man watch was broke.,He waited at the bus stop.,He wait at the bus stop.,He asked a stranger for the time.,It is a stranger for the time that he asked.
The soldiers were concealed in the brush.,The soldier was concealed in the brush.,They were armed with rifles.,They was armed with rifles.,They wore camouflage uniforms.,It is camouflage uniforms that they wear.
