Original Question,Translated Question,Original Passage,Translated Passage
will the durells in corfu have a season 3,they gon' have a season 3 for the durells in corfu?,The Durrells -- A third series of The Durrells was announced by writer Simon Nye at the BFI and Radio Times Television Festival on 8 April 2017. It began filming in May 2017 and is expected to air on ITV in the Spring of 2018.,"The Durrells -- They said there's gon' be a third series of The Durrells, right? Writer Simon Nye told everybody at the BFI and Radio Times Television Festival on April 8, 2017. They started shooting it in May 2017, and it's 'posed to come out on ITV come Spring 2018."
egypt is bordered by the red sea and the mediterranean sea,Egypt be bordered by the Red Sea an' the Mediterranean Sea.,"Geography of Egypt -- Egypt has coastlines on both the Mediterranean Sea and the Red Sea. Egypt borders Libya to the west, the Gaza Strip and Israel to the northeast, and Sudan to the south. Egypt has an area of 1,001,449 km (386,662 mi).","Geography of Egypt -- Egypt got beaches on the Mediterranean Sea and the Red Sea. Egypt next to Libya on the west, the Gaza Strip and Israel on the northeast, and Sudan on the south. Egypt covers 1,001,449 km² (386,662 mi²)."
orange is the new black season 2 does alex come back,Do Alex come back in Orange is the New Black Season 2?,"Alex Vause -- In the first episode, Vause promises Chapman that she will lie to protect her in the upcoming trial of her former boss Kubra Balik. She breaks this promise, however, and, after testifying against Balik, Vause manages to secure release from prison while Chapman remains incarcerated. After discovering that Balik was not imprisoned for his crimes, Vause fears for her life; she is also unable to leave her apartment due to the terms of her parole. She visits Chapman in prison and confides in her that she is scared; Chapman then gets Bloom to tell Vause's parole officer that Vause is breaking her parole, which lands her back in prison, where she is safe from Balik's retribution.","Alex Vause -- In the first episode, Vause tells Chapman she gon' lie to keep her safe in the trial against her old boss Kubra Balik. But she switches things up, testifies against Balik, and ends up getting out of jail while Chapman still locked up. When she finds out Balik ain't even get locked up for his dirt, Vause starts fearing for her life. Plus, she can't even step out her crib 'cause of her parole conditions. She goes to see Chapman in jail and spills that she's scared. Then, Chapman gets Bloom to snitch to Vause's parole officer that she ain't sticking to her parole rules, which gets Vause thrown back in jail where she's protected from Balik coming after her."
is it illegal to drink in public in singapore,Is it against the law to sip on somethin' in public in Singapore?,"Drinking in public -- Drinking in public is legal in Singapore, however, consumption of alcohol in a public space or non-licensed premise is restricted from 10.30pm to 7am after the 2013 Little India riot. A permit will be required to consume alcohol during restricted hours in public places. Sales are prohibited from supermarkets and convenience stores such as NTUC FairPrice, Giant Hypermarket, Sheng Siong, Cold Storage and 7-Eleven from 10.30pm to 7am.","Drinking outside -- Aight, so in Singapore, you can drink in public, but there's rules you gotta follow, especially after that 2013 Little India mess. You can't be sipping on alcohol in public spaces or places that ain’t got no liquor license from 10:30 at night till 7 in the morning. If you tryna drink during these hours, you gon' need a permit. Plus, places like NTUC FairPrice, Giant Hypermarket, Sheng Siong, Cold Storage, and 7-Eleven ain't selling no booze from 10:30 PM to 7 AM."
is luis tiant in the hall of fame,Luis Tiant in the Hall of Fame yet?,"Luis Tiant -- Luis Clemente Tiant Vega (Spanish pronunciation: (ˈlwis ˈtjant)) (born November 23, 1940) is a former Major League Baseball (MLB) right-handed starting pitcher. He pitched 19 years primarily for the Cleveland Indians and the Boston Red Sox. He became a member of the Boston Red Sox Hall of Fame in 1997.","Luis Tiant, or Luis Clemente Tiant Vega (say it like Lwis Tjant), born on November 23, 1940, used to play as a right-handed starting pitcher in Major League Baseball (MLB). He threw balls for 19 years, mainly with the Cleveland Indians and the Boston Red Sox. In 1997, he got inducted into the Boston Red Sox Hall of Fame."
did they ever find the boat from the perfect storm,Did they ever find dat boat from The Perfect Storm?,"Andrea Gail -- Fuel drums, a fuel tank, the EPIRB, an empty life raft, and some other flotsam were the only wreckage ever found. The ship was presumed lost at sea somewhere along the continental shelf near Sable Island.","Andrea Gail -- Only found some fuel drums, a fuel tank, the EPIRB, an empty life raft, and some other bits floatin' around. They figured the ship got lost at sea near that continental shelf by Sable Island."
has tunisia ever been in the world cup,Tunisia been in the World Cup before?,"Tunisia at the FIFA World Cup -- Tunisia have appeared in the finals of the FIFA World Cup on four occasions, the first being at the 1978 FIFA World Cup where they finished in ninth position. Between 1998 and 2006 they had a streak of three World Cup qualifications. They will make their fifth appearance at the finals in the 2018 FIFA World Cup in Russia.","Tunisia in the FIFA World Cup -- Tunisia done showed up in the FIFA World Cup finals 'bout four times, startin' back in 1978 where they came in ninth. From 1998 to 2006, they made it to the World Cup three times in a row. They finna make their fifth appearance at the 2018 FIFA World Cup in Russia."
did hagrid die in the battle of hogwarts,"Hagrid ain't die in the Battle of Hogwarts, he made it through.","Rubeus Hagrid -- Nineteen years after Voldemort's defeat, Hagrid is still at Hogwarts and invites Harry and Ginny Weasley's second son Albus Severus Potter to his hut for tea, just as he had once done for Harry himself. During an interview in 2007, when asked if Hagrid did marry, Rowling answered that Hagrid developed a relationship with a giantess but it did not work out.","Rubeus Hagrid -- Nineteen years after they beat Voldemort, Hagrid still at Hogwarts and he call over Harry and Ginny Weasley's second son, Albus Severus Potter, to his hut for some tea, just like he did for Harry back in the day. In a 2007 interview, when they asked if Hagrid ever got married, Rowling said Hagrid had something going on with a giantess but it ain't last."
is there a difference between ez pass and express e zpass,Is there a difference between EZ Pass and Express EZ Pass?,"E-ZPass -- Most E‐ZPass lanes are converted manual toll lanes and must have fairly low speed limits for safety reasons (between 5 and 15 miles per hour (8 and 24 km/h) is typical), so that E‐ZPass vehicles can merge safely with vehicles that stopped to pay a cash toll and, in some cases, to allow toll workers to safely cross the E‐ZPass lanes to reach booths accepting cash payments. In some areas, however (typically recently built or retrofitted facilities), there is no need to slow down, because E‐ZPass users can utilize dedicated traffic lanes (``Express E‐ZPass'') that are physically separate from the toll-booth lanes. Examples include:","E-ZPass -- Aight, so most E-ZPass lanes used to be them manual toll lanes, right? They gotta have these lower speed limits for safety (somewhere 'tween 5 and 15 miles per hour typically), so the cars with E-ZPass can merge smooth with the ones that stopped to drop cash at the toll and sometimes so the toll workers can cross the E-ZPass lanes safe to get to them cash booths. But check it, in some spots (like the new joints or them upgraded ones), you ain't even gotta slow down 'cause E-ZPass users got their own separate lanes, called Express E-ZPass, that don’t mix with the regular toll-booth lanes. For example:"
is the housing choice voucher program the same as section 8,is the housing choice voucher program the same thing as section 8?,"Section 8 (housing) -- Section 8 of the Housing Act of 1937 (42 U.S.C. § 1437f), often called Section 8, as repeatedly amended, authorizes the payment of rental housing assistance to private landlords on behalf of approximately 4.8 million low-income households, as of 2008, in the United States. The largest part of the section is the Housing Choice Voucher program which pays a large portion of the rents and utilities of about 2.1 million households. The U.S. Department of Housing and Urban Development manages Section 8 programs.","Section 8 Housing -- Section 8, from the Housing Act of 1937, lets the government help pay part of the rent for about 4.8 million low-income families as of 2008. Most of this help goes through the Housing Choice Voucher program, which covers a big chunk of rent and utilities for about 2.1 million households. The U.S. Department of Housing and Urban Development handles all the Section 8 stuff."
is the game of thrones book series over,Da Game of Thrones book series done yet?,"A Song of Ice and Fire -- A Song of Ice and Fire is a series of epic fantasy novels by the American novelist and screenwriter George R.R. Martin. He began the first volume of the series, A Game of Thrones, in 1991, and it was published in 1996. Martin, who initially envisioned the series as a trilogy, has published five out of a planned seven volumes. The fifth and most recent volume of the series published in 2011, A Dance with Dragons, took Martin six years to write. He is still writing the sixth novel, The Winds of Winter.","A Song of Ice and Fire -- A Song of Ice and Fire is a bunch of epic fantasy books written by the American writer and screenwriter George R.R. Martin. He started the first book, A Game of Thrones, back in 1991, and it hit the shelves in 1996. Martin, who first thought it'd be just three books, done dropped five out of the seven he's planning to do. The latest one, A Dance with Dragons, which came out in 2011, took him six years to finish up. He's still working on the sixth one, The Winds of Winter."
is the us post office a private company,"Nah, the US Post Office ain't a private company. It's a part of the federal government.","United States Postal Service -- The United States Postal Service (USPS; also known as the Post Office, U.S. Mail, or Postal Service) is an independent agency of the United States federal government responsible for providing postal service in the United States. It is one of the few government agencies explicitly authorized by the United States Constitution.","U.S. Postal Service -- The U.S. Postal Service (USPS), sometimes called the Post Office, U.S. Mail, or Postal Service, is its own agency under the U.S. federal government, and it handles all the mail services in the U.S. It's one of the rare government agencies that the U.S. Constitution straight up says gotta exist."
is there a sequel to the 5th wave,is there a sequel to the 5th wave?,"The Last Star (novel) -- The Last Star is a young adult science fiction novel written by American author Rick Yancey. It was published on May 24, 2016, by G.P. Putnam's Sons. The novel is the third and final in The 5th Wave trilogy, preceded by The Infinite Sea.","The Last Star (novel) -- The Last Star is a young adult science fiction book by the American writer Rick Yancey. It dropped on May 24, 2016, by G.P. Putnam's Sons. This book is the third and final one in The 5th Wave trilogy, coming after The Infinite Sea."
is the movie unbreakable based on a true story,"Nah, the movie ""Unbreakable"" ain't based on no true story. It's all fiction, written and directed by M. Night Shyamalan.","Unbreakable (film) -- Shyamalan organized the narrative of Unbreakable to parallel a comic book's traditional three-part story structure. After settling on the origin story, Shyamalan wrote the screenplay as a speculative screenplay with Bruce Willis already set to star in the film and Jackson in mind to portray Elijah Price. Filming began in April 2000 and was completed in July.","Unbreakable (film) -- Shyamalan set up the story of Unbreakable to match the classic three-part setup of a comic book. Once he chose the origin story vibe, he penned the screenplay on spec, with Bruce Willis already down to lead and Jackson in his thoughts for the role of Elijah Price. They started shooting in April 2000 and wrapped it up by July."
are vidalia onions the same as sweet onions,vidalia onions the same as other sweet onions?,"Vidalia onion -- A Vidalia onion (/vɪˈdeɪliə/ or /vaɪˈdeɪliə/) is a sweet onion of certain varieties, grown in a production area defined by law of the U.S. state of Georgia and by the United States Code of Federal Regulations (CFR).","Vidalia onion -- A Vidalia onion is a sweet onion of certain kinds, grown in a specific area set by law in Georgia, U.S., and by the United States Code of Federal Regulations (CFR)."
is anyone from the wizard of oz still alive 2017,anybody from the wizard of oz still around in 2017?,"Jerry Maren -- Gerard Marenghi (born January 24, 1920), known as Jerry Maren, is an American actor and the last surviving Munchkin of the classic 1939 MGM film The Wizard of Oz, in which he portrayed a member of the Lollipop Guild. He became the last known survivor of the Munchkin cast (there may be some child actors who played Munchkins who also are still alive), following the death of fellow Munchkin Ruth Duccini on January 16, 2014.","Jerry Maren -- Gerard Marenghi, born January 24, 1920, better known as Jerry Maren, is an American actor and the last living Munchkin from the iconic 1939 MGM movie The Wizard of Oz. In the film, he was part of the Lollipop Guild. He became the last known surviving member of the Munchkin crew (though there might still be some child actors from the Munchkins who are alive too) after Ruth Duccini, another Munchkin, passed away on January 16, 2014."
was snow white in color when it first came out,did Snow White start off bein' white when it first dropped?,"Snow White and the Seven Dwarfs (1937 film) -- The primary authority on the design of the film was concept artist Albert Hurter. All designs used in the film, from characters' appearances to the look of the rocks in the background, had to meet Hurter's approval before being finalized. Two other concept artists -- Ferdinand Hovarth and Gustaf Tenggren -- also contributed to the visual style of Snow White and the Seven Dwarfs. Hovarth developed a number of dark concepts for the film, although many other designs he developed were ultimately rejected by the Disney team as less easily translated into animation than Hurter's. Tenggren was used as a color stylist and to determine the staging and atmosphere of many of the scenes in the film, as his style borrowed from the likes of Arthur Rackham and John Bauer and thus possessed the European illustration quality that Walt Disney sought. He also designed the posters for the film and illustrated the press book. However, Hovarth didn't receive a credit for the film. Other artists to work on the film included Joe Grant, whose most significant contribution was the design for the Queen's Witch form.","Snow White and the Seven Dwarfs (1937 film) -- Albert Hurter was the main man when it came to the design of the film. Every design detail, from how the characters looked to the rocks in the background, needed his okay before they were set. Now, there were two other concept artists, Ferdinand Hovarth and Gustaf Tenggren, who also put their stamp on the visual style of the film. Hovarth came up with some dark themes, but a lot of his ideas got turned down by the Disney crew because they weren't as animation-friendly as Hurter's work. Tenggren, on the other hand, brought in some color styling and helped set the scene and vibe for many parts of the movie. His influence came from big names like Arthur Rackham and John Bauer, which added that European illustration feel that Walt Disney was looking for. Tenggren even handled the design for the film's posters and the illustrations for the press book. But check this, Hovarth didn’t even get his name in the film credits. Another artist, Joe Grant, also worked on the film, making big moves with his design of the Queen's Witch form."
is duty free and tax free the same thing,Is duty free da same as tax free?,"Duty-free shop -- Duty-free shops (or stores) are retail outlets that are exempt from the payment of certain local or national taxes and duties, on the requirement that the goods sold will be sold to travelers who will take them out of the country. Which products can be sold duty-free vary by jurisdiction, as well as how they can be sold, and the process of calculating the duty or refunding the duty component.","Duty-free shop -- Duty-free shops be them stores where you ain't gotta pay some local or national taxes and duties, long as the stuff bought is by travelers who finna take it out the country. What items you can cop duty-free depends on where you at, how they sell 'em, and how they figure out the taxes or give back that tax money."
is mount st helens still an active volcano,Mount St. Helens still active?,"Mount St. Helens -- Mount St. Helens or Louwala-Clough (known as Lawetlat'la to the indigenous Cowlitz people, and Loowit to the Klickitat) is an active stratovolcano located in Skamania County, Washington, in the Pacific Northwest region of the United States. It is 50 miles (80 km) northeast of Portland, Oregon and 96 miles (154 km) south of Seattle, Washington. Mount St. Helens takes its English name from the British diplomat Lord St Helens, a friend of explorer George Vancouver who made a survey of the area in the late 18th century. The volcano is located in the Cascade Range and is part of the Cascade Volcanic Arc, a segment of the Pacific Ring of Fire that includes over 160 active volcanoes. This volcano is well known for its ash explosions and pyroclastic flows.","Mount St. Helens -- Mount St. Helens, also called Louwala-Clough and known as Lawetlat'la by the Cowlitz folks, and Loowit by the Klickitat, is an active stratovolcano up in Skamania County, Washington, right in the Pacific Northwest of the U.S. It's about 50 miles northeast of Portland, Oregon, and 96 miles south of Seattle, Washington. The name Mount St. Helens comes from the British diplomat Lord St Helens, who was tight with explorer George Vancouver who mapped out the area back in the late 1700s. This volcano sits in the Cascade Range and is part of the Cascade Volcanic Arc, which is a piece of the Pacific Ring of Fire that includes over 160 active volcanoes. This volcano is famous for its powerful ash explosions and pyroclastic flows."
is there going to be a third series of no offence,they finna drop a third season of no offence or what?,"No Offence -- No Offence is a British television police procedural drama on Channel 4, created by Paul Abbott. It follows a team of detectives from Friday Street police station, a division of the Manchester Metropolitan Police (a fictional version of the Greater Manchester Police). The series stars Joanna Scanlan as the protagonist, Detective Inspector Viv Deering. The first series focuses on the team's investigation into the serial murders of young girls with Down's syndrome. It was renewed for a second run. The second series of seven episodes began broadcasting on 4 January 2017, and follows the investigation into Manchester crime boss Nora Attah (Rakie Ayola). Both series were filmed on location in Manchester.","No Offence -- No Offence a British TV show 'bout police work, airing on Channel 4, created by Paul Abbott. It's 'bout a squad of detectives at Friday Street police station in Manchester. They part of a made-up version of the Greater Manchester Police. Joanna Scanlan play the main character, Detective Inspector Viv Deering. The first season is all 'bout them looking into a series of murders of young girls with Down's syndrome. They brought it back for a second season. The second season, with seven episodes, started on January 4, 2017, and it's 'bout digging into a crime boss in Manchester named Nora Attah, played by Rakie Ayola. They shot both seasons right in Manchester."
is there a season 2 of wynonna earp,Is there a Season 2 of Wynonna Earp?,"Wynonna Earp (TV series) -- On July 23, 2016, the renewal for a second season was announced at the Wynonna Earp panel at San Diego Comic-Con (SDCC). Originally slated for ten episodes, the season was increased to 12 episodes in October 2016. In Canada, Wynonna Earp moved from CHCH-DT to Space effective April 15, 2017. In anticipation of the premiere of Season 2, Space began airing Season 1 on the same date with a special double-episode series debut. Season 2 premiered simultaneously on Syfy and Space on June 9, 2017.","Wynonna Earp (TV series) -- Aight, so check this out: on July 23, 2016, they announced that Wynonna Earp was gon’ get a second season while they was at the Wynonna Earp panel at San Diego Comic-Con (SDCC). First, they was 'bout to drop ten episodes for that season, but then they bumped it up to 12 episodes in October 2016. Up in Canada, Wynonna Earp switched from CHCH-DT to Space starting April 15, 2017. Gettin' ready for Season 2, Space started showing Season 1 on the same day with a cool double-episode premiere. Then, Season 2 dropped on both Syfy and Space on June 9, 2017."
is there a second series of the good karma hospital,they got a second season of the good karma hospital or nah?,The Good Karma Hospital -- The Good Karma Hospital was recommissioned for a second series. Filming for the second series started in August 2017 and it is being broadcast from 18 March 2018.,"The Good Karma Hospital -- They brought back The Good Karma Hospital for another season. They started shooting the second season in August 2017, and it started airing on March 18, 2018."
did the king's speech win any oscars,Did da King's Speech win any Oscars?,"List of awards and nominations received by The King's Speech -- At the 83rd Academy Awards, the film received a total of twelve award nominations, more than any other film, and won four: Best Picture, Best Director (Hooper), Best Original Screenplay (Seidler), and Best Actor (Firth). At the 68th Golden Globe Awards, the film received seven nominations, more than any other nominee, but only Firth won an award, for Best Actor. Hooper also won for Best Director at the 63rd Directors Guild of America Awards. At the 17th Screen Actors Guild Awards, Firth won the Best Actor award and the cast won Best Ensemble. At the 64th British Academy Film Awards, it won seven awards out of fourteen nominations, more than any other film, consisting of Best Film, Outstanding British Film, Best Actor (Firth), Best Supporting Actor (Rush), Best Supporting Actress (Bonham Carter), Best Original Screenplay (Seidler), and Best Music (Alexandre Desplat).","List of awards and nominations received by The King's Speech -- At the 83rd Academy Awards, this movie got twelve nominations, the most of any movie, and scooped up four wins: Best Picture, Best Director (Hooper), Best Original Screenplay (Seidler), and Best Actor (Firth). At the 68th Golden Globe Awards, it got seven nods, again the most, but only Firth took home a trophy, for Best Actor. Hooper also grabbed the Best Director title at the 63rd Directors Guild of America Awards. At the 17th Screen Actors Guild Awards, Firth won Best Actor and the whole crew got Best Ensemble. At the 64th British Academy Film Awards, it won seven awards out of fourteen nominations, more than any other film, including Best Film, Outstanding British Film, Best Actor (Firth), Best Supporting Actor (Rush), Best Supporting Actress (Bonham Carter), Best Original Screenplay (Seidler), and Best Music (Alexandre Desplat)."
is there more than one john wick movie,They got more than one John Wick movie out there?,"John Wick: Chapter 2 -- John Wick: Chapter 2 is a 2017 American neo-noir action thriller film directed by Chad Stahelski and written by Derek Kolstad. The second installment in the John Wick film series, the plot follows hitman John Wick, who goes on the run after a bounty is placed on him. It stars Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio, Ruby Rose, John Leguizamo and Ian McShane, and marks the first collaboration between Reeves and Fishburne since appearing together in The Matrix trilogy.","John Wick: Chapter 2 -- John Wick: Chapter 2 be a 2017 American neo-noir action thriller movie directed by Chad Stahelski and written by Derek Kolstad. As the second part in the John Wick movie series, the story track hitman John Wick, who got to hit the road after a bounty get dropped on him. It feature Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio, Ruby Rose, John Leguizamo, and Ian McShane, and it the first time Reeves and Fishburne done linked up since they was in The Matrix trilogy."
does new zealand have a capital gains tax,do New Zealand got a capital gains tax?,"Taxation in New Zealand -- Taxes in New Zealand are collected at a national level by the Inland Revenue Department (IRD) on behalf of the Government of New Zealand. National taxes are levied on personal and business income, and on the supply of goods and services. There is no capital gains tax, although certain ``gains'' such as profits on the sale of patent rights are deemed to be income -- income tax does apply to property transactions in certain circumstances, particularly speculation. There are currently no land taxes, but local property taxes (rates) are managed and collected by local authorities. Some goods and services carry a specific tax, referred to as an excise or a duty, such as alcohol excise or gaming duty. These are collected by a range of government agencies such as the New Zealand Customs Service. There is no social security (payroll) tax.","Taxation in New Zealand -- So check it, in New Zealand, they collect taxes at the national level through the Inland Revenue Department (IRD) on behalf of the New Zealand Government. They got taxes on personal and business income, plus on goods and services. Ain’t no capital gains tax over there, but they do treat some things like profits from selling patent rights as income, so income tax hits on those. Now, when it comes to property deals, they tax those too especially if it’s about flipping properties. No land taxes are in the mix, but local property taxes, which they call rates, are handled by the local folks. Some items like alcohol or gambling have their own special taxes called excise or duty, and different government spots like the New Zealand Customs Service take care of collecting those. And yo, they don’t mess with no social security (payroll) tax either."
can a gas mix into a liquid explain,Can gas mix into a liquid? Explain that for me.,"Mixing (process engineering) -- In industrial process engineering, mixing is a unit operation that involves manipulation of a heterogeneous physical system with the intent to make it more homogeneous. Familiar examples include pumping of the water in a swimming pool to homogenize the water temperature, and the stirring of pancake batter to eliminate lumps (deagglomeration). Mixing is performed to allow heat and/or mass transfer to occur between one or more streams, components or phases. Modern industrial processing almost always involves some form of mixing. Some classes of chemical reactors are also mixers. With the right equipment, it is possible to mix a solid, liquid or gas into another solid, liquid or gas. A biofuel fermenter may require the mixing of microbes, gases and liquid medium for optimal yield; organic nitration requires concentrated (liquid) nitric and sulfuric acids to be mixed with a hydrophobic organic phase; production of pharmaceutical tablets requires blending of solid powders. The opposite of mixing is segregation. A classical example of segregation is the brazil nut effect.","Mixing (process engineering) -- In industrial process engineering, mixing be a unit operation where you manipulate a system with different parts to make it more uniform. Some everyday examples include pumping water in a pool to even out the water temperature, and stirring pancake batter to get rid of lumps. Mixing helps heat and/or mass move between different streams, components or phases. Modern industrial processing almost always got some mixing going on. Some types of chemical reactors are mixers too. With the right tools, you can mix a solid, liquid, or gas into another solid, liquid, or gas. For instance, making biofuel might need mixing microbes, gases, and liquid so everything works right; making organic nitrates needs mixing concentrated (liquid) nitric and sulfuric acids with a hydrophobic organic phase; and making pharmaceutical tablets involves blending solid powders. The opposite of mixing is separating things out, like how Brazil nuts end up on top when you shake a can of mixed nuts."
is the magna carta the english bill of rights,"Nah, the Magna Carta ain't the same as the English Bill of Rights. What else you wanna know?","Bill of Rights 1689 -- In the United Kingdom, the Bill of Rights is further accompanied by Magna Carta, the Petition of Right, the Habeas Corpus Act 1679 and the Parliament Acts 1911 and 1949 as some of the basic documents of the uncodified British constitution. A separate but similar document, the Claim of Right Act 1689, applies in Scotland. The Bill of Rights 1689 was one of the inspirations for the United States Bill of Rights.","Bill of Rights 1689 -- Over in the UK, the Bill of Rights rolls deep with other key pieces like the Magna Carta, the Petition of Right, the Habeas Corpus Act 1679, and the Parliament Acts of 1911 and 1949, all making up the uncodified British constitution. Scotland got its own thing going on with the Claim of Right Act 1689. Also, the Bill of Rights 1689 sparked some ideas for the United States Bill of Rights."
do you pay both ways on m6 toll,you gotta pay both ways on the m6 toll or nah?,"M6 Toll -- The M6 Toll is the only major toll road in Great Britain, and has two payment plazas, Great Wyrley Toll Plaza for northbound and Weeford Toll Plaza for southbound. The northbound toll plaza is situated between junctions T6 and T7, and the southbound between junctions T4 and T3. The weekday cash cost is £5.90 for a car and £11.00 for a Heavy Goods Vehicle.","M6 Toll -- The M6 Toll the only big toll road up in Great Britain, and it got two spots you gotta pay at: the Great Wyrley Toll Plaza for heading north and the Weeford Toll Plaza for going south. The spot to pay when you headed north is right between junctions T6 and T7, and for southbound, it's between junctions T4 and T3. If you driving through on a weekday, it’s gonna run you £5.90 for a car and £11.00 if you in a Heavy Goods Vehicle."
is the nasopharynx part of the respiratory system,Do the nasopharynx belong to the respiratory system?,"Pharynx -- In humans the pharynx is part of the digestive system and also of the conducting zone of the respiratory system. (The conducting zone also includes the nostrils of the nose, larynx, trachea, bronchi, and bronchioles, and their function is to filter, warm, and moisten air and conduct it into the lungs.) The pharynx makes up the part of the throat situated immediately behind the nasal cavity, behind the mouth and above the esophagus and larynx. The human pharynx is conventionally divided into three sections: the nasopharynx, the oropharynx and the laryngopharynx. It is also important in vocalization.","Pharynx -- So check it, in us humans, the pharynx is part of how we digest food and it's also involved in our breathing system. (This breathing part also got stuff like the nostrils in yo nose, the larynx, trachea, bronchi, and lil bronchioles, right? And their job is to clean, warm up, and moisten the air, then get it all down to the lungs.) The pharynx is that part of your throat that's right behind your nasal area, behind your mouth, and sitting on top of your esophagus and larynx. We split the human pharynx into three parts: the nasopharynx, the oropharynx, and the laryngopharynx. It's also key when you're talking or making sounds."
is a german shepherd the same as an alsatian,is a german shepherd the same thing as an alsatian?,"German Shepherd -- The German Shepherd (German: Deutscher Schäferhund, German pronunciation: (ˈʃɛːfɐˌhʊnt)) is a breed of medium to large-sized working dog that originated in Germany. The breed's officially recognized name is German Shepherd Dog in the English language (sometimes abbreviated as GSD). The breed is known as the Alsatian in Britain and Ireland. The German Shepherd is a relatively new breed of dog, with their origin dating to 1899. As part of the Herding Group, German Shepherds are working dogs developed originally for herding sheep. Since that time however, because of their strength, intelligence, trainability, and obedience, German Shepherds around the world are often the preferred breed for many types of work, including disability assistance, search-and-rescue, police and military roles, and even acting. The German Shepherd is the second-most registered breed by the American Kennel Club and seventh-most registered breed by The Kennel Club in the United Kingdom.","German Shepherd -- The German Shepherd (German: Deutscher Schäferhund) is a type of medium to big workin' dog that started out in Germany. They official call it the German Shepherd Dog in English (sometimes folks shorten it to GSD). In Britain and Ireland, they known as the Alsatian. This breed ain't that old, it started around 1899. They part of the Herding Group, which means German Shepherds was first bred to help herd sheep. But since then, cause they strong, smart, easy to train, and listen well, German Shepherds are now used all over for a bunch of jobs like helpin' folks with disabilities, search-and-rescue, police and military work, and even in movies. The German Shepherd is the second most registered dog with the American Kennel Club and the seventh most with The Kennel Club in the UK."
are the faroe islands part of the eu,the faroe islands part of the eu or nah?,"Faroe Islands and the European Union -- The Faroe Islands, a self-governing nation within the Kingdom of Denmark, is not part of the EU, as explicitly asserted by both Rome treaties.","Faroe Islands and the European Union -- The Faroe Islands, which govern themselves but still under Denmark, ain't part of the EU, like both Rome treaties clearly say."
is glen cove part of town of oyster bay,Glen Cove part of Town of Oyster Bay or nah?,"Oyster Bay (town), New York -- The town was originally part of Queens County, until the western portion of that county was amalgamated into New York City in 1898 and Nassau County was created in 1899. In 1918 Glen Cove, to the west, incorporated as a city and formed a governing system separate from the town. Following World War II, housing replaced farmland as the population grew from about 40,000 in 1950 to more than 290,000 in 1990.","Oyster Bay, New York -- So check it, this town was first part of Queens County, right? But then in 1898, the western part joined up with New York City, and Nassau County popped up in 1899. Come 1918, Glen Cove on the west side went and became its own city with its own way of running things. After World War II, folks started building houses where farms used to be, and the number of people jumped from about 40,000 in 1950 all the way up to over 290,000 by 1990."
is the domincan republic part of the usa,"Nah, the Dominican Republic ain't part of the USA, it's a whole separate country.","Dominican Republic -- The Dominican Republic (Spanish: República Dominicana (reˈpuβliˌka ðoˌminiˈkana)) is a sovereign state located in the island of Hispaniola, in the Greater Antilles archipelago of the Caribbean region. It occupies the eastern five-eighths of the island, which it shares with the nation of Haiti, making Hispaniola one of two Caribbean islands, along with Saint Martin, that are shared by two countries. The Dominican Republic is the second-largest Caribbean nation by area (after Cuba) at 48,445 square kilometers (18,705 sq mi), and third by population with approximately 10 million people, of which approximately three million live in the metropolitan area of Santo Domingo, the capital city.","Dominican Republic -- Aight, so the Dominican Republic, or República Dominicana in Spanish, is its own country chillin' on the island of Hispaniola in the Caribbean. It's got most of the island, like five-eighths of it, and it shares the rest with Haiti. Hispaniola is one of just two islands in the Caribbean where two countries are doing their thing, the other being Saint Martin. The Dominican Republic is pretty big, the second-largest in the Caribbean after Cuba, covering about 48,445 square kilometers. It's got around 10 million folks living there, and about three million of them are in and around Santo Domingo, the capital."
can you drop kick a field goal in nfl,can you drop kick a field goal in the NFL?,"Drop kick -- In 1934, the ball was made more pointed at the ends. The creation of the pointed football is generally credited to Shorty Ray, at the time a college football official and later the NFL's head of officiating. This made passing the ball easier, as was its intent, but made the drop kick obsolete, as the more pointed ball did not bounce up from the ground reliably. The drop kick was supplanted by the place kick, which cannot be attempted out of a formation generally used as a running or passing set. The drop kick remains in the rules, but is seldom seen, and rarely effective when attempted. In Canadian football the drop kick can be taken from any point on the field, unlike placekicks which must be attempted behind the line of scrimmage.","Drop kick -- Back in 1934, they changed the football to have more pointed ends. The dude we thank for that is Shorty Ray, who was a big deal in college football and later ran the officiating for the NFL. This tweak was supposed to make throwing the ball easier, and it did, but it also pretty much killed the drop kick since the pointed ball wouldn’t bounce right back up from the ground. So, folks moved on to using the place kick instead, which you can't really do from the usual running or passing setups. The drop kick is still allowed, but you hardly ever see it now, and it's usually not that successful when someone tries it. In Canadian football, though, you can drop kick from anywhere on the field, unlike placekicks which gotta be behind the line of scrimmage."
