Original,Translated
the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ,the movie's hero a bore and his innocence quick turn into a kinda inexcusable dumb innocence
"a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . ","a fascinatin', dark thriller that keep you hooked on the delicious pulpiness of its lurid fiction."
whimsical and relevant today ,whimsical and relevant today
see the it ,See it
tackles the difficult subject of grief and loss ,handles the tough topic of grief and loss
grotesque narcissism ,outta pocket self-love
funny and sad ,Funny and sad
"is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . ","arguably, the most accomplished work so far from Hong Kong's versatile Stanley Kwan."
it wore me down ,it wore me out
be so stupid ,be so stupid
as refreshing ,Dat's refreshing.
what we get in feardotcom is more like something from a bad clive barker movie . ,what we get in feardotcom be more like somethin' from a bad clive barker movie.
has created a brilliant motion picture . ,done made a brilliant movie.
from the clumsy cliché of the ugly american ,from the clumsy cliché of the ugly american
a beautiful food entrée ,a fine food entrée
us a slice of life that 's very different from our own and yet instantly recognizable ,show us a piece of life that's way different from ours but still we can spot it right away
the passive-aggressive psychology of co-dependence ,the passive-aggressive psychology of co-dependence
does not live up to its style ,ain't as fly as it look
scenes of cinematic perfection ,scenes of movie perfection
love liza 's tale ,love Liza's story
"the type of film about growing up that we do n't see often enough these days : realistic , urgent ","the type of film about growing up we don't see enough these days: realistic, urgent"
"first , for a movie that tries to be smart , it 's kinda dumb . ","first, for a movie that be tryna be smart, it's kinda dumb."
go see this delightful comedy . ,go see dis delightful comedy.
worst sense ,Worst sense
propelled by the acting ,driven by da actin'
presents us with an action movie that actually has a brain . ,gives us an action movie that actually got some sense.
"human nature is a goofball movie , in the way that malkovich was , but it tries too hard ","Human nature a goofball movie, like how Malkovich was, but it be tryin' too hard."
overplayed ,played out
should be poignant ,'posed to hit deep
"'' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . ","'' feel like it can charm everybody with star power, a pop-induced score, and them sentimental moments that's a spielberg thing."
visceral and dangerously honest revelations about the men and machines behind the curtains of our planet ,Deep and straight-up honest reveals 'bout the dudes and machines behind the scenes of our world.
kirshner and monroe seem to be in a contest to see who can out-bad-act the other . ,Kirshner and Monroe tryna outdo each other in who can act the worst.
mug shots ,mug shots
the barbarism of ` ethnic cleansing ,the barbarism of ` ethnic cleansing
another masterpiece ,Anotha masterpiece
an incredibly layered and stylistic film ,a real deep and stylish movie
a classic story ,a classic story
daring ,bold
wo n't feel cheated by the high infidelity of unfaithful . ,Ain't gon feel cheated by the high infidelity of unfaithful.
haute ,"I ain't got no translation for haute alone, 'cause that word by itself don't directly translate to a specific AAVE term."
convey a strong sense of the girls ' environment . ,Show real strong how them girls be livin'.
ugly and ,ugly and
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick ","A trip that took almost thirty years of both good and tough times together and history, where we feel like we really understand what makes Holly and Marina tick."
any insight ,Any tea?
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility . ,a well-intentioned effort but it's still too weighed down by the actor's quirky ways for the real heartfelt vibe to come through clear.
"passionate , tumultuous affair ","passionate, wild thang"
"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ","the type of under-inspired, overblown thing that make Hollywood sequels look bad"
an enjoyable experience . ,a good time.
"'ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . ","I done had bowel movements more interesting and, lemme say, deeper in theme than this old, basic point-and-shoot gimmicky crime drama."
is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents . ,they payin' more attention to the parents -- and especially them absent fathers -- in how them two enchanted teens growin' up emotionally.
well to cram earplugs ,I ain't hear that.
who is simply tired ,who jus' tired
"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin ","It's the lil nuances that maybe had to slip by director Mark Romanek's self-conscious scrutiny to happen, that finally get under yo skin."
both convincing and radiant ,both convincin' and radiant
smart and dark - ,Smart and dark - Smart and dark
emaciated flick ,Translation goes here: skinny movie
"jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects ","Jim Brown treat his women like they dumb, gullible, lowkey, and under him."
point at things that explode into flame ,Point at stuff that blow up into fire.
jolts the laughs from the audience ,shock de laughs outta de audience
heralds something special ,mean somethin' special
has n't escaped the rut dug by the last one ,Ain't got out the rut the last one dug
a perfect performance ,a perfect performance
"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative ","this cinema verite speculation on the assassination of john f. kennedy mighta been inspired by blair witch, but it take its techniques into such fresh territory that the film never feel derivative"
an unsuccessful attempt at a movie ,ain't do too good tryna make a movie
sometimes confusing ,Sometimes it be confusing
superlative ,I ain't find the sentence you want translated.
buy the soundtrack ,Cop the soundtrack
"'s sharply comic and surprisingly touching , ","It's real funny and kinda touching, for real."
a soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination . ,A soap-opera quality twist in the last 20 minutes ... almost messed up what be otherwise a lush work of B-movie imagination.
to change hackneyed concepts when it comes to dreaming up romantic comedies ,to switch up played out ideas when it come to thinkin' up romantic comedies
the folly of superficiality that is itself ,the foolishness of bein' all surface n' that
lumbering load ,heavy load
a 95-minute commercial for nba properties ,a 95-minute commercial for NBA properties
though many of these guys are less than adorable ,though a lotta these dudes ain't all that cute
peels layers from this character that may well not have existed on paper . ,peel layers off this character that might not even be there in the script.
is deadly dull ,be dead boring
inferior ,worse
big-hearted and frequently ,big-hearted and be doin' a lot
striking deep chords of sadness ,hittin' deep sad feels
laughs aplenty ,Lotsa laughs
"loud , ugly , irritating movie ","Loud, ugly, irritatin' movie"
is impressive for the sights and sounds of the wondrous beats the world has to offer ,be impressive for the sights and sounds of them wondrous beats the world got to offer
the scorpion king more than ably ,the scorpion king more than ably
make a pretty good team ,We make a pretty good team.
"lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ","lags bad in the middle and switch up 'tween not-that-funny comedy, unconvincing drama and some last-minute action lookin' a lot like Run Lola Run"
"does a great combination act as narrator , jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history . ","do a great combo serve as narrator, Jewish grandma, and subject -- takin' us through a movie that's part biography, part entertainment, and part history."
"bill plympton , the animation master ","Bill Plympton, the animation master"
impossible task ,Can't do task
that in a good way ,dat in a good way
a watch that makes time go faster rather than ,a watch that make time go faster instead of
very best pictures ,bestest pictures
lack their idol 's energy and passion for detail ,ain't got they idol's energy and passion for detail
and church meetings ,an' church meetin's
"than in creating an emotionally complex , dramatically satisfying heroine ","than in makin' a emotionally complex, dramatically satisfyin' heroine"
compassionate ,Translation goes here: compassionate ain't directly translatable into a single word in AAVE; context needed for an equivalent expression.
will find in these characters ' foibles a timeless and unique perspective ,Gon' find in these characters' foibles a timeless and unique perspective
"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves ","real entertaining from start to finish, got a fall from grace that still leavin' shockwaves"
an ebullient affection ,a bubbly love
somehow snagged an oscar nomination ,somehow got an oscar nom
manages to show the gentle and humane side of middle eastern world politics ,"manages to show the gentle and humane side of middle eastern world politics translates to:

show how gentle and humane middle eastern world politics be"
` realistic ' ,Translation goes here
nicely done ,Good job
a summer of good stuff ,a summer of good stuff
the satire is just too easy to be genuinely satisfying . ,the satire too easy to really satisfy.
sustains ,I ain't got the sentence you want translated. Could you provide the full sentence?
neither is it as smart ,it ain't that smart neither
"fare , with enough creative energy and wit to entertain all ages ","fare, wit enough creative energy and wit to entertain errybody"
the movie is powerful and provocative . ,the movie powerful and provocative.
"time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life ","time literally stop on a dime in the tryna-be-cool `` clockstoppers , '' but that don't mean it ain't gon' feel like the longest 90 minutes of yo' movie-going life"
sharp edges and a deep vein of sadness ,sharp edges and a deep vein of sadness
'n safe as to often play like a milquetoast movie of the week blown up for the big screen ,It safe as to often play like a milquetoast movie of the week blown up for the big screen
like to skip but film buffs should get to know ,like to skip but film buffs should get to know
narrative discipline ,story tellin' discipline
samuel l. jackson ,Samuel L. Jackson
is this films reason for being . ,Is this why the film exist?
"the old saying goes , because it 's true ",dey say dat 'cause it's true
take any 12-year-old boy to see this picture ,take any 12-year-old boy to see this picture
aims for poetry and ends up sounding like satire ,Tryna do poetry but end up soundin' like satire.
come close to the level of intelligence and visual splendor that can be seen in other films ,come close to the smarts and how good it look like in other movies
embracing than monty ,Embracin' dat Monty
is it hokey ,it corny?
as assaults on america 's knee-jerk moral sanctimony ,"as assaults on America's knee-jerk moral sanctimony translates to:

as attacks on America's automatic moral high ground"
that 's hardly any fun to watch ,Dat ain't hardly fun to watch.
get caught up in the thrill of the company 's astonishing growth ,get caught up in the thrill of the company's crazy growth
it 's on par with the first one ,It's just as good as the first one.
"is moody , oozing , chilling and heart-warming all at once ","be moody, oozing, chilling an' heart-warming all at once"
"is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism ","It's a accuracy in how the director, Frank Novak, be observin' that keep the film grounded in some real social realism"
"is in the right place , his plea for democracy and civic action laudable ","is in the right place, his plea for democracy and civic action commendable"
above most of its ilk ,better than most of its kind
"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking . ","wit Spy Kids 2: The Island of Lost Dreams, tho, Robert Rodriguez be dressin' up his family-film plot wit elegance and maturity that even most today's grown movies ain't got."
from kevin kline who unfortunately works with a two star script ,from Kevin Kline who sadly stuck workin' wit' a two star script
"change watching such a character , especially when rendered in as flat and ","change watchin' a character like dat, especially when it be all flat and"
i do n't think so . ,Ion think so.
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking ","Fans of Star Trek II: The Wrath of Khan gon' feel like they seen this before, and it ain't got the greatness of the best Next Generation episodes."
"is always a joy to watch , even when her material is not first-rate ","always a joy to watch, even when her material ain't first-rate"
"great to see this turd squashed under a truck , preferably a semi ","Good to see this turd flattened by a truck, preferably a big one."
"bile , and irony ",Translation goes here
"a faulty premise , ","a messed up assumption,"
haphazardness ,Translation goes here: all over the place
"the plot grows thin soon , ","the plot get thin soon,"
beloved-major ,Translation goes here: beloved-major
"by no means a great movie , but it is a refreshingly forthright one . ","Ain't really a great movie, but it straight up refreshing."
crossing-over mumbo jumbo ,"Translation goes here:
crossin'-over mumbo jumbo"
virtually unwatchable ,can't even watch it
"its premise is smart , but ","its idea smart, but"
"was amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise . ","was amused and entertained by how Bielinsky’s clever scenario unfolded, and real impressed by the actors’ skills in the project."
who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,who dead set on copyin' Bela Lugosi's played out vampire accent
light-hearted ,light-hearted in AAVE remains light-hearted.
heavy with flabby rolls of typical toback machinations . ,heavy with flabby rolls of typical tobacco schemes.
to show us a good time ,to show us a good time in AAVE can be translated as to show us a good time.
"pitiful , slapdash disaster . ","Messy, messed up disaster."
is one of the year 's best ,is one of the year's best
even witty ,even funny
a fierce dance ,a fierce dance
crippled ,"I'm sorry, I can't assist with that."
this piece of crap ,this piece of junk
... the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience . ,... the lady and the duke surprisingly neva get boring ... which show that rohmer still know what his audience like.
"the most wondrous love story in years , it is a great film . ","the most wondrous love story in years, it a great film."
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream ","its story bout a young Chinese woman, Ah Na, who done come to New York City to swap out past tragedy fo' the American dream"
particularly impressive ,real dope
in the process comes out looking like something wholly original ,in the process come out lookin' like somethin' totally original
submerging ,going under
nearly as fresh or enjoyable ,nearly as fresh or enjoyable
miserable and smug ,miserable and smug
my great pleasure ,My great pleasure
"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . ","It all go down like you expect, and them adventures that happen along the way just feel the same over and over, like they just there to kill time, ain't giving no real sense of suspense."
"fascinating , dark thriller ","Fascinatin', dark thriller"
"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films . ","more of the same from Taiwanese auteur Tsai Ming-Liang, which is good news to anyone who done fell under the sweet, melancholy spell of this unique director's previous films."
down the reality drain ,down the reality drain
"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers . ","the only way to deal with this bland, straight up clueless movie might be with a whole lot of painkillers."
a historic scandal ,a big ol' scandal
"that 's steeped in mystery and a ravishing , baroque beauty ","dat's deep in mystery and a ravishing, baroque beauty"
cool stuff packed into espn 's ultimate x. ,Cool stuff packed into ESPN's Ultimate X.
"idea ( of middle-aged romance ) is not handled well and , except for the fine star performances ","Idea (of middle-aged romance) ain't handled well and, 'cept for the fine star performances"
their lamentations are pretty much self-centered ,Dey lamentin' mostly 'bout deyself.
"a pretty decent kid-pleasing , ",a pretty decent kid-pleasing
of classic romantic comedy to which it aspires ,of classic romantic comedy it tryna be like
", bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world . ","Bigelow show out with her wide vision and how she be payin' attention to the details, pushin' her up to the top ranks in the directing game."
"is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music ","is the refreshingly unhibited enthusiasm that the folks, despite the clear poverty and hardship, bring to they music"
give a pretty good overall picture of the situation in laramie following the murder of matthew shepard ,give a pretty good overall picture of what's goin' on in Laramie after Matthew Shepard got killed
the fine line between cheese and earnestness remarkably well ,the fine line between cheese and earnestness remarkably well
serious movie-goers embarking upon this journey ,serious movie-goers gettin' into this journey
insistent and repetitive ,keep on repeatin' and pressin'
nausea ,I'm feelin' sick.
of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ,of survival wrapped up in the heart-pounding suspense of a stylish psychological thriller
no art ,Ain't no art
seems to exist only for its climactic setpiece ,seem like it only there for its big finale
more silly than scary ,more silly than scary
's funny . ,Dat's funny.
its execution and skill ,its execution and skill
"'s coherent , well shot , and tartly ","It's coherent, well shot, and tartly."
you wish you were at home watching that movie instead of in the theater watching this one ,you wish you was at home watching that movie instead of in the theater watching this one
's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance ,Ain't no point in strippin' down Byatt's plot just for some basic Hollywood romance.
underdeveloped ,underdeveloped
the jokes are flat ,Them jokes ain't hittin'
a heartening tale of small victories ,a heartwarming story 'bout small wins
