Original Passage,Translated Passage,Original Question,Translated Question
"Fairmont Hotels and Resorts -- Fairmont Hotels & Resorts is a chain of luxury hotels owned by AccorHotels since 2016. Fairmont Hotels & Resorts was created in 2001 following the merger of Canadian Pacific Hotels (founded in the late 1880s) and Fairmont Hotels (founded in 1907). Fairmont operates 75 properties in 24 countries, with a strong presence in the United States, and Canada.","Fairmont Hotels and Resorts -- Fairmont Hotels & Resorts a chain of luxury hotels owned by AccorHotels since 2016. Fairmont Hotels & Resorts was created in 2001 following the merger of Canadian Pacific Hotels (founded in the late 1880s) and Fairmont Hotels (founded in 1907). It is 75 properties in 24 countries , with a strong presence in the United States , and Canada that fairmont operate  .",is the fairmont hotel part of a chain,that fairmont hotel part of a chain
"List of tallest buildings in New York City -- New York City, the most populous city in the United States, is home to over 6,486 completed high rise buildings of at least 35 meters, of which at least 113 completed are taller than 600 feet (183 m). The tallest building in New York is One World Trade Center, which rises 1,776 feet (541 m). The 104-story skyscraper also stands as the tallest building in the United States, the tallest building in the Western Hemisphere, and the sixth-tallest building in the world. The second-tallest building in the city is 432 Park Avenue, standing at 1,396 feet (426 m), and the third-tallest is the recently-topped-out 30 Hudson Yards. Not counting its antenna, the 4th-tallest is the 102-story Empire State Building in Midtown Manhattan, which was finished in 1931 and rises to 1,250 feet (381 m), increased to 1,454 feet (443 m) by its antenna. It is the fifth-tallest building in the United States and the 37th-tallest building in the world.","List of most tallest buildings in New York City -- New York City, that populousest city in those United States, is home to over 6,486 complete high rise buildings of at least 35 meters, of which at least 113 complete are more taller as 600 feets (183 m). That most tallest building in New York One World Trade Center, is rising 1,776 feets (541 m). That 104-story skyscraper also is standing as that most tallest building in those United States, that most tallest building in those Western Hemisphere, and that sixth-most tallest building in that world. That second-most tallest building in that city 432 Park Avenue, standing at 1,396 feets (426 m), and the third-most tallest the recently-top-out 30 Hudson Yards. Not counting its antenna, the 4th-most tallest those 102-story Empire State Building in Midtown Manhattan, which was finished it in 1931 and are rising to 1,250 feets (381 m), increased to 1,454 feets (443 m) by its antenna. The thing that fifth-most tallest building in those United States and that 37th-most tallest building in that world.",is one world trade center taller than the empire state building,one world trades center more taller than that empire state building
"Running -- Running is a method of terrestrial locomotion allowing humans and other animals to move rapidly on foot. Running is a type of gait characterized by an aerial phase in which all feet are above the ground (though there are exceptions). This is in contrast to walking, where one foot is always in contact with the ground, the legs are kept mostly straight and the center of gravity vaults over the stance leg or legs in an inverted pendulum fashion. A characteristic feature of a running body from the viewpoint of spring-mass mechanics is that changes in kinetic and potential energy within a stride occur simultaneously, with energy storage accomplished by springy tendons and passive muscle elasticity. The term running can refer to any of a variety of speeds ranging from jogging to sprinting.","Running -- Running a method of terrestrial locomotion allowing human and other animal to move rapidly on foot. Running a type of gait characterized by an aerial phase in which all above that ground (though it is exception). This is in contrast to walking, where one foot is always in contact with that ground, the leg are kept mostly straight and that center of gravity vault over that stance leg or leg in an inverted pendulum fashion. A characteristic feature of a running body from that viewpoint of spring-mass mechanic is that change in kinetic and potential energy within a stride occur simultaneously, with energy storage accomplished by springy tendon and passive muscle elasticity. That term running might can refer to any of a variety of speed ranging from jogging to sprinting.",do both feet leave the ground when running,does both feets leave that ground when running
"Peter Ostrum -- Peter Gardner Ostrum (/ˈoʊstrəm/; born November 1, 1957) is an American veterinarian and former child actor whose only film role was as Charlie Bucket in the 1971 motion picture Willy Wonka & the Chocolate Factory.","Peter Ostrum -- Peter Gardner Ostrum (/ˈoʊstrəm/; bore November 1, 1957) an American veterinarian and former child actor what's only film role was as Charlie Bucket in the 1971 motion picture Willy Wonka & the Chocolate Factory.",is charlie from charlie and the chocolate factory still alive,charlie from charlie and that chocolate factory still alive
"Separation of powers in Australia -- Currently, there is no constitutional system where there is a complete separation of powers. The strict doctrine exists only in a theory -- in reality, some overlap is inevitable, though a system of checks and balances has developed. In the Westminster system, ministers (executive) are required to sit in Parliament (legislative). This is to adhere with the concept of Responsible Government. This is also present in the Australian system, being a requirement of section 64 of the Constitution.","Separation of powers in Australia -- Currently, it is no constitutional system where it is a complete separation of powers. That strict doctrine exist only in a theory -- in reality, some overlap is inevitable, though a system of checks and balances have developed. In that Westminster system, ministers (executive) are required to sit in Parliament (legislative). This is to adhere with that concept of Responsible Government. This also present in that Australian system, being a requirement of section 64 of those Constitution.",is the separation of powers in the australian constitution,the separation of power in the australian constitution
"Vehicle registration plates of Canada -- In the Canadian provinces and territories of Alberta, Newfoundland and Labrador, the Northwest Territories, Nova Scotia, Nunavut, Prince Edward Island, Quebec, Saskatchewan, and Yukon, licence plates are currently only required on the rear of the vehicle. The remaining provinces, British Columbia, Manitoba, New Brunswick, and Ontario, require the licence plates to be mounted on both the front and rear of the vehicle. Dealership plate frames or custom plate frames are allowed as long as the frame does not obstruct view of validation stickers or district.","Vehicle registration plates of Canada -- In the Canadian provinces and territories of Alberta, Newfoundland and Labrador, the Northwest Territories, Nova Scotia, Nunavut, Prince Edward Island, Quebec, Saskatchewan, and Yukon, licence plates are currently only required on that rear of that vehicle. The remaining provinces, British Columbia, Manitoba, New Brunswick, and Ontario, are requiring the licence plates to be mounted on both that front and rear of that vehicle. Dealership plate frames or custom plate frames are allowed as long as that frame is not obstructing no view of validation stickers or district.",do you have to have two license plates in ontario,"you gotta have two license plates in ontario, isn't it"
"Mastodon -- Modern reconstructions based on partial and skeletal remains reveal that mastodons were very similar in appearance to elephants and, to a lesser degree, mammoths, though not closely related to either one. Compared to mammoths, mastodons had shorter legs, a longer body and were more heavily muscled, a build similar to that of the current Asian elephants. The average body size of the species M. americanum was around 2.3 m (7 ft 7 in) in height at the shoulders, corresponding to a large female or a small male; large males were up to 2.8 m (9 ft 2 in) in height. Among the largest male specimens, the 35-year-old AMNH 9950 was 2.89 metres (9.5 ft) tall and weighed 7.8 tonnes (7.7 long tons; 8.6 short tons), while another was 3.25 metres (10.7 ft) tall and weighed 11 tonnes (11 long tons; 12 short tons).","Mastodon -- Modern reconstruction based on partial and skeletal remain reveals say mastodon were too similar in appearance to elephant and, to a more lesser degree, mammoth, though not close related to either one. Compared to mammoth, mastodon been had more shorter leg, a more longer body and were more heavily muscled, a build similar to that of the current Asian elephant. The average body size of the species M. americanum was around 2.3 m (7 ft 7 in) in height at the shoulder, corresponding to a large female or a small male; large males been were up to 2.8 m (9 ft 2 in) in height. Among the most largest male specimen, the 35-year-old AMNH 9950 been was 2.89 metre (9.5 ft) tall and weigh 7.8 tonne (7.7 long ton; 8.6 short ton), while another was 3.25 metre (10.7 ft) tall and weigh 11 tonne (11 long ton; 12 short ton).",is a wooly mammoth the same as a mastodon,a wooly mammoth the same as a mastodon
"Carling Black Label -- Black Label is a Canadian brand of lager distributed by Carling and well-known throughout the former British Empire. In several countries, it is also known as Carling Black Label, and in Sweden, it is known as Carling Premier. In the United Kingdom it is now known as just Carling.","Carling Black Label -- Black Label a Canadian brand of lagers distributed by Carling and well-knew throughout those former British Empire. In several country, is also knew as Carling Black Label, and in Sweden, is knew as Carling Premier. In those United Kingdom is now knew as just Carling.",is carling black label a south african beer,carling black label one south african beer
"Anguis fragilis -- In the United Kingdom, the slowworm has been granted protected status, alongside all other native British reptile species. The slowworm has been decreasing in numbers, and under the Wildlife and Countryside Act 1981, it is illegal to intentionally kill, injure, sell or advertise to sell them.","Anguis fragilis -- In those United Kingdom, that slowworm be granted protect status, alongside all other native British reptile species. That slowworm be decreasing in numbers, and under those Wildlife and Countryside Act 1981, it like illegal to intentionally kill, injure, are selling or are advertising to sell them.",is it illegal to kill a slow worm,it illegal to kill one slow worm
"Toyota Highlander -- The Toyota Highlander (Japanese: トヨタ ハイランダー, Toyota Hairandā), also known as the Toyota Kluger (Japanese: トヨタ クルーガー, Toyota Kurūgā), is a mid-size crossover SUV produced by Toyota. It is built on the same platform as used on the Toyota Camry, but based on size of the Toyota Avalon chassis.","Toyota Highlander -- Those Toyota Highlander (Japanese: トヨタ ハイランダー, Toyota Hairandā), also know as those Toyota Kluger (Japanese: トヨタ クルーガー, Toyota Kurūgā), one mid-size crossover SUV produce by Toyota. It is built on that same platform as use on those Toyota Camry, but base on size of that Toyota Avalon chassis.",is a toyota kluger the same as a highlander,one toyota kluger the same as one highlander
"Croatia at the FIFA World Cup -- Croatia national football team have appeared in the FIFA World Cup on five occasions (in 1998, 2002, 2006, 2014 and 2018) since gaining independence in 1991. Before that, from 1930 to 1990 Croatia was part of Yugoslavia. Their best result thus far was silver position at the 2018 final, where they lost 4-2 to France.","Croatia at the FIFA World Cup -- Croatia national football team appeared in the FIFA World Cup on five occasions (in 1998, 2002, 2006, 2014 and 2018) since gaining independence in 1991. Before that, from 1930 to 1990 Croatia been was part of Yugoslavia. They most good result thus far was silver position at the 2018 final, where it losed 4-2 to France.",has croatia ever won a world cup final,have croatiumed ever winned one world cup final
"Bed of Roses (TV series) -- Season Three began filming in May 2010. the program was filmed over five months in regional Victoria (South Gippsland), Melbourne and in the ABC TV studios, Southbank. For the second time the number of episodes will increase, with Season 3 to have 12 episodes and will begin airing 4 December 2010.","Bed of Roses (TV series) -- Season Three begun filming in May 2010. the program was filmed over five months in regional Victoria (South Gippsland), Melbourne and in the ABC TV studios, Southbank. For the second times the number of episodes finna increase, with Season 3 for to have 12 episodes and will begin airing 4 December 2010.",will there be a third season of bed of roses,might will there is one third season of bed of rose
"Sequence (music) -- At least two instances of a sequential pattern--including the original statement--are required to identify a sequence, and the pattern should be based on several melody notes or at least two successive harmonies (chords). Although stereotypically associated with Baroque music, and especially the music of Antonio Vivaldi, this device is widespread throughout Western music history.","Sequence (music) -- At least two instances of one sequential pattern--including the original statement--are required for to identify one sequence, and so the pattern might should be based on several melody notes or at least two successive harmonies (chords). Although stereotypically associated with Baroque music, and especially the music of Antonio Vivaldi, this here device widespread throughout Western music history.",sequence occurs when pattern of notes is repeated,sequence occur when pattern of notes is repeated
Vanilla sugar -- Vanilla sugar is made of sugar and vanilla beans or sugar mixed with vanilla extract.,Vanilla sugar -- Vanilla sugar is made of sugar and vanilla bean or sugar mixed with vanilla extract.,is vanilla sugar the same as regular sugar,vanilla sugar the same as regular sugar
"Racso and the Rats of NIMH -- Racso and the Rats of NIMH is the 1986 sequel to the popular book, Mrs. Frisby and the Rats of NIMH, written by Jane Leslie Conly. It continues where the previous book left off.","Racso and the Rats of NIMH -- Racso and the Rats of NIMH the 1986 sequel to the popular book, Mrs. Frisby and the Rats of NIMH, wrote by Jane Leslie Conly. She continue where the previous book leave off.",is there a sequel to mrs frisby and the rats of nimh,is it a sequel to mrs frisby and the rats of nimh
"Infamous Second Son -- The game was envisioned to take full advantage of the hardware, without the imposition of porting to older platforms like the PlayStation 3. The hardware let developers improve the particle system that lights Delsin's face up while he draws neon power from billboards and add detailed reflections to the game world. The increased memory bandwidth let the team render characters with higher fidelity. They found the PS4's simplified architecture so easy to work with that they were able to reach very high graphical quality even though the hardware was new.","Infamous Second Son -- The game was envisioned to take full advantage of the hardware, without the imposition of porting to more older platform like the PlayStation 3. The hardware letted developers to improve the particle system light Delsin face up while she draw neon power from billboard and add detailed reflection to the game world. The increased memory bandwidth let the team to render characters with more higher fidelity. It finded the PS4 simplified architecture so easy to work with that it was able to reach very high graphical quality even though the hardware was new.",can you play infamous second son on ps3,"you can play infamous second son on ps3, isn't it"
"Eddie and the Cruisers -- Eddie and the Cruisers is a 1983 American film directed by Martin Davidson with the screenplay written by the director and Arlene Davidson, based on the novel by P.F. Kluge. A sequel, Eddie and the Cruisers II: Eddie Lives!, followed in 1989.","Eddie and the Cruisers -- Eddie and the Cruisers are a 1983 American films directed by Martin Davidson with that screenplay wrote by that director and Arlene Davidson, based on that novel by P.F. Kluge. A sequel, Eddie and those Cruisers II: Eddie Live!, did follow in 1989.",is eddie and the cruisers a real story,eddie and the cruisers a real story
"Mystic Pizza -- Mystic Pizza is a 1988 American coming-of-age film directed by Donald Petrie and starring Annabeth Gish, Julia Roberts, and Lili Taylor. The film has gained a large cult following since its release and has received relatively positive reviews from critics, who praised the performances by the three lead actresses. It marked Matt Damon's film debut.","Mystic Pizza -- Mystic Pizza a 1988 American coming-of-age film directed by Donald Petrie and starring Annabeth Gish, Julia Roberts, and Lili Taylor. The film gained a large cult following since its release and received relatively positive reviews from critics, praised the performances by the three lead actresses. The thing marked Matt Damon film debut.",is mystic pizza based on a true story,mystic pizza based on a true story
"Underworld (film series) -- In 2017, Wiseman revealed that a sixth film is also in development with Beckinsale reprising her role as Selene.","Underworld (film series) -- In 2017, Wiseman been revealed say a sixth film is also in development with Beckinsale reprising her role as Selene.",are they coming out with another underworld movie,they coming out with another underworld movie
"Salt water chlorination -- Salt water chlorination is a process that uses dissolved salt (2,500--6,000 ppm) as a store for the chlorination system. The chlorine generator (also known as salt cell, salt generator, salt chlorinator or SWG) uses electrolysis in the presence of dissolved salt (NaCl) to produce hypochlorous acid (HClO) and sodium hypochlorite (NaClO), which are the sanitizing agents already commonly used in swimming pools. As such, a saltwater pool is not actually chlorine-free; it simply utilizes added salt and a chlorine generator instead of direct addition of chlorine.","Salt water chlorination -- Salt water chlorination a process where use dissolved salt (2,500--6,000 ppm) as a store for that chlorination system. That chlorine generator (also knew as salt cell, salt generator, salt chlorinator or SWG) use electrolysis in that presence of dissolved salt (NaCl) for to produce hypochlorous acid (HClO) and sodium hypochlorite (NaClO), where the sanitizing agents already commonly used in swimming pools. As such, a saltwater pool ain't actually chlorine-like free; the thing simply utilize added salt and a chlorine generator instead of direct addition of chlorine.",can you use chlorine in a saltwater pool,can it is chlorine in a saltwater pool that you use
The Durrells -- A third series of The Durrells was announced by writer Simon Nye at the BFI and Radio Times Television Festival on 8 April 2017. It began filming in May 2017 and is expected to air on ITV in the Spring of 2018.,The Durrells -- One third series of The Durrells was announced by writer Simon Nye at those BFI and Radio Times Television Festival on 8 April 2017. Em begun filming in May 2017 and is expected to air on ITV in those Spring of 2018.,will the durells in corfu have a season 3,"the in corfu durells will have a season 3, isn't it"
"Geography of Egypt -- Egypt has coastlines on both the Mediterranean Sea and the Red Sea. Egypt borders Libya to the west, the Gaza Strip and Israel to the northeast, and Sudan to the south. Egypt has an area of 1,001,449 km (386,662 mi).","Geography of Egypt -- Egypt have coastlines on both those Mediterranean Sea and those Red Sea. Egypt border Libya to that wests, those Gaza Strip and Israel to that northeast, and Sudan to that souths. Egypt have an area of 1,001,449 km (386,662 mi).",egypt is bordered by the red sea and the mediterranean sea,egypt is bordered by those red sea and those mediterranean sea
"Alex Vause -- In the first episode, Vause promises Chapman that she will lie to protect her in the upcoming trial of her former boss Kubra Balik. She breaks this promise, however, and, after testifying against Balik, Vause manages to secure release from prison while Chapman remains incarcerated. After discovering that Balik was not imprisoned for his crimes, Vause fears for her life; she is also unable to leave her apartment due to the terms of her parole. She visits Chapman in prison and confides in her that she is scared; Chapman then gets Bloom to tell Vause's parole officer that Vause is breaking her parole, which lands her back in prison, where she is safe from Balik's retribution.","Alex Vause -- In that first episode, Vause promise Chapman that gon lie to protect her in that upcoming trials of her former boss Kubra Balik. break this here promise, however, and, after testifying against Balik, Vause manage to secure release from prison while Chapman remain incarcerated. After discovering that Balik ain't imprisoned for his crimes, Vause fears for her life; is also unable to leave her apartment due to the terms of her parole. visit Chapman in prison and confide in her that is scared; Chapman then get Bloom to tell Vause parole officer that Vause breaking her parole, that what land her back in prison, where safe from Balik retribution.",orange is the new black season 2 does alex come back,orange is the new black season 2 do alex come back
"Drinking in public -- Drinking in public is legal in Singapore, however, consumption of alcohol in a public space or non-licensed premise is restricted from 10.30pm to 7am after the 2013 Little India riot. A permit will be required to consume alcohol during restricted hours in public places. Sales are prohibited from supermarkets and convenience stores such as NTUC FairPrice, Giant Hypermarket, Sheng Siong, Cold Storage and 7-Eleven from 10.30pm to 7am.","Drinking in public -- Drinking in public is legal in Singapore, however, consumption of alcohol in a public space or non-licensed premise is restricted from 10.30pm to 7ams after that 2013 Little India riot. A permit might will be required to consume alcohol during restricted hours in public places. Sales are prohibited from supermarkets and convenience stores such as NTUC FairPrice, Giant Hypermarket, Sheng Siong, Cold Storage and 7-Eleven from 10.30pm to 7am.",is it illegal to drink in public in singapore,it illegal for to drink in publics in singapore
"Luis Tiant -- Luis Clemente Tiant Vega (Spanish pronunciation: (ˈlwis ˈtjant)) (born November 23, 1940) is a former Major League Baseball (MLB) right-handed starting pitcher. He pitched 19 years primarily for the Cleveland Indians and the Boston Red Sox. He became a member of the Boston Red Sox Hall of Fame in 1997.","Luis Tiant -- Luis Clemente Tiant Vega (Spanish pronunciations: (are ˈlwising ˈtjant)) (bore November 23, 1940) one former Major League Baseball (MLB) right-handed starting pitcher. pitch 19 years primarily for the Cleveland Indian and the Boston Red Sox. become one member of those Boston Red Sox Hall of Fame in 1997.",is luis tiant in the hall of fame,luis tiant in the hall of fames
"Andrea Gail -- Fuel drums, a fuel tank, the EPIRB, an empty life raft, and some other flotsam were the only wreckage ever found. The ship was presumed lost at sea somewhere along the continental shelf near Sable Island.","Andrea Gail -- Fuels drums, a fuels tank, the EPIRB, an empty life raft, and some other flotsam was the only wreckage ever found. The ship was presumed lost at sea somewhere along the continental shelf near Sable Island.",did they ever find the boat from the perfect storm,it is the boat from the perfect storm that they ever find
"Tunisia at the FIFA World Cup -- Tunisia have appeared in the finals of the FIFA World Cup on four occasions, the first being at the 1978 FIFA World Cup where they finished in ninth position. Between 1998 and 2006 they had a streak of three World Cup qualifications. They will make their fifth appearance at the finals in the 2018 FIFA World Cup in Russia.","Tunisia at the FIFA World Cup -- Tunisia have done appeared in the finals of the FIFA World Cup on four occasions, the first being at the 1978 FIFA World Cup where finish in ninth position. Between 1998 and 2006 had a streak of three World Cup qualifications. is fixin to make they fifth appearance at the finals in the 2018 FIFA World Cup in Russia.",has tunisia ever been in the world cup,have tunisia ever been in the world cup
"Rubeus Hagrid -- Nineteen years after Voldemort's defeat, Hagrid is still at Hogwarts and invites Harry and Ginny Weasley's second son Albus Severus Potter to his hut for tea, just as he had once done for Harry himself. During an interview in 2007, when asked if Hagrid did marry, Rowling answered that Hagrid developed a relationship with a giantess but it did not work out.","Rubeus Hagrid -- Nineteen year after Voldemort defeats, Hagrid still at Hogwarts and invite Harry and Ginny Weasley second son Albus Severus Potter to his hut for teas, just as he had once did for Harry hisself. During an interview in 2007, when asked if Hagrid did marry, Rowling answer that Hagrid develop a relationship with a giantess which it ain't work out.",did hagrid die in the battle of hogwarts,did hagrid die in that battle of hogwarts
"E-ZPass -- Most E‐ZPass lanes are converted manual toll lanes and must have fairly low speed limits for safety reasons (between 5 and 15 miles per hour (8 and 24 km/h) is typical), so that E‐ZPass vehicles can merge safely with vehicles that stopped to pay a cash toll and, in some cases, to allow toll workers to safely cross the E‐ZPass lanes to reach booths accepting cash payments. In some areas, however (typically recently built or retrofitted facilities), there is no need to slow down, because E‐ZPass users can utilize dedicated traffic lanes (``Express E‐ZPass'') that are physically separate from the toll-booth lanes. Examples include:","E-ZPass -- E‐ZPass lanes are converted manual toll lanes and might must have reasonable low speed limits for safety reasons (between 5 and 15 mile per hours (8 and 24 km/h) like typical), so that E‐ZPass vehicles might can merge safe with vehicles where stop for to pay a cashs toll and, in some cases, for to allow toll workers for to safe cross the E‐ZPass lanes for to reach booths accepting cashs payments. In some areas, however (typically recently built or retrofitted facilities), it is no need for to slow down, because E‐ZPass users might can utilize dedicated traffics lanes (``Express E‐ZPass'') where like physically separate from the toll-booth lanes. It is  that examples includes:",is there a difference between ez pass and express e zpass,are there a differences between ez pass and express e zpass
"Section 8 (housing) -- Section 8 of the Housing Act of 1937 (42 U.S.C. § 1437f), often called Section 8, as repeatedly amended, authorizes the payment of rental housing assistance to private landlords on behalf of approximately 4.8 million low-income households, as of 2008, in the United States. The largest part of the section is the Housing Choice Voucher program which pays a large portion of the rents and utilities of about 2.1 million households. The U.S. Department of Housing and Urban Development manages Section 8 programs.","Section 8 (housing) -- Section 8 of those Housing Act of 1937 (42 U.S.C. § 1437f), often called Section 8, as repeatedly amended, authorize that payment of rental housing assistance to private landlord on behalf of approximately 4.8 million low-income household, as of 2008, in those United States. That most largest part of that section that Housing Choice Voucher program where pay one large portion of the rent and utility of about 2.1 million household. Those U.S. Department of Housing and Urban Development manage Section 8 program.",is the housing choice voucher program the same as section 8,are the housing choices voucher program the same as section 8
"A Song of Ice and Fire -- A Song of Ice and Fire is a series of epic fantasy novels by the American novelist and screenwriter George R.R. Martin. He began the first volume of the series, A Game of Thrones, in 1991, and it was published in 1996. Martin, who initially envisioned the series as a trilogy, has published five out of a planned seven volumes. The fifth and most recent volume of the series published in 2011, A Dance with Dragons, took Martin six years to write. He is still writing the sixth novel, The Winds of Winter.","A Song of Ice and Fire -- A Song of Ice and Fire a series of epic fantasy novels by that American novelist and screenwriter George R.R. Martin. He been began that first volume of that series, A Game of Thrones, in 1991, and the thing was published in 1996. Martin, initially envisioned that series as a trilogy, have published five out of a planned seven volumes. That fifth and recentest volume of that series published in 2011, A Dance with Dragons, been took Martin six years for to write. He still writing that sixth novel, The Winds of Winter.",is the game of thrones book series over,that game of thrones book series over
"United States Postal Service -- The United States Postal Service (USPS; also known as the Post Office, U.S. Mail, or Postal Service) is an independent agency of the United States federal government responsible for providing postal service in the United States. It is one of the few government agencies explicitly authorized by the United States Constitution.","United States Postal Service -- The United States Postal Service (USPS; also know as the Post Office, U.S. Mail, or Postal Service) an independent agency of the United States federal government responsible for providing postal service in the United States. It one of the few government agency explicitly authorize by the United States Constitution.",is the us post office a private company,the us post office a private company
"The Last Star (novel) -- The Last Star is a young adult science fiction novel written by American author Rick Yancey. It was published on May 24, 2016, by G.P. Putnam's Sons. The novel is the third and final in The 5th Wave trilogy, preceded by The Infinite Sea.","That Last Star (novel) -- Those Last Star one young adult science fictions novel wrote by American author Rick Yancey. The thing was published on May 24, 2016, by G.P. Putnam Sons. That novel the third and final in That 5th Wave trilogy, preceded by Those Infinite Sea.",is there a sequel to the 5th wave,is there a sequel to the 5th wave
"Unbreakable (film) -- Shyamalan organized the narrative of Unbreakable to parallel a comic book's traditional three-part story structure. After settling on the origin story, Shyamalan wrote the screenplay as a speculative screenplay with Bruce Willis already set to star in the film and Jackson in mind to portray Elijah Price. Filming began in April 2000 and was completed in July.","Unbreakable (film) -- Shyamalan been organized that narrative of Unbreakable for to parallel a comic book traditional three-part story structure. After settling on that origin story, Shyamalan been wrote that screenplay as a speculative screenplay with Bruce Willis already set for to star in that film and Jackson in mind for to portray Elijah Price. Filming been began in April 2000 and was completed in July.",is the movie unbreakable based on a true story,the movie like unbreakable base on one true story
"Vidalia onion -- A Vidalia onion (/vɪˈdeɪliə/ or /vaɪˈdeɪliə/) is a sweet onion of certain varieties, grown in a production area defined by law of the U.S. state of Georgia and by the United States Code of Federal Regulations (CFR).","Vidalia onion -- A Vidalia onion (/vɪˈdeɪliə/ or /vaɪˈdeɪliə/) a sweet onion of certain variety, grew in a production area defined by law of the U.S. state of Georgia and by the United States Code of Federal Regulations (CFR).",are vidalia onions the same as sweet onions,vidalia onion the same as sweet onion
"Jerry Maren -- Gerard Marenghi (born January 24, 1920), known as Jerry Maren, is an American actor and the last surviving Munchkin of the classic 1939 MGM film The Wizard of Oz, in which he portrayed a member of the Lollipop Guild. He became the last known survivor of the Munchkin cast (there may be some child actors who played Munchkins who also are still alive), following the death of fellow Munchkin Ruth Duccini on January 16, 2014.","Jerry Maren -- Gerard Marenghi (bore January 24, 1920), knew as Jerry Maren, are an American actor and the last surviving Munchkin of the classic 1939 MGM films The Wizard of Oz, in which he portrayed one member of the Lollipop Guild. He did become the last knew survivor of the Munchkin cast (it might may is some child actors played Munchkins who also still alive), following the deaths of fellow Munchkin Ruth Duccini on January 16, 2014.",is anyone from the wizard of oz still alive 2017,anyone from that wizard of oz still alive 2017
"Snow White and the Seven Dwarfs (1937 film) -- The primary authority on the design of the film was concept artist Albert Hurter. All designs used in the film, from characters' appearances to the look of the rocks in the background, had to meet Hurter's approval before being finalized. Two other concept artists -- Ferdinand Hovarth and Gustaf Tenggren -- also contributed to the visual style of Snow White and the Seven Dwarfs. Hovarth developed a number of dark concepts for the film, although many other designs he developed were ultimately rejected by the Disney team as less easily translated into animation than Hurter's. Tenggren was used as a color stylist and to determine the staging and atmosphere of many of the scenes in the film, as his style borrowed from the likes of Arthur Rackham and John Bauer and thus possessed the European illustration quality that Walt Disney sought. He also designed the posters for the film and illustrated the press book. However, Hovarth didn't receive a credit for the film. Other artists to work on the film included Joe Grant, whose most significant contribution was the design for the Queen's Witch form.","Snow White and the Seven Dwarfs (1937 film) -- The primary authority on the design of the film was concept artist Albert Hurter. All designs use in the film, from characters' appearances to the look of the rocks in the background, had to meet Hurter's approval before being finalized. Two other concept artists -- Ferdinand Hovarth and Gustaf Tenggren -- also contributed to the visual style of Snow White and the Seven Dwarfs. Hovarth developed a number of dark concepts for the film, although many other designs developed was ultimately rejected by the Disney team as less easy translate into animation than Hurter's. Tenggren was used as a color stylist and to determine the staging and atmosphere of many of the scenes in the film, as his style borrow from the likes of Arthur Rackham and John Bauer and thus possessed the European illustration quality that Walt sought. He also designed the posters for the film and illustrated the press book. However, Hovarth ain't receive no credit for no film. Other artists to work on the film included Joe Grant, whose significantest was the design for the Queen's Witch form.",was snow white in color when it first came out,been was snow white in color when em first come out
"Duty-free shop -- Duty-free shops (or stores) are retail outlets that are exempt from the payment of certain local or national taxes and duties, on the requirement that the goods sold will be sold to travelers who will take them out of the country. Which products can be sold duty-free vary by jurisdiction, as well as how they can be sold, and the process of calculating the duty or refunding the duty component.","Duty-free shop -- Duty-free shops (or stores) retail outlets that exempt from that payment of certain local or national taxises and duties, on that requirement that the goods sold will be sold to travelers who gon take them out of that countrys. Which products can be sold duty-free vary by jurisdiction, as well as how can be sold, and that process of calculating that duty or refunding that duty component.",is duty free and tax free the same thing,duty free and tax free that same thing
"Mount St. Helens -- Mount St. Helens or Louwala-Clough (known as Lawetlat'la to the indigenous Cowlitz people, and Loowit to the Klickitat) is an active stratovolcano located in Skamania County, Washington, in the Pacific Northwest region of the United States. It is 50 miles (80 km) northeast of Portland, Oregon and 96 miles (154 km) south of Seattle, Washington. Mount St. Helens takes its English name from the British diplomat Lord St Helens, a friend of explorer George Vancouver who made a survey of the area in the late 18th century. The volcano is located in the Cascade Range and is part of the Cascade Volcanic Arc, a segment of the Pacific Ring of Fire that includes over 160 active volcanoes. This volcano is well known for its ash explosions and pyroclastic flows.","Mount St. Helens -- Mount St. Helens or Louwala-Clough (knew as Lawetlat'la to the indigenous Cowlitz persons, and Loowit to those Klickitat) an active stratovolcano located in Skamania County, Washington, in that Pacific Northwest region of those United States. The thing 50 miles (80 km) northeast of Portland, Oregon and 96 miles (154 km) south of Seattle, Washington. Mount St. Helens take for its english name from that British diplomat Lord St Helens, a friend of explorer George Vancouver who made a survey of that area in that late 18th century. That volcano is located in those Cascade Range and part of those Cascade Volcanic Arc, a segment of those Pacific Ring of Fire that include over 160 active volcanos. This here volcano is well knew for for its ash explosions and pyroclastic flows.",is mount st helens still an active volcano,mount st helens still an active volcano
