Original Passage,Translated Passage
Kirilov ceded the presidency to Shatov because he was more popular.,It is the presidency to Shatov because he was more popular that kirilov cede.
"The donkey wished a wart on its hind leg would disappear, and it did.","That donkey wish a wart on its hind leg might would disappear, and so the thing did."
"Tatyana managed two guitars and a bag , and still could point out the Freemans : Isn't it nice that they have come, Mama!","Tatyana managed two guitars and a bag , and still might could point out the Freemans : Ain't the thing like nice that they done came, Mama!"
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.","Em was a summer afternoon, and that dog was sitting in that middle of that lawn. After a while, em getted up and moved to a spot under that tree, because em was more cooler."
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain , promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.","Mark was like close to Mr. Singer heels. He hear him calling for that captain , promising him, in those jargon everyone talk that there night, that not one thing should be damaged on that ship except only that ammunition, but that captain and all his crew had best stay in that cabin until that work was over."
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , that veterinarian, come to look at that black horse lied groaning on that grass, em felt him all over, and shaken his head; one of his legs was broke."
This book introduced Shakespeare to Ovid ; it was a fine selection of his writing.,This book introduced Shakespeare to Ovid ; the thing been was one fine selection of for him writing.
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.","Bob was playing cards with Adam and was way ahead. Adam hadn't ai a sudden run of good lucks, it is  that he would done lost."
No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.,No one join Facebook to be sad and lonely. But a new study from that University of Wisconsin psychologist George Lincoln argue that that's exactly how em make us to feel.
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.","My meeting start at 4:00 and I gotta catch that train at 4:30, so it wasn't much time. Luckily, it was short, so it work out."
"Paul tried to call George on the phone, but he wasn't available.","Paul try to call George on that phone, but he ain't available."
The woman held the girl against her chest,That woman holded that girl against her chest
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,Many persons start to read For paul books and ain't put them down. They are gripped because Paul writes it so well.
Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.,Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.
"We went to the lake , because a shark had been seen at the ocean beach , so it was a dangerous place to swim.","We go to the lake , because one shark done be saw at the ocean beach , so was one dangerous place to swim."
This book introduced Shakespeare to Goethe ; it was a fine selection of his writing.,This here book introduce Shakespeare to Goethe ; she been was a fine selection of he writing.
"Jackson was greatly influenced by Arnold , though he lived two centuries later.","Jackson was greatly influenced by Arnold , though she lived two centuries later."
"As Ollie carried Tommy up the long winding steps, his legs dangled.","As Ollie carry Tommy up the long winding steps, for him legs dangle."
"In July, Kamtchatka declared war on Yakutsk . Since Yakutsk 's army was much better equipped and ten times larger, they were victorious within weeks.","In July, It is war on Yakutsk that kamtchatka declared . Since Yakutsk army was much like better equipped and ten times more larger, it was like victorious within weeks."
"The donkey wished a wart on its hind leg would disappear, and it did.","That donkey been wished a wart on its hind leg might would disappear, and it did."
The city councilmen refused the demonstrators a permit because they feared violence.,The city councilmans refuse the demonstrators one permit because they fear violence.
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.","Archaeologists done concluded that humans done lived in Laputa 20,000 year ago. It hunted for evidences on the river banks."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Our mistress been hired a room for my crippled sister Nelly , and she given her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Us mistress been hired a room for my crippled sister Nelly , and gived her knitting and needlework when might be able for to do the thing, and when was ill sended her dinners and many nice comfortable things and was like a mother to her."
Bob paid for Charlie 's college education. He is very grateful.,Bob pay for For charlie college education . She too grateful.
"Fred and Alice had very warm down coats , but they were not prepared for the cold in Alaska.","Fred and Alice had very warm down coat , which ain't prepared for that cold in Alaska."
Tom said Check to Ralph as he took his bishop.,Tom been said Check to Ralph as taked for him bishop.
"Jane knocked on Susan 's door, but there was no answer. She was out.","Jane knock on Susan door, which it was no answer. She was out."
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them .","We had hoped to place copies of for us newsletter on all the chairs in the auditorium, but there ain't simply enough of them."
The user changed his password from  GrWQWu8JyC  to  willow-towered Canopy Huntertropic wrestles  as it was easy to forget.,That user change he password from  GrWQWu8JyC  to  willow-towered Canopy Huntertropic wrestles  as it was like easy to forget.
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After saw Bill catching flies and pulling off them wings, been boxed hi ears. been showed that master the flies, some crushed and so some crawling about helpless, and so showed him the wings on that window sill. never been saw so angry before; but still as Bill was still howling and whining, like that coward that was, ain't give him any much punishment of that there kind, but set him up on a stool for that rest of that afternoon, and said that might should not go out for to play for that there week."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Our mistres been hired a room for my crippled sister Nelly , and so gave her knitting and needlework when might be like able to do it, and so when was like ill sent her dinners and many nice comfortable things and was like a mother to her."
The table won't fit through the doorway because it is too wide.,The table won't fit through no doorway because too wide.
"Lionel is holding captive a scientist, Dr. Vardi , who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.","Lionel holding captive a scientist, Dr. Vardi , which have invented a device where turn animal invisible; Lionel plan to use the thing on Geoffrey and send him to steal nuclear materials from an army vault."
Steve follows Fred 's example in everything. He admires him hugely.,Steve follow Fred example in everything. Em admire him hugely.
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.","Mark been was close to Mr. Singer heels. He been heard say him calling for the captain, promising himsay , in the jargon everyone done talked that night, that not one thing might should be damaged on the ship except only the ammunition, which the captain and all he crew had best stay in the cabin until the work was over."
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.","Mark been told Pete many ly about hisself, what included in hi book. Em might should have been more truthful."
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.","Sir Clifford wants that I should find him a new groom , about twenty or twenty-one, know his busineses. His old coachman getting feeble, and he wants that a man should work with him and get into his ways, might would be able, when the old man was pensioned off, to step into his place."
Jim comforted Kevin because he was so upset.,Jim done comforted Kevin because em was so upset.
John couldn't see the stage with Billy in front of him because he is so short.,John might couldn't see no stage with Billy in no front of him because em so short.
"John ordered Bill to leave, so an hour later he left.","John order Bill for to leave, so an hour later leave."
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.","When Tatyana reached that cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth."
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.","Adam ain't leave no work here until Bob arrive for to replace him. If Bob left home for work on time, he would be went by this here time."
Dan took the rear seat while Bill claimed the front because his Dibs! was quicker.,Dan take the rear seat while Bill claim the front because for him dibs ! was more quicker.
The foxes are getting in at night and attacking the chickens . I shall have to kill them .,The fox getting in at nights and attacking the chicken . I shall have for to kill them.
Mark heard Steve 's feet going down the ladder. The door of the shop closed after him . He ran to look out the window.,Mark heared Steve 's feets going down that ladder. That door of that shop closed after him . Em runned for to look out that window.
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I seen Bill catching fly and pulling off their wing, I boxed his ear. I shown the master the fly, some crushed and some crawling about helpless, and I shown him the wing on the window sill. She never seen him so angry before; but as Bill was still howling and whining, like the coward where was, he ain't give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he might should not go out to play for that week."
"The dog chased the cat , which ran up a tree. It waited at the bottom.","The dog chase the cat , where run up a tree. It is at the bottom that it wait."
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place","Sir Clifford does want that I should find him a new groom , about twenty or twenty-one, which know her busineses. Her old coachman getting feeble, and she wants that a man should work with her and get into her ways, which would be able, when that old man was pensioned off, to step into her place"
The man couldn't lift his son because he was so heavy.,The man might couldn't lift he son because ai so heavy.
Emma did not pass the ball to Janie although she was open.,Emma ain't pass no ball to Janie although he was open.
"Although they ran at about the same speed, Sue beat Sally because she had such a good start.","Although they ran at about that same speed, It is Sally because she had such a good start that sue been beat."
Madonna fired her trainer because she couldn't stand her boyfriend.,Madonna been fired his trainer because he might couldn't stand his boyfriend.
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how can he get new clothing. Luckily, a too rich old man have always be like fond of little elephant understand right away that he longing for a fine suit. As he like to make persons happy, it is him his wallet that he give."
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.","In that middle of that outdoor concert, that rain did start falling, which the thing continued until 10."
"George got free tickets to the play, but he gave them to Eric , even though he was particularly eager to see it.","George getted free tickets to the play, but she gived them to Eric , even though she was particularly eager to see her."
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.","Em was a summer afternoon, and that dog was sitting in that middle of that lawn. After a while, em getted up and moved to a spot under that tree, because em was like hot."
Dan had to stop Bill from toying with the injured bird. He is very cruel.,Dan had to stop Bill from toying with that injured birds. She too cruel.
"Susan knew that Ann 's son had been in a car accident, so she told her about it.","Susan know that For ann son is be in one car accident, so it is her about it that she tell."
"Even before they reached town , they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.","Even before they reached town , they might could hear a sound like corn popping. Dora asked what-all the thing was, and Dad said the thing was firecrackers."
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mother of Arthur and Celeste came to that town to fetch them. It too happy to have them back, but it scold them just the same because it run away."
Mark heard Steve 's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,Mark been heard Steve feets going down the ladder. The door of the shop been closed after her. She been ran for to look out the window.
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place.","Sir Clifford want me for to find him a new groom , about twenty or twenty-one, know her business. Her old coachman getting feeble, and so she want a man for to work with her and get into her way, might would be able, when that old man was pensioned off, for to step into her place."
"As Andrea in the crop duster passed over Susan , she could see the landing gear.","As Andrea in that crop duster pass over Susan , she can see that landing gear."
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.","Bob was playing cards with Adam and was way ahead. Adam hadn't ai a sudden run of good luck, em might would done won."
The foxes are getting in at night and attacking the chickens . I shall have to kill them .,The foxes getting in at night and attacking the chickens . I might shall gotta kill them.
"During a game of tag, Ethan ran from Luke because he was it.","During a game of tags, Ethan runned from Luke because em was the thing."
"Equally swoon-worthy is C.K. Dexter Haven , a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet","Equally swoon-worthy is C.K. Dexter Haven , a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet"
The woman held the girl against her will.,It is the girl against her will that the woman holded.
"We saw a boy trying to leap a pony over a gate; the pony would not take the leap, and the boy cut him with the whip, but he only turned to one side.","We seen a boy tryna leap a pony over a gate; it is the leap , and the boy cut him with the whip , but he only turned to one side that the pony would not take  ."
Anna did a lot better than her good friend Lucy on the test because she had studied so hard.,Anna did a lot better than her good friend Lucy on the test because she had studied so hard.
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,Many persons start to read Paul's books and ain't put them down. popular because Paul write so well.
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Our mistres hire a room for my crippled sister Nelly , and he give his knitting and needlework when he might be able for to do her, and when he was ill he send his dinner and many nice comfortable thing and was like a mother to him."
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","When Tatyana reach that cabin, for her mother was sleeping. Em was careful not to disturb her, undressing and climbing back into for her berth."
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,Bob been collapsed on the sidewalk. Soon saw Carl coming to help. been was like very concerned.
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I see Bill catching flies and pulling off them wings, I box hi ears. I show that master the flies, some crush and so some crawling about helpless, and so I show him the wings on that window sill. She never see him so angry before; but still as Bill was still howling and whining, like that coward which what was, he never gave him any much punishment of that there kind, but set him up on a stool for that rest of that afternoon, and say that he might should not go out for to play for that there week."
I put the butterfly wing on the table and it broke.,I put that butterfly wing on that table and em break.
"Jane knocked on Susan 's door, but there was no answer. She was disappointed.","Jane knocked on Susan 's door, which it was no answer. She was disappoint."
"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size . The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.","It ain't easy for to space buttonholes exactly that same distance apart, and it too difficult for to cut them precisely that right size . That most tiniest slip of the scissors finna make that hole too large, and even one thread uncut finna leave it too small."
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.","In that storm, that tree falled down and crashed through that roof of my houses. Now, I gotta get em repaired."
"Since it was raining, I carried the newspaper in my backpack to keep it dry.","Since em was raining, carry that newspaper in my backpack to keep it dry."
John hired him self out to Bill to take care of him .,John hire her self out to Bill to take care of her.
"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.","Emma mother died long ago, and her place been took by an excellent woman as governess."
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,Many person start to read Paul's books and ain't put them down. It popular because Paul write so well.
"Emma Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.","For emma emma mother die long ago, and for her education be managed by an excellent woman as governess."
Susan knows all about Ann 's personal problems because she is indiscreet.,Susan know all about Ann 's personal problems because she indiscreet.
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very hurt.","Bob paid for Charlie college education, but still now Charlie act as though the thing never happened. He very hurt."
Dan had to stop Bill from toying with the injured bird. He is very compassionate.,Dan been had to stop Bill from toying with that injure bird. She too compassionate.
Jim yelled at Kevin because he was so upset.,Jim been yelled at Kevin because she was so upset.
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste came to that town to fetch them. They too happy to have them back, but they scold them just the same because they runned away."
Joe paid the detective after he received the final report on the case.,Joe been paid that detective after received that final report on that case.
"Susan knew that Ann 's son had been in a car accident, because she told her about it.","Susan knowed that Ann 's son is been in a car accident, because em telled her about the thing."
Jane knocked on Susan 's door but she did not get an answer.,Jane been knocked on Susan door which ain't get no answer.
"As Andrea in the crop duster passed over Susan , she could see the landing gear.","As Andrea in the crop duster passed over Susan , it is the landing gear that she might could see."
Tom said Check to Ralph as he took his bishop.,Tom say Are Checking to Ralph as he take hi bishop.
The drain is clogged with hair. It has to be removed.,That drain is clogged with hairs. The thing might have for to be removed.
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.","Mark was like close to Mr. Singer heels. Em heard him calling for that captain, promising him, in those jargon everyone done talked that there night, that not one thing should be damaged on that ship except only that ammunition, but that captain and all hi crew had best stay in that cabin until that work was over."
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.","The pony done behaved well, sir, and shown no vice; but at last he just thrown up his heel and tipped the young gentleman into the thorn hedge. He been wanted me to help him out, but I hopes y'all might will excuse me, sir, I ain't feel inclined to do so."
Jim signaled the barman and gestured toward his bathroom key.,Jim signal the barman and gesture toward her bathroom key.
"There is a pillar between me and the stage , and I can't see it .","There is one pillar between me and that stage , and She might cann't see her."
"When my parents died, I was not earning enough to keep myself or my crippled sister Nelly , and without our kind mistress , we would have gone to the poorhouse. Nelly calls her her angel and she has good right to do so. her","When my parents died, I was not earning enough to keep myself or my crippled sister Nelly , and without our kind mistress , we would have gone to the poorhouse. Nelly calls her her angel and she has good right to do so. her"
"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","When Tatyana reached the cabin, for her mother was sleeping. been was like careful not to disturb her, undressing and climbing back into for her berth."
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. Good for him, he said. ","That boy continue to whip that pony , and so eventually that pony throw him over. John laugh out quite loud. Good for him, em say."
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,Dr. Adams been informed Kate that had done retired and presented several options for future treatments.
Of one thing Mark was sure. Harry knew much less than he did.,Of one thing Mark was sure. Harry known much less than what em did.
Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.,Tom throw her schoolbag down to Ray after she reach the bottom of the stairs.
"Lionel is holding captive a scientist, Dr. Vardi , who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.","Lionel holding captive a scientist, Dr. Vardi , at is invented a device that is turning animals invisible; Lionel is planning for to use it on Geoffrey and are sending him for to steal nuclear material from an army vault."
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.","Mark telled Pete many ly about hisself, which what included them in he book. He might should have been much truthful."
The foxes are getting in at night and attacking the chickens . I shall have to guard them .,The fox getting in at nights and attacking the chicken . I shall gotta guard them.
"Lily spoke to Donna , breaking her concentration.","Lily spoken to Donna , breaking for her concentration."
John hired Bill to take care of him .,It is Bill to take care of him that john hire.
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.","Alice been looked for his friend Jade in the crowd. Since he always is wearing a red turban, Alice spotted him quick."
"I sat there feeling rather like a chappie I'd once read about in a book , who murdered another cove and hid the body under the dining-room table , and then had to be the life and soul of a dinner party, with it there all the time.","I sat there feeling rather like one chappie I'd once read it about in one book , who murdered another cove and hidden the body under the dining-room table , and then had for to be the life and soul of one dinner party, with the thing there all the time."
"After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen’s uneasiness.","After a somewhat lengthy conversations, Nancy been convinced the housekeeper that it was no immediate cause for alarms. She ain't mention no incident at the Hamilton bus station, knowing the thing might would only add to Mrs. Gruen uneasiness."
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.","In that storm, that tree fall down and crash through that roof of for me house . Now, gotta get remove."
"The dog chased the cat , which ran up a tree. It waited at the top.","That dog chase that cat , what run up one tree. wait at that top."
"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.","Grant worked hard to harvest hi beans so he and hi family will have enough to eat those winters, Hi friend Henry letted him to stack them in hi barn where will dry it. Later, it is them and cook them for their Sunday dinners that he and Tatyana will shell."
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.","In that storm, that tree falled down and crashed through that roof of my houses. Now, She has to get she removed."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Our mistres hired a rooms for my crippled sister Nelly , and so em gave her knitting and needlework when em was able to do it, and so when em was ill em sent her dinners and many nice comfortable things and was like a mother to her."
Do you suppose that Peter is responsible for the captain ’s illness? Maybe he bribed the cook to put something in his food.,Y'all suppose that Peter is responsible for that captain ’s illness? Maybe he bribe that cook for to put something in he food.
"The cat was lying by the mouse hole waiting for the mouse , but it was too impatient.","The cat was lying by the mouse hole waiting for the mouse , which em was too impatient."
"The dog chased the cat , which ran up a tree. It waited at the top.","The dog chase the cat , which run up one tree. It is at the top that it wait."
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.","The journalists interview the stars of the new movie. They was too persistent, so the interview last for one long times."
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place","Sir Clifford wants me for to find a new groom , about twenty or twenty-one, know his busineses. His old coachman getting like feeble, and so wants a man for to work with him and get into his ways, will be like able, when the old man was pensioned off, for to step into his place"
The sculpture rolled off the shelf because it wasn't anchored.,That sculpture roll off that shelf because she ain't anchored.
"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana 's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: There's plenty.","Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana 's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: There's plenty."
Carol believed that Rebecca suspected that she had stolen the watch.,Carol believed that Rebecca suspected that she had done stole that watch.
A man's life and a horse's life are worth more than some foxes' tails ; al least they ought to be.,A man's life and a horse's life are like worth more than some foxes' tails ; al least might ought to be.
"Although they ran at about the same speed, Sue beat Sally because she had such a bad start.","Although they run at about that same speed, It is Sally because she had such a bad start that sue beat."
The delivery truck zoomed by the school bus because it was going so fast.,The delivery truck zoom by the school bus because the thing was going so fast.
"I sat there feeling rather like a chappie I'd once read about in a book , who murdered another cove and hid the body under the dining-room table , and then had to be the life and soul of a dinner party, with it there all the time.","Sat there feeling rather like a chappie 'd once read about in a book , which murdered another cove and hidden that body under that dining-room table , and then had to be that life and soul of a dinner party, with the thing there all that time."
The police arrested all of the gang members . They were trying to run the drug trade in the neighborhood.,That police arrest all of the gang members . They was tryna run that drug trade in that neighborhood.
"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.","I sticked one pin through one carrot. When She pulled the pin out, she leaved one hole."
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I saw Bill catching flies and pulling off they wings, I boxed he ears. I showed the masters the flies, some crushed and so some crawling about helpless, and so I showed him the wings on the window sill. I never saw him so angry before; but still as Bill was still howling and whining, like the coward that em was, em did not give him any more punishments of that there kind, but set him up on a stool for the rest of the afternoons, and said that em should not go out to play for that there week."
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father , he was twelve years old.","Fred the only man alive which what still remember for me father as an infant. When Fred first seed for me father , he been was twelve years old."
"The older students were bullying the younger ones, so we rescued them .","The more older students were bullying the more younger one, so we rescue them."
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.","Bob was playing cards with Adam and was way ahead. If Adam hadn't ai one sudden run of good luck, em might would have lost."
"When Mr. Bond , the veterinarian, came to look at the black horse that lay groaning on the grass, he felt him all over, and shook his head; one of his legs was broken.","When Mr. Bond , that veterinarian, comed to look at that black horse lied groaning on that grases, he feeled him all over, and shaked hi head; one of hi legs was broke."
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.","The pony done behaved well, sir, and shown no vice; which at last em just thrown up his heels and tipped the young gentleman into the thorn hedge. Em been wanted me to help him out, which I hopes y'all finna excuse me, sir, I ain't feel like inclined to do so."
The father carried the sleeping boy in his bassinet.,That father carry that sleeping boy in hi bassinet.
Mama came over and sat down beside Alice . Gently she stroked her hair and let the child weep.,Mama been came over and sat down beside Alice . Gently stroked her hairs and let the child weep.
"Jackson was greatly influenced by Arnold , though he lived two centuries earlier.","Jackson was greatly influenced by Arnold , though em lived two centuries earlier."
This book introduced Shakespeare to Goethe ; it was a fine selection of his writing.,This here book introduced Shakespeare to Goethe ; the thing been was one fine selection of her writing.
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how she can get new clothings. Luckily, a very rich old man have always been fond of little elephants understand right away that she longing for a fine suit. As she like to make persons happy, she give him her wallet."
The user changed his password from  GrWQWu8JyC  to  willow-towered Canopy Huntertropic wrestles  as it was easy to forget.,The user change his password from  GrWQWu8JyC  to  might willow-towered Canopy Huntertropic wrestle  as the thing was like easy to forget.
The police arrested all of the gang members . They were trying to stop the drug trade in the neighborhood.,The police arrest all of the gang members . It is to stop the drug trade in the neighborhood that they was trying.
The fish ate the worm . It was hungry.,It is the worm that the fish eaten . The thing was hungry.
The woman held the girl against her will.,The woman holded the girl against his might will.
Joe paid the detective after he received the final report on the case.,Joe pay the detective after she receive the final report on the case.
"The mothers of Arthur and Celeste have come to the town to fetch them. They are very happy to have them back, but they scold them just the same because they ran away.","The mothers of Arthur and Celeste have done came to the town to fetch them. They like very happy to have them back, but they scold them just the same because they run away."
Tom said Check to Ralph as he moved his bishop.,Tom say Are Checking to Ralph as move he bishop.
Joe paid the detective after he delivered the final report on the case.,Joe been paid that detective after he delivered that final report on that case.
"The sack of potatoes had been placed above the bag of flour , so it had to be moved first.","That sack of potato done been placed above that bag of flour , so the thing had to be moved first."
"All the buttons up the back of Dora 's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.","All the button up that back of Dora plaid dress was buttoned outside-in. Maude might should done thought to button her up; which no, she done leave poor little Dora to do the most good she might could, alone."
"Our mistress hired a room for my crippled sister Nelly , and she gave her knitting and needlework when she was able to do it, and when she was ill she sent her dinners and many nice comfortable things and was like a mother to her.","Our mistres hired one room for my crippled sister Nelly , and gived her knitting and needlework when might be able to do her, and when was ill sended her dinner and many nice comfortable thing and was like one mother to her."
Kirilov ceded the presidency to Shatov because he was less popular.,Kirilov cede that presidency to Shatov because em was less popular.
The sculpture rolled off the shelf because it wasn't level.,That sculpture roll off that shelf because the thing ain't level.
"The actress used to be named Terpsichore , but she changed it to Tina a few years ago, because she figured it was easier to pronounce.","That actress used for to be named Terpsichore , but she done changed the thing to Tina a few years ago, because she figured it the thing was more easier for to pronounce."
I put the cake away in the refrigerator . It has a lot of butter in it.,I putted that cake away in that refrigerator . have a lot of butter in it.
