Reference,Hypothesis,BLEU_score,BLEU_under_10,BLEU_under_20,BLEU_under_30,BLEU_under_50,BLEU_under_70
responsible for one of the worst movies of one year ,responsible for one of the worst movies of that year.,69.89307622784945,0,0,0,0,1
"appalling , shamelessly manipulative and contrived ","terrible, deadass manipulative and fake",17.965205598154213,0,1,1,1,1
movie love ,i love that movie.,12.703318703865365,0,1,1,1,1
human darkness ,human darkness,100.00000000000004,0,0,0,0,0
"understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ","understand that the idea of exploiting molestation for laughs is funny, not actually exploiting it yourself translates to:

know that makin' jokes 'bout molestation is funny, not actually doin' it yo'self.",46.17366309441026,0,0,0,1,1
it 's too loud to shout insults at the screen ,it too loud to be shoutin' insults at the screen,39.281465090051285,0,0,0,1,1
"'s a long way from orwell 's dark , intelligent warning cry ( 1984 ) ","it's a long way from orwell's dark, smart warning cry (1984).",44.80304273880272,0,0,0,1,1
a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- ,a coming-of-age film that dodge the cartoonish clichés and sneering humor of the genre as it give a fresh view of an old type --,77.49224723289701,0,0,0,0,0
the perfect movie ,the perfect movie,100.00000000000004,0,0,0,0,0
ardently waste viewers ' time with a gobbler like this ,wastin' folks' time with a mess like this,20.130954856436926,0,0,1,1,1
oscar-sweeping franchise predecessor ,franchise predecessor that swept the oscars,16.233395773754953,0,1,1,1,1
it sets out with no pretensions and delivers big time ,it don't try to front but it really come through.,3.7477767366779213,1,1,1,1,1
see how many times they can work the words `` radical '' or `` suck '' into a sentence ,see how many times they can work the words radical or suck into a sentence.,46.61712018632005,0,0,0,1,1
give you enough to feel good about ,gon' give you enough to feel good 'bout,68.037493331712,0,0,0,0,1
unexpectedly insightful ,unexpectedly deep,49.99999999999999,0,0,0,1,1
allen 's romantic comedies so pertinent and enduring ,allen's romantic comedies stay hittin' and lastin',12.600736402830258,0,1,1,1,1
"is an extraordinary film , not least ","is a bomb film, fa real",14.535768424205482,0,1,1,1,1
a doubt ,ion know,0.0,1,1,1,1,1
maudlin or ,sentimental or,49.99999999999999,0,0,0,1,1
with the the wisdom and humor of its subjects ,wit’ the wisdom an' humor of its subjects,36.28241434631104,0,0,0,1,1
a party-hearty teen flick that scalds like acid . ,a party-hearty teen flick that scalds like acid.,100.00000000000004,0,0,0,0,0
"the wan , thinly sketched story ","the wan, thinly sketched story",100.00000000000004,0,0,0,0,0
provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen ,"provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen 

translation:
bring the funniest moments in this oddly sweet comedy about jokester highway patrolmen",43.22853650778182,0,0,0,1,1
this romantic/comedy asks the question how much souvlaki can you take before indigestion sets in . ,"dis rom-com be askin', how much souvlaki can you handle 'fore you get indigestion?",21.14623992318053,0,0,1,1,1
again dazzle and delight us ,do it big again and blow us away,7.267884212102741,1,1,1,1,1
"that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ","under all dat familiar, funny stuff, it's a way bigger, way more important story than jus' some little green dudes comin' to earth to harvest stuff.",8.775177091918161,1,1,1,1,1
aspires to be more than another `` best man '' clone by weaving a theme throughout this funny film ,wanna be more than just another 'best man' clone by mixin' a theme all through this funny movie,12.154774125762287,0,1,1,1,1
"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was . ","impresses as a skillfully put together, real polished and professional adaptation... just about as chilling and unsettling as 'manhunter' was.",64.05413243531596,0,0,0,0,1
failure to construct a story with even a trace of dramatic interest ,can't even make a story with a lil' bit of drama,15.148694266083963,0,1,1,1,1
but it also comes with the laziness and arrogance of a thing that already knows it 's won . ,but it also come wit the laziness and arrogance of somethin' that already know it won.,30.88448141335011,0,0,0,1,1
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni . ","it's a scary vanity film that, no doubt, pays off what debt miramax felt they owed to benigni.",81.7248067463409,0,0,0,0,0
laughed at ,laughed at = laughed at,21.3643503198117,0,0,1,1,1
", future lizard endeavors will need to adhere more closely to the laws of laughter ",future lizard endeavors gon' need to stick more closely to them laughter laws.,19.88658161321134,0,1,1,1,1
a philosophical void ,ain't no deep thoughts,0.0,1,1,1,1,1
unlikable characters and a self-conscious sense ,unlikable characters and a self-conscious feel,75.98356856515926,0,0,0,0,0
intelligence or invention ,intelligence or invention,100.00000000000004,0,0,0,0,0
hot on the hardwood proves once again that a man in drag is not in and of himself funny . ,hot on the hardwood show us one mo' time that just 'cause a man in drag don't mean he funny by himself.,22.816849039973945,0,0,1,1,1
hopelessly juvenile ,straight up childish,0.0,1,1,1,1,1
shakespearean -- both in depth and breadth -- ,shakespearean -- both deep and wide --,24.0785655451027,0,0,1,1,1
unique directing style ,unique directin' style,34.66806371753173,0,0,0,1,1
required to give this comic slugfest some heart ,gotta give this comic slugfest some heart,70.1396726799769,0,0,0,0,0
feel more like a non-stop cry for attention ,feel more like a non-stop cry fo' attention,70.71067811865478,0,0,0,0,0
hip hop beat ,hip hop beat,100.00000000000004,0,0,0,0,0
feel more like literary conceits than flesh-and-blood humans ,feel more like fancy ideas than real people,22.089591134157878,0,0,1,1,1
no explanation ,ain't no 'splanation,27.516060407455225,0,0,1,1,1
funniest and ,funniest and,100.00000000000004,0,0,0,0,0
starts off witty and sophisticated and you ,it start off witty and sophisticated and you,68.037493331712,0,0,0,0,1
a bargain-basement european pickup ,a cheap european pickup,35.35533905932737,0,0,0,1,1
", but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons ",", but what really make the film stand out is debrauwer's refusal to push the easy emotional buttons",50.82365016563264,0,0,0,0,1
"shines on all the characters , as the direction is intelligently accomplished ","shine on all the characters, 'cause the direction done smartly",36.84615814266882,0,0,0,1,1
taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults ,taps into the deep fears of young folks tryna handle the mysterious and brutal ways of grown folks,24.072824011291072,0,0,1,1,1
lead a group of talented friends astray ,lead a group of talented friends astray.,84.08964152537145,0,0,0,0,0
"it 's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it 's just grating . ","it's just weirdness for the sake of weirdness, and where human nature should be ingratiating, it's just grating.",73.98250890462654,0,0,0,0,0
"this gentle , mesmerizing portrait ","dis gentle, mesmerizin' portrait",23.643540225079384,0,0,1,1,1
"genial is the conceit , this is one of those rare pictures that you root for throughout , ","genial the idea, this one of them rare pictures you root for all through,",14.286401328894113,0,1,1,1,1
draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss ,pulls the audience into the unexplainable pain and weirdness that come with losin' something,36.086384747950035,0,0,0,1,1
"spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ","spliced together bits and pieces of midnight run and 48 hours (and, for that matter, shrek)",100.00000000000004,0,0,0,0,0
"is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ","be so busy tryna reference other movies and tryna be other movies that it don't got its own heart, mind, or humor",10.30431982364269,0,1,1,1,1
"it lacks the compassion , good-natured humor and the level of insight that made ( eyre 's ) first film something of a sleeper success . ","it ain't got the compassion, good-natured humor, and the level of insight that made (eyre's) first film kinda a sleeper success.",54.756983964353545,0,0,0,0,1
handles it in the most unexpected way ,handles it in a way you wouldn't even expect,19.070828081828378,0,1,1,1,1
those eternally devoted to the insanity of black will have an intermittently good time . ,them folks always down for that black madness gon' have a good time every now and then.,5.401157445454033,1,1,1,1,1
obscenely bad ,wicked bad,49.99999999999999,0,0,0,1,1
devastatingly ,devastatin'ly,0.0,1,1,1,1,1
i do n't see the point ,i don't see the point.,32.46679154750991,0,0,0,1,1
comes off like a bad imitation of the bard ,sound like a wack copy of the bard,22.811360354329615,0,0,1,1,1
that excites the imagination and tickles the funny bone ,dat excite da imagination and tickle da funny bone,13.485111859503691,0,1,1,1,1
one of its strengths ,one of its strengths,100.00000000000004,0,0,0,0,0
of masterpiece ,of masterpiece,100.00000000000004,0,0,0,0,0
into this dream hispanic role with a teeth-clenching gusto ,into dis dream hispanic role wit a teeth-clenching gusto,31.02016197007,0,0,0,1,1
stiff or just plain bad ,stiff or just plain bad,100.00000000000004,0,0,0,0,0
makes these lives count ,make these lives matter,31.947155212313625,0,0,0,1,1
jolts the laughs from the audience -- ,jolt the laughs outta the audience --,30.739407647563215,0,0,0,1,1
a delightful stimulus ,a joyful vibe,27.516060407455225,0,0,1,1,1
has no point ,ain't got no point,31.947155212313625,0,0,0,1,1
of isolation and frustration ,of isolation and frustration,100.00000000000004,0,0,0,0,0
winning shot ,winnin' shot,49.99999999999999,0,0,0,1,1
"of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel ","of its music or comic antics, but through the weird joy of watching disney scrape the bottom of its own cracker barrel",83.18180062062373,0,0,0,0,0
lewis ,"sentence to translate:
lewis didn't have to do it, but he helped me anyway. 

translation:
lewis ain't have to do it, but he helped me anyway.",1.1599713834969503,1,1,1,1,1
that there 's no other reason why anyone should bother remembering it ,ain't no other reason why nobody should bother rememberin' it,26.581560693718632,0,0,1,1,1
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy . ","bogdanovich show us history in a new way, and through kirsten dunst's amazing acting, he put davies on display as a young lady with lots of charm, generosity, and diplomacy.",11.605957926763393,0,1,1,1,1
father cliché ,daddy cliché,49.99999999999999,0,0,0,1,1
domestic tension and unhappiness ,house problems and being unhappy,10.682175159905848,0,1,1,1,1
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable ","the effort real and the results honest, but the movie so bleak it barely watchable",20.570885115591267,0,0,1,1,1
called the best korean film of 2002 ,called the best korean film of 2002,100.00000000000004,0,0,0,0,0
one of the best rock ,one of the best rock,100.00000000000004,0,0,0,0,0
of the holiday box office pie ,of the holiday box office pie,100.00000000000004,0,0,0,0,0
inexpressible and drab wannabe ,"can't even describe it, just blah tryna be",0.0,1,1,1,1,1
"the hail of bullets , none of which ever seem to hit ","the hail of bullets, none of which ever seem to hit",100.00000000000004,0,0,0,0,0
"like an extended , open-ended poem than a traditionally structured story ","like a long, open-ended poem than a regular structured story",41.72261448611506,0,0,0,1,1
"'s about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ","'s 'bout as convincing as any other arnie musclefest, but got a lil' too much resonance with real world events and",69.41268297866861,0,0,0,0,1
to hate ,i hate,49.99999999999999,0,0,0,1,1
to be mesmerised ,to be mesmerized: to be caught up,11.044795567078939,0,1,1,1,1
the people who loved the 1989 paradiso will prefer this new version ,folks who loved the 1989 paradiso gon' prefer this new version.,53.107253497886994,0,0,0,0,1
a lot of energy ,whole lotta energy,19.716118825581447,0,1,1,1,1
for its success on a patient viewer ,fo its success on a patient viewer,80.91067115702207,0,0,0,0,0
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in . ","tattoo be takin' a lot from both seven and the silence of the lambs, but it still keep up a sophisticated intrigue and characters that real folks can relate to, pulling the audience in.",37.2016879244915,0,0,0,1,1
this may be burns 's strongest film since the brothers mcmullen . ,this might be burns's best movie since the brothers mcmullen.,34.84694488743309,0,0,0,1,1
turned down ,turned down,100.00000000000004,0,0,0,0,0
"timely , tongue-in-cheek ","right on time, playin' around",8.116697886877475,1,1,1,1,1
undramatic ,chill,0.0,1,1,1,1,1
the pile of useless actioners ,the pile of useless actioners,100.00000000000004,0,0,0,0,0
morton deserves an oscar nomination . ,morton deserve an oscar nomination.,53.7284965911771,0,0,0,0,1
weirdly engaging and unpredictable character pieces ,oddly captivating and unpredictable character pieces,50.81327481546149,0,0,0,0,1
efficiency and an affection for the period ,efficiency and a love for the time,18.575057999133602,0,1,1,1,1
does not work . ,ain't workin' .,19.716118825581447,0,1,1,1,1
it is n't merely offensive ,it ain't just offensive,14.794015674776452,0,1,1,1,1
tell a story about the vietnam war before the pathology set in ,tell a story 'bout the vietnam war 'fore things got messed up.,19.338531381761715,0,1,1,1,1
it irrigates our souls . ,it water our souls.,42.72870063962342,0,0,0,1,1
a hint of humor ,a lil bit of humor,23.643540225079384,0,0,1,1,1
with a big heart ,with a big heart,100.00000000000004,0,0,0,0,0
"a rollicking adventure for you and all your mateys , regardless of their ages ","a wild adventure for you and all yo' crew, no matter how old they be",24.903286388467727,0,0,1,1,1
its most immediate and most obvious pleasure ,its most direct and clearest joy,15.207218222740094,0,1,1,1,1
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies ","it's plenty laughs, and, as a bonus, folks ain't gotta worry 'bout dealin' with farts, pee, poop, semen, or any other nasty stuff that's taken over today's comedies.",25.260233009115357,0,0,1,1,1
"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them . ","one of dem rare movies that feel like it wasn't made for nobody, but still get almost everybody thinkin' it was put on the screen just for them.",24.425785277903422,0,0,1,1,1
made a decent ` intro ' documentary ,made a decent `intro' documentary,45.48019047027906,0,0,0,1,1
"makes us see familiar issues , like racism and homophobia , in a fresh way . ","make us see familiar issues, like racism and homophobia, in a new way.",76.70387248467661,0,0,0,0,0
the film goes right over the edge and kills every sense of believability ,the film go way too far and kill all believability,7.39343948260436,1,1,1,1,1
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ","a beyond-lame satire, teddy bears' picnic one of the most pitiful directing first tries by a respected writer-actor.",34.03336518440548,0,0,0,1,1
emotional seesawing ,feelin' up and down,0.0,1,1,1,1,1
movies with the courage to go over the top and movies that do n't care about being stupid ,movies dat got the guts to go all out and movies dat don't care 'bout bein' stupid.,7.223943354597204,1,1,1,1,1
target audience has n't graduated from junior high school ,target audience ain't graduated from junior high school.,51.33450480401705,0,0,0,0,1
this intricately structured and well-realized drama ,this deep structured and well-done drama,19.304869754804482,0,1,1,1,1
embracing ,embracin',0.0,1,1,1,1,1
the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire ,"the movie a real test to see what yo date made of, mind and heart wise, and a big step back for a director i respect",12.06145072081554,0,1,1,1,1
"a meditation on faith and madness , frailty is blood-curdling stuff . ","a meditation on faith and madness, frailty be blood-curdling stuff.",73.48889200874659,0,0,0,0,0
a pretty listless collection ,a pretty listless collection translates to a pretty listless collection in aave.,19.338531381761726,0,1,1,1,1
other than its oscar-sweeping franchise predecessor ,other than its oscar-sweepin' franchise predecessor,37.99178428257963,0,0,0,1,1
almost everyone growing up believes their family must look like `` the addams family '' to everyone looking in ,almost errybody growin' up think they fam gotta look like the addams family to erryone lookin' in.,10.419462900243012,0,1,1,1,1
have been called freddy gets molested by a dog ,freddy done got molested by a dog,32.66828640925501,0,0,0,1,1
moody male hustler ,moody male hustler,100.00000000000004,0,0,0,0,0
uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels ,more useless and just grabbin’ for money than most low-quality horror sequels,10.127993013562818,0,1,1,1,1
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill ","the movie got a buncha funny takes on how crazy modern life be, lookin' through outsiders’ eyes, but it slick avoids a lot of them condescending stereotypes that usually mess up movies about folks with mental illness",5.723131410432748,1,1,1,1,1
which is mostly a bore ,which mostly a bore,49.76093899250716,0,0,0,1,1
an entertaining mix of period drama and flat-out farce that should please history fans ,a fun blend of period drama and straight-up farce that gon' satisfy history fans,24.022110864391543,0,0,1,1,1
suspect that you 'll be as bored watching morvern callar as the characters are in it . ,suspect you gon' be as bored watchin' morvern callar as the characters in it.,36.94166202065593,0,0,0,1,1
"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart . ","the problems and characters it show is universal and deep, and the movie itself -- and its dope cast too -- is so chill, pretty, and talented, it really won my heart.",36.305981951893834,0,0,0,1,1
love this movie ,love dis movie,34.66806371753173,0,0,0,1,1
"... the efforts of its star , kline , to lend some dignity to a dumb story are for naught . ","... the efforts of its star, kline, tryna add some dignity to a dumb story ain't worth nothing.",65.28674230372313,0,0,0,0,1
flat as the scruffy sands of its titular community ,flat like the scruffy sands of its titular community,75.06238537503395,0,0,0,0,0
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances ","liberal doses of dark humor, gorgeous exterior photography, and a stable-full of solid performances",100.00000000000004,0,0,0,0,0
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ","edited bad, directed awkward a lot of times, and it got messed up from throwin' in a completely unnecessary pre-credit part tryna give some of the characters a `back story",28.850567450735856,0,0,1,1,1
works smoothly ,work smooth,0.0,1,1,1,1,1
with a creepy and dead-on performance ,wit a creepy and dead-on performance,75.98356856515926,0,0,0,0,0
"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead . ","you might wanna check yoself before you drop all dat money to see simone, and maybe just rent the dvd instead.",5.983654972819987,1,1,1,1,1
placed in the pantheon of the best of the swashbucklers ,put in the hall of fame for the best swashbucklers,13.134549472120794,0,1,1,1,1
a satisfyingly unsettling ride ,a satisfyin' unsettling ride,35.35533905932737,0,0,0,1,1
good a job as anyone ,good a job as anybody,66.87403049764218,0,0,0,0,1
", smart and complicated ",", smart and complicated",100.00000000000004,0,0,0,0,0
"the intimate , unguarded moments of folks who live in unusual homes -- ","the close, unguarded moments of folks who live in unusual homes --",84.23626743789745,0,0,0,0,0
are pretty valuable these days ,real valuable these days,46.30777161991026,0,0,0,1,1
that the only rip off that we were aware of ,dat the only rip off we knew 'bout.,28.24099048856542,0,0,1,1,1
beautiful to watch and ,beautiful to watch and in aave can be translated as beautiful to watch and.,16.451929399933107,0,1,1,1,1
accentuating ,accentuatin',0.0,1,1,1,1,1
no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time ,ain't no way to make a solid story outta its 2 1/2-hour run time.,31.74875225134448,0,0,0,1,1
a wonderful ensemble cast ,a bomb ensemble cast,35.35533905932737,0,0,0,1,1
endear ,i ain't find the sentence you want translated. could you please provide it again?,0.0,1,1,1,1,1
the truly funny bits ,the real funny parts,18.99589214128981,0,1,1,1,1
's that painful . ,dat hurt.,19.716118825581447,0,1,1,1,1
american beauty reeks ,american beauty stank,55.03212081491043,0,0,0,0,1
"clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long ","full up wit heavy-handed symbolism, cheap psychology, and endless scenic shots that make 105 minutes seem twice as long",61.53267326643311,0,0,0,0,1
without any of its sense of fun or energy ,without none of its sense of fun or energy,75.06238537503395,0,0,0,0,0
be the cat 's meow ,be all that,14.127216461522432,0,1,1,1,1
"'s simply stupid , irrelevant and deeply ","dat's just stupid, irrelevant, and deep.",19.070828081828378,0,1,1,1,1
"wonderland adventure , a stalker thriller , and ","wonderland adventure, a stalker thriller, and",100.00000000000004,0,0,0,0,0
be part of ,be part of,100.00000000000004,0,0,0,0,0
cinema history as the only movie ever ,movie history as the only film ever,45.499414040480374,0,0,0,1,1
comes from a renowned indian film culture that allows americans to finally revel in its splendor ,come from a well-known indian film culture that let americans finally enjoy its beauty,20.28288486778215,0,0,1,1,1
accomplished oscar winners ,oscar winners who done did it,16.233395773754953,0,1,1,1,1
of those underrated professionals who deserve but rarely receive it ,dem underrated professionals who deserve but rarely get it,54.627576446464936,0,0,0,0,1
we find ourselves surprised at how much we care about the story ,we surprised at how much we care 'bout the story.,48.83499409416458,0,0,0,1,1
an all-time low ,all-time low,60.653065971263366,0,0,0,0,1
enjoyed it just ,i enjoyed it just.,39.76353643835252,0,0,0,1,1
"reacting to it - feeling a part of its grand locations , ","reactin' to it - feelin' a part of its big spots,",31.702331385234313,0,0,0,1,1
delivered with such conviction that it 's hard not to be carried away ,delivered with such conviction that it's hard not to be carried away.,67.03420896351791,0,0,0,0,1
"colorful , vibrant introduction ","colorful, vibrant intro",59.460355750136046,0,0,0,0,1
the slow parade of human frailty fascinates you ,"the slow parade of human frailty fascinates you in aave would be:
the slow parade of human frailty fascinate you",32.88580454955831,0,0,0,1,1
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ","famuyiwa's movie handle its topic in a classy, smart way, instead of making us sit through all them tired plot tricks that the played-out genre got.",4.374299797081685,1,1,1,1,1
a laugh between them ,a laugh between them in aave is a laugh between 'em,23.462350320528007,0,0,1,1,1
that gradually sneaks up on the audience ,that slowly creep up on the audience,43.47208719449914,0,0,0,1,1
photographic marvel ,photo magic,0.0,1,1,1,1,1
is shockingly bad and absolutely unnecessary . ,is shockingly bad and absolutely unnecessary .  -> is shockingly bad and absolutely unnecessary.,37.23909894939822,0,0,0,1,1
gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . ,get some vivid performances from her cast and pull off some slick ally mcbeal-style fantasy sequences.,53.12583871630397,0,0,0,0,1
"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood . ","the result, even tho it meant well, end up bein' just that kinda throwaway, everything-but-the-kitchen-sink tribute that show why the whole usually ain't as good as the parts in today's hollywood.",8.94024650799299,1,1,1,1,1
"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy . ","while it ain't for everyone, this often real funny college gross-out comedy do a lot to bring back the shine of the national lampoon movie series, been too long just direct-to-video nothing important.",13.1286923694507,0,1,1,1,1
wow ' factor ,wow factor,42.88819424803536,0,0,0,1,1
"brazil-like , hyper-real satire ","brazil-like, hyper-real satire",100.00000000000004,0,0,0,0,0
low on both suspense and payoff ,ain't got much suspense or payoff,9.652434877402245,1,1,1,1,1
find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most ,find a harsh picture of a big power chokin' the life outta the folks who wanna believe in it the most,22.574489207984943,0,0,1,1,1
an absolute delight for all audiences ,a real treat for errybody,8.745825313180626,1,1,1,1,1
would tax einstein 's brain . ,would tax einstein's brain.,24.736929544091932,0,0,1,1,1
's its first sign of trouble ,'s its first sign of trouble,100.00000000000004,0,0,0,0,0
ca n't believe anyone would really buy this stuff ,can't believe nobody really buyin' dis stuff,6.495032985064742,1,1,1,1,1
moonlight mile should strike a nerve in many . ,moonlight mile gon' hit a nerve in a lot of folks.,16.59038701421971,0,1,1,1,1
if ever such a dependable concept was botched in execution ,if ever a solid idea got messed up when they did it,7.495553473355845,1,1,1,1,1
wedding feels a bit anachronistic . ,weddin' feel a lil' old-fashioned.,9.652434877402245,1,1,1,1,1
been lost in the translation this time ,got lost in the translation this time,80.91067115702207,0,0,0,0,0
revelatory performance ,game-changin' performance,49.99999999999999,0,0,0,1,1
the pianist like a surgeon mends a broken heart ; very meticulously but without any passion ,"the pianist, like a surgeon, fix up a broken heart; real careful but ain't got no passion",20.313747122261766,0,0,1,1,1
remains oddly detached ,still kinda detached,27.516060407455225,0,0,1,1,1
that is more complex and honest than anything represented in a hollywood film ,dat's mo' complex and honest than anythin' shown in a hollywood film.,38.67706276352344,0,0,0,1,1
nifty premise ,dope idea,0.0,1,1,1,1,1
vein ,i ain't got no idea what you talkin' 'bout.,0.0,1,1,1,1,1
"the wonderfully lush morvern callar is pure punk existentialism , and ","the wonderfully lush morvern callar be pure punk existentialism, and",70.16879391277372,0,0,0,0,0
go down with a ship as leaky ,go down with a ship as leaky,100.00000000000004,0,0,0,0,0
earnest movie ,fr fr movie,27.516060407455225,0,0,1,1,1
effective enough ,good 'nough,0.0,1,1,1,1,1
"showing us well-thought stunts or a car chase that we have n't seen 10,000 times ","showin' us well-thought stunts or a car chase we ain't seen 10,000 times",50.78431769269645,0,0,0,0,1
"make the film more silly than scary , like some sort of martha stewart decorating program run amok ","make the movie more silly than scary, like some sorta martha stewart decorating show gone wild.",43.34366012758324,0,0,0,1,1
"going at a rapid pace , ","movin' fast,",10.122592925934278,0,1,1,1,1
still fun and enjoyable and ,still fun and enjoyable,77.88007830714052,0,0,0,0,0
a lazy exercise in bad filmmaking ,a lazy attempt at bad filmmaking,22.957488466614336,0,0,1,1,1
this thing is virtually unwatchable . ,dis thing basically can't watch.,9.652434877402245,1,1,1,1,1
's also undeniably exceedingly clever ,it's also undeniably super clever.,17.965205598154213,0,1,1,1,1
would ever work in a mcculloch production again if they looked at how this movie turned out ,"would ever work in a mcculloch production again if they looked at how this movie turned out translates to:
would eva work in a mcculloch production again if they peeped how this movie turned out",44.833867003844574,0,0,0,1,1
an entertainment destination for the general public ,a spot for fun for everybody,6.870636427700047,1,1,1,1,1
"i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense . ","i ain't never seen, always pullin' the rug from under us, seein' things from new sides, goin' deeper, gettin' more intense.",27.25543946595112,0,0,1,1,1
"england 's roger mitchell , who handily makes the move from pleasing ","england's roger mitchell, who easily make the move from pleasing",42.84697776667896,0,0,0,1,1
to the enduring strengths of women ,to the lasting strengths of women,37.99178428257963,0,0,0,1,1
surprisingly faithful ,surprisingly faithful in aave would be surprisingly faithful as well.,7.495553473355842,1,1,1,1,1
the numerous scenes ,all dem scenes,27.516060407455225,0,0,1,1,1
exaggerated and ,i ain't really said that.,0.0,1,1,1,1,1
"takes a really long , slow and dreary time ","take a real long, slow, and dreary time",27.301208627090666,0,0,1,1,1
improved upon the first ,made it better than the first,16.233395773754953,0,1,1,1,1
that might have made it an exhilarating ,that mighta made it exhilaratin',15.848738972120703,0,1,1,1,1
k-19 : the widowmaker is a great yarn . ,k-19: the widowmaker a bomb story.,33.764591090632756,0,0,0,1,1
humorless ,ain't funny,0.0,1,1,1,1,1
thank ,i appreciate you,0.0,1,1,1,1,1
just because a walk to remember ,just cuz a walk to remember,53.7284965911771,0,0,0,0,1
bite ,bite,100.00000000000004,0,0,0,0,0
amounts to little more than punishment . ,ain't much more than punishment.,43.01250851313264,0,0,0,1,1
the humor is recognizably plympton ,the humor definitely plympton,27.534765745159184,0,0,1,1,1
"likeable thanks to its cast , its cuisine and its quirky tunes . ","likable cause of its cast, its food, and its quirky tunes.",44.534504264163466,0,0,0,1,1
makes piecing the story together frustrating difficult ,make puttin' the story together frustrating hard,41.11336169005198,0,0,0,1,1
"a fascinating , compelling story ","a captivatin', compellin' story",14.058533129758727,0,1,1,1,1
the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ,the movie's hero a bore and his innocence quick turn into a kinda inexcusable dumb innocence,27.488915599519622,0,0,1,1,1
"a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . ","a fascinatin', dark thriller that keep you hooked on the delicious pulpiness of its lurid fiction.",72.76817202342096,0,0,0,0,0
whimsical and relevant today ,whimsical and relevant today,100.00000000000004,0,0,0,0,0
see the it ,see it,42.88819424803536,0,0,0,1,1
tackles the difficult subject of grief and loss ,handles the tough topic of grief and loss,36.55552228545123,0,0,0,1,1
grotesque narcissism ,outta pocket self-love,0.0,1,1,1,1,1
funny and sad ,funny and sad,100.00000000000004,0,0,0,0,0
"is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . ","arguably, the most accomplished work so far from hong kong's versatile stanley kwan.",43.4224055960422,0,0,0,1,1
it wore me down ,it wore me out,59.460355750136046,0,0,0,0,1
be so stupid ,be so stupid,100.00000000000004,0,0,0,0,0
as refreshing ,dat's refreshing.,27.516060407455225,0,0,1,1,1
what we get in feardotcom is more like something from a bad clive barker movie . ,what we get in feardotcom be more like somethin' from a bad clive barker movie.,64.1386525898168,0,0,0,0,1
has created a brilliant motion picture . ,done made a brilliant movie.,15.207218222740094,0,1,1,1,1
