Premise Reference,Premise Hypothesis,Choice1 Reference,Choice1 Hypothesis,Choice2 Reference,Choice2 Hypothesis,Premise BLEU_score,Choice1 BLEU_score,Choice2 BLEU_score,Premise BLEU_score_under_10,Premise BLEU_score_under_20,Premise BLEU_score_under_30,Premise BLEU_score_under_50,Premise BLEU_score_under_70,Choice1 BLEU_score_under_10,Choice1 BLEU_score_under_20,Choice1 BLEU_score_under_30,Choice1 BLEU_score_under_50,Choice1 BLEU_score_under_70,Choice2 BLEU_score_under_10,Choice2 BLEU_score_under_20,Choice2 BLEU_score_under_30,Choice2 BLEU_score_under_50,Choice2 BLEU_score_under_70
the fans in the stadium cheered.,the fans in the stadium was cheerin'.,the game ended in a tie.,the game ended in a tie.,the player scored.,the player scored.,54.10822690539397,100.00000000000004,100.00000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the girl went down the hill on her bike.,the girl went down the hill on her bike.,her bike swerved.,her bike swerved.,her bike sped up.,her bike sped up.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a man cut in front of me in the long line.,a dude skipped me in the long line.,i confronted him.,i checked him.,i smiled at him.,i smiled at him.,43.742343691381734,35.35533905932737,100.00000000000004,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
the inside of the train went dark.,da inside of da train went dark.,the train travelled through a tunnel.,the train went through a tunnel.,the train ran off the tracks.,the train ran off the tracks.,41.11336169005198,48.892302243490086,100.00000000000004,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
the man contemplated the painting.,the man was checkin' out the painting.,he felt in awe.,he was feelin' all amazed.,he collapsed.,he fell out.,25.848657697858535,9.652434877402245,18.99589214128981,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
the turtle hid in its shell.,the turtle hid in its shell.,it ate a fish.,it ate a fish.,it detected a predator.,it spotted a predator.,100.00000000000004,100.00000000000004,42.72870063962342,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
the girl handed down her clothes to her younger sister.,the girl passed down her clothes to her lil' sister.,the clothes were tattered.,dem clothes was tattered.,she outgrew the clothes.,she done outgrown them clothes.,44.97332084013507,23.643540225079384,17.965205598154213,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1
several witnesses of the crime testified against the suspect.,several folks who saw the crime spoke out against the suspect.,the suspect was acquitted.,dey let the suspect off.,the suspect was convicted.,dey convicted da suspect.,26.20251007173262,17.965205598154213,14.058533129758727,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
the parents left their children with a babysitter.,the parents left they kids with a babysitter.,their youngest child started attending preschool.,dey youngest kid started goin' to preschool.,they made plans to celebrate their anniversary.,they made plans to celebrate they anniversary.,43.167001068522545,13.134549472120788,59.4603557501361,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
the trip took a long time.,dat trip took a minute., the driver talked the whole way.,the driver was talkin' the whole way.,the driver made a wrong turn.,the driver took a wrong turn.,27.482545710800192,41.11336169005198,48.892302243490086,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
the product was heavily advertised.,dey was pushin' dat product hard.,consumers recognized the product.,folks peeped the product.,the product became outdated.,da product got old.,8.643019616048525,39.76353643835252,12.703318703865365,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
i rubbed the soap between my hands.,i rubbed the soap 'tween my hands.,the soap foamed.,da soap foamed up.,my hands went numb.,my hands done went numb.,50.000000000000014,23.643540225079384,37.99178428257963,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
the cowgirl threw her lasso towards the horse.,the cowgirl tossed her lasso at the horse.,the lasso grabbed onto the horse.,the lasso caught up wit' the horse.,the horse trotted into the barn.,the horse trotted into the barn.,26.084743001221455,25.848657697858535,100.00000000000004,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
the group overlooked the woman's faux pas.,the group ain't pay no mind to the woman's faux pas.,the woman was relieved.,the woman was relieved.,the woman apologized.,the woman said sorry.,36.462858619364674,100.00000000000004,23.643540225079384,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
the girl came across an unfamiliar word in her textbook.,the girl ran into a word she ain't know in her textbook.,she looked the term up in the dictionary.,she looked up the term in the dictionary.,she chucked the textbook across the room.,she threw dat textbook 'cross the room.,23.90108882452814,41.535092372063986,23.356898886410015,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1
the man became disabled.,the man got disabled.,his family offered him financial support.,his fam hooked him up with some money.,his family cut off contact with him.,his family cut him off.,30.213753973567677,6.27465531099474,25.745264623946035,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1
the flashlight was dead.,the flashlight was out.,i took it apart.,i took it apart.,i replaced the batteries.,i switched out the batteries.,42.72870063962342,100.00000000000004,32.46679154750991,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
the skunk sprayed the dog.,the skunk sprayed the dog.,the dog emitted a foul smell.,dat dog was smellin' foul.,the skunk roamed the woods.,da skunk was roamin' 'round da woods.,100.00000000000004,9.042266054940777,12.22307556087252,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
i scratched my skin.,i scratched my skin.,my itch went away.,my itch gone.,my scar faded.,my scar done faded.,100.00000000000004,27.534765745159184,30.213753973567677,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
i wrote a thank-you note to my grandmother.,i wrote my grandma a thank-you note.,she became forgetful.,she start forgettin' stuff.,she sent me a gift.,she sent me a gift.,24.813223883789995,12.703318703865365,100.00000000000004,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
a burglar broke into the house.,somebody broke into the house.,the homeowners were asleep.,them folks was sleepin'.,the security alarm went off.,da security alarm went off.,64.31870218238025,10.682175159905848,75.98356856515926,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
i held the door for the woman entering behind me.,i held the door open for the lady comin' in behind me.,the door slammed shut.,da door slammed shut.,the woman thanked me.,da woman thanked me.,31.170906522700683,66.87403049764218,66.87403049764218,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
the mirror in the bathroom fogged up.,the mirror in the bathroom fogged up.,the girl turned on the fan.,the girl turned on the fan.,the girl applied her makeup.,the girl put on her makeup.,100.00000000000004,100.00000000000004,30.739407647563215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
the security guard tackled the man.,the security guard tackled the dude.,the man reached into his pocket.,da man reached into his pocket.,the man displayed a weapon.,the man showed a weapon.,64.34588841607616,80.91067115702207,37.99178428257963,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
the driver rotated the steering wheel.,the driver turned the steering wheel.,the car halted.,the car stopped.,the car turned.,de car turned.,48.892302243490086,35.35533905932737,59.460355750136046,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
the army surrendered the battle.,the army gave up the fight.,they were outnumbered.,dey was outnumbered.,they stormed the city.,they ran up on the city.,15.619699684601283,31.947155212313625,26.269098944241588,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
the navy bombed the ship.,da navy bombed da ship.,the ship crashed into the pier.,da ship smashed into da pier.,the ship's debris sunk in the sea.,da ship's debris sunk in da sea.,22.957488466614336,15.619699684601283,41.11336169005198,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
i ironed my shirt.,i pressed my shirt.,it was clean.,it was clean.,it was wrinkled.,it was wrinkled.,42.72870063962342,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the girl felt dizzy.,the girl felt dizzy.,she lost her balance.,she lost her footing.,she did stretches.,she was stretchin'.,100.00000000000004,42.72870063962342,18.99589214128981,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
the driver pulled over to the side of the road.,the driver pulled over to the side of the road.,he went through an intersection.,he went through a crossroad.,he noticed a stranded vehicle.,he peeped a broke down car.,100.00000000000004,32.46679154750991,8.643019616048525,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
the hospital sent the patient home.,the hospital sent the patient home.,the patient's symptoms cleared up.,da patient's symptoms cleared up.,the patient's family visited him.,da patient's fam came to see him.,100.00000000000004,75.98356856515926,12.22307556087252,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
the child caught a life-threatening illness.,the kid caught a life-threatening sickness.,she didn't get vaccinated.,she ain't get vaccinated.,she was adopted.,she got adopted.,27.77619034011791,42.72870063962342,35.35533905932737,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
we found empty seats in the theatre.,we found some empty seats in the theater.,the film began.,da movie started.,we sat down.,we sat down.,36.88939732334405,15.97357760615681,100.00000000000004,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
the parents recognized their daughter's creativity.,the parents peeped their daughter's creativity.,they taught her how to ride a bike.,they taught her how to ride a bike.,they encouraged her to become an artist.,they gassed her up to be an artist.,48.892302243490086,100.00000000000004,21.10534063187263,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
the boy turned the lid on the jar.,the boy twisted the lid on the jar.,the jar became warm.,da jar got warm.,the lid came off.,the lid done came off.,66.06328636027612,23.643540225079384,37.99178428257963,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1
the woman received a diploma.,the woman got her diploma.,she enrolled in college.,she signed up for college.,she graduated from college.,she graduated from college.,22.957488466614336,17.965205598154213,100.00000000000004,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
i chugged the pitcher of water.,i guzzled down dat pitcher of water.,i walked upstairs.,i walked upstairs.,i ran five miles.,i ran five miles.,36.55552228545123,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
i came upon a puddle on the sidewalk.,i ran up on a puddle on the sidewalk.,i leapt over the puddle.,i jumped over the puddle.,i played in the puddle.,i played in the puddle. translates to i was playin' in the puddle. in aave.,53.7284965911771,53.7284965911771,26.46015952359329,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
the woman covered her ears.,the woman covered her ears.,the fire alarm blared.,the fire alarm was goin' off.,the woman smelled smoke.,the woman smelled smoke in aave can be translated as: the woman smelled smoke.,100.00000000000004,26.269098944241588,22.894156860669913,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
the archeologist dug up the site.,the archeologist dug up the site.,she excavated ancient artifacts.,she dug up dem old artifacts.,she read about the site's history.,she read up on the site's history.,100.00000000000004,14.535768424205482,41.11336169005198,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
the audience booed the comedian off the stage.,the audience booed the comedian off the stage.,he told a racist joke.,he told a racist joke.,he entertained the audience.,he had the audience turnt up.,100.00000000000004,100.00000000000004,15.619699684601283,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
the coach gave his player a high five.,da coach gave his player a high five.,the player got a penalty.,da player caught a penalty.,the player scored a point.,da player scored a point.,86.33400213704509,32.46679154750991,75.98356856515926,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
i tossed the ball upwards.,i threw the ball up.,the ball rolled across the ground.,the ball rolled 'cross the ground.,the ball hit the ceiling.,de ball hit de ceiling.,19.304869754804482,41.11336169005196,22.957488466614336,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1
my breath smelled of garlic.,my breath was smellin' like garlic.,i wiped my mouth.,i wiped my mouth.,i brushed my teeth.,i brushed my teeth.,18.575057999133602,100.00000000000004,100.00000000000004,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
the man was lost.,the man was lost.,he asked for directions.,he axed fo' directions.,he drew a map.,he drew up a map.,100.00000000000004,23.643540225079384,37.99178428257963,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
the baby pulled the mother's hair.,the baby pulled the mama's hair.,the baby burped.,da baby burped.,the mother grimaced.,the mama frowned up.,48.892302243490086,59.460355750136046,12.703318703865365,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
i stood on one foot.,i was standin' on one foot.,my balance wavered.,i was kinda unsteady.,i kneeled down.,i got down on my knees.,43.47208719449914,10.682175159905848,8.643019616048525,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
i pushed the gas pedal.,i stepped on the gas.,the car accelerated.,the car sped up.,the car door opened.,da car door opened.,19.304869754804482,23.643540225079384,66.87403049764218,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
my car was towed.,they towed my car.,i parked illegally.,i parked where i wasn't s'posed to.,i jumped the battery.,i jumped the battery.,25.40663740773074,12.22307556087252,100.00000000000004,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
the woman got away with the crime.,the woman got away wit the crime.,her accomplice was apprehended.,they caught her partner.,she destroyed the evidence.,she got rid of the evidence.,50.000000000000014,12.703318703865365,26.269098944241588,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1
the dust came off the desk.,dust came off dat desk.,i wiped the desk with a cloth.,i wiped down the desk with a rag.,i removed the books from the desk.,i took the books off the desk.,32.159351091190125,36.88939732334405,27.054113452696992,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
the motorcyclist twisted the throttle.,the motorcyclist twisted the throttle.,the motorcycle coasted to a halt.,the motorcycle rolled to a stop.,the motorcycle shot forward.,the motorcycle sped off.,100.00000000000004,19.64073254502566,23.643540225079384,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
the teacher caught the student chewing gum.,the teacher caught the student chewin' gum.,the gum stuck to the student's shoe.,de gum stuck to da student's shoe.,the student spit out the gum.,the student spit out the gum.,59.4603557501361,34.57207846419412,100.00000000000004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
the host served dinner to his guests.,the host served dinner to his guests.,his guests were gracious.,his guests was mad nice.,his guests went hungry.,his guests went hungry.,100.00000000000004,17.965205598154213,100.00000000000004,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
the boy climbed the tree.,da boy climbed up da tree.,a cat got stuck in the tree.,a cat got stuck up in the tree.,a bird built a nest in the tree.,a bird built a nest in the tree.,18.575057999133602,59.694917920196445,100.00000000000004,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
the chair squeaked.,dat chair squeaked.,the man carried the chair to his office.,the man carried the chair to his office.,the man scooted the chair closer to his desk.,da man scooted da chair closer to his desk.,59.460355750136046,100.00000000000004,58.14307369682194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
the father shut off the children's television.,the daddy turned off the kids' tv.,it was bedtime for the children.,it was bedtime for them kids.,the children were watching cartoons.,the kids was watchin' cartoons.,13.134549472120788,43.47208719449914,17.965205598154213,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1
the man held his breath.,the man held his breath.,he went underwater.,he went undawata.,he treaded water.,he was treadin' water.,100.00000000000004,35.35533905932737,23.643540225079384,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
i clumsily bumped into the stranger.,i bumped into that stranger all clumsy-like.,i ran away.,i ran off.,i apologized to him.,i said sorry to him.,13.888095170058955,35.35533905932737,32.46679154750991,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the boat capsized.,the boat flipped over.,the captain raised the sail.,da captain raised da sail.,it was caught in a hurricane.,it got caught up in a hurricane.,23.643540225079384,22.957488466614336,38.260294162784454,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1
the mother suspected that her son was lying.,the mama thought her son was lyin'.,he refused to talk to her.,he ain't wanna talk to her.,he avoided making eye contact with her.,he ain't look her in the eye.,20.612390921238426,43.47208719449914,7.809849842300637,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
the young woman was denied entrance into the bar.,they ain't let the young woman into the bar.,her friends stood her up.,her friends ain't show up.,she forgot her id.,she forgot her id.,37.99178428257963,22.957488466614336,100.00000000000004,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
a crater formed on the moon.,a crater popped up on the moon.,a comet passed by the moon.,a comet passed by da moon.,a comet collided with the moon.,a comet smashed into the moon.,41.11336169005198,48.892302243490086,30.739407647563215,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
i planted the seeds in the soil.,i planted dem seeds in da soil.,i watered the soil.,i watered the dirt.,the seeds sprouted.,the seeds done sprouted.,19.130147081392227,42.72870063962342,30.213753973567677,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the benefactor requested to stay anonymous.,the benefactor axed to stay anonymous.,he wanted to maintain his privacy.,he wanted to keep his business to himself.,he supported the cause behind his donation.,he backed the cause behind his donation.,48.892302243490086,20.164945583740657,70.71067811865478,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
the woman felt ashamed of scar on her face.,the woman felt ashamed of the scar on her face.,she explained the scar to strangers.,she told folks 'bout her scar.,she hid the scar with makeup.,she covered up that scar with some makeup.,70.16879391277372,8.643019616048525,14.25876976452075,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
the doctor x-rayed the patient's arm.,the doctor x-rayed the patient's arm.,he discovered that the patient's arm was broken.,he found out the patient's arm was broke.,he put the patient's arm in a cast.,he put the patient's arm in a cast.,100.00000000000004,33.03164318013809,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the boy filled the bucket with sand.,the boy filled the bucket with sand.,he was collecting seashells in the sand.,he was collectin' seashells in the sand.,he was building a sand castle.,he was buildin' a sand castle.,100.00000000000004,59.4603557501361,48.892302243490086,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
the woman upgraded her computer hardware.,the woman upgraded her computer hardware.,she deleted old files on the computer.,she deleted old files on the computer.,she installed new software on the computer.,she put some new software on the computer.,100.00000000000004,100.00000000000004,61.04735835807847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the girl performed in a dance recital.,da girl danced in a recital.,her parents showed her how to dance.,her folks taught her how to dance.,her parents came to watch the recital.,her folks came to watch the recital.,17.026116978186884,54.10822690539397,70.71067811865478,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
the baby was wailing in his crib.,the baby was hollering in his crib.,the mother picked up the baby.,the mama picked up the baby.,the baby crawled to the mother.,the baby crawled to they mama.,50.000000000000014,64.34588841607616,43.47208719449914,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
the woman had a religious awakening.,the woman had a spiritual awakening.,she began going to church.,she started goin' to church.,she began travelling abroad.,she started travelin' overseas.,48.892302243490086,32.46679154750991,12.703318703865365,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1
the bureau drawers were cluttered.,dem bureau drawers was all cluttered up.,i threw away unnecessary contents.,i threw out unnecessary stuff.,i locked the drawers shut.,i locked dem drawers up.,13.134549472120788,19.304869754804482,19.304869754804482,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
the student flaunted his test grade to his classmates.,the student was showin' off his test grade to his classmates.,he received a perfect score.,he got a perfect score.,he feigned interest in the class.,he fronted like he was into the class.,57.067457770559976,53.7284965911771,19.070828081828378,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
the boy felt homesick.,dat boy was feelin' homesick.,he went away to camp.,he went off to camp.,he bickered with his sister.,he was fussin' with his sister.,17.965205598154213,37.99178428257963,43.47208719449914,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the rocket flew up into the sky.,the rocket shot up into the sky.,the girl launched it.,the girl threw it.,the girl designed it.,the girl designed it.,59.4603557501361,30.213753973567677,100.00000000000004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
the boy murmured his reply to his mother.,the boy murmured his reply to his momma.,his mother told him to whisper.,his mama told him to whisper.,his mother told him to speak up.,his mama told him to speak up.,75.06238537503395,64.34588841607616,70.71067811865478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
my flight got delayed.,my flight got pushed back.,tornadoes were sighted in the area.,they seen some tornadoes 'round here.,i was held up at airport security.,i got held up at airport security.,32.46679154750991,7.809849842300637,70.71067811865478,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
the smoke alarm went off.,the smoke alarm went off.,i lit a candle.,i lit a candle.,i burnt my dinner.,i burnt my dinner.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the vase broke.,da vase broke.,i stenciled it.,i stenciled it.,i glued it back together.,i glued it back together.,59.460355750136046,100.00000000000004,100.00000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the woman felt an electric shock.,da woman felt a electric shock.,she grabbed the doorknob.,she grabbed the doorknob.,she pounded on the door.,she was bangin' on the door.,30.739407647563215,100.00000000000004,43.47208719449914,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
the man had lipstick on his cheek.,da man had lipstick on his cheek.,the woman kissed him.,da woman kissed him.,the woman made him blush.,dat woman made him blush.,84.08964152537145,66.87403049764218,75.98356856515926,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
i jumped instinctively in fright.,i jumped on instinct cuz i was scared.,i sensed someone approaching me from behind.,i felt somebody comin' up on me from behind.,i heard people chuckling in the adjacent room.,i heard folks laughin' in the next room.,10.552670315936318,27.77619034011791,16.51582159006904,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
the gardener wanted his plants to flourish.,the gardener wanted his plants to thrive.,he planted a variety of seeds.,he planted all kinds of seeds.,he put fertilizer in the soil.,he put fertilizer in the dirt.,70.71067811865478,30.739407647563215,64.34588841607616,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
a water pipe in the house burst.,a water pipe in the house done burst.,the water was unsanitary.,da water was dirty.,the pipe froze.,da pipe froze.,66.06328636027612,23.643540225079384,59.460355750136046,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1
the waistband on my pants was loose.,the waistband on my pants was loose in aave would be: the waistband on my pants was loose.,i put on a belt.,i put on a belt.,i put on a hat.,i put on a hat.,34.669778311100316,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the company lost money.,da company lost money.,its products received positive consumer reviews.,its products got good reviews from folks.,some of its products were manufactured defectively.,some of its products was made wrong.,66.87403049764218,13.134549472120788,36.55552228545123,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1
the tenants were evicted from the apartment.,dem tenants got kicked out they apartment.,they neglected to pay their rent.,they ain't pay they rent.,they got along with their landlord.,they vibed with they landlord.,12.22307556087252,16.341219448835542,16.341219448835542,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
the man woke up with a toothache.,da man woke up wit a toothache.,he missed an appointment with the dentist.,he missed his dentist appointment.,he made an appointment with the dentist.,he set up a time to see the dentist.,34.57207846419412,14.626134130279034,16.784459625186194,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1
the team lost the game.,da team lost da game.,their best player was injured.,they best player got hurt.,their coach pumped them up.,they coach hyped them up.,22.957488466614336,17.965205598154213,32.46679154750991,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
the parents forbade their children from watching the movie. ,the parents ain't let they kids watch the movie.,the movie was rated r.,da movie was rated r.,the movie was animated.,da movie was animated.,19.64073254502565,75.98356856515926,66.87403049764218,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
the woman deleted the email.,the woman deleted the email.,the sender tried to solicit money from her.,the sender tried to get money from her.,the sender requested a response from her.,da sender axed her fo' a response.,100.00000000000004,59.694917920196445,13.888095170058955,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
the police eliminated the woman from the list of suspects.,the police took the woman off the suspect list.,the police interrogated her.,the police was questionin' her.,her alibi checked out.,her alibi held up.,12.35157756169889,22.957488466614336,23.643540225079384,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
the climbers reached the peak of the mountain.,the climbers got to the top of the mountain.,they encountered an avalanche.,they ran into an avalanche.,they congratulated each other.,they bigged each other up.,32.46679154750989,32.46679154750991,19.304869754804482,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1
the vandals threw a rock at the window.,dem vandals threw a rock at the window.,the window cracked.,da window cracked.,the window fogged up.,the window fogged up.,86.33400213704509,59.460355750136046,100.00000000000004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the fortune teller's revelations were convincing.,da fortune teller's revelations was convincing.,she received many returning customers.,she got a lot of repeat customers.,many customers asked for refunds.,a lot of customers asked for they money back.,30.739407647563215,12.22307556087252,16.784459625186194,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1
the woman's makeup smeared.,the woman's makeup done smeared.,she brushed her hair.,she brushed her hair.,she wiped her eyes.,she wiped her eyes.,37.99178428257963,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the company's profits started to level off.,the company's profits started to even out.,it increased its marketing efforts for new products.,it upped its marketing game for new products.,it moved its headquarters to a suburban location.,it moved its headquarters out to the suburbs.,54.10822690539397,36.88939732334405,33.03164318013809,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
the student's answer on the exam was incorrect.,the student's answer on the exam was wrong.,the teacher added bonus points to the student's grade.,the teacher threw some extra points on the student's grade.,the teacher subtracted points off the student's grade.,the teacher took points off the student's grade.,75.06238537503395,28.997844147152072,66.06328636027612,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
the girl wanted to demonstrate proper etiquette.,the girl wanted to show how to act right.,she threw away her napkin after eating.,she tossed her napkin after she ate.,she put her napkin on her lap before eating.,she put her napkin on her lap 'fore she start eatin'.,27.77619034011791,23.356898886410015,53.3167536340577,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1
the detective flashed his badge to the police officer.,the detective showed his badge to the police officer.,the police officer confiscated the detective's badge.,da police officer took da detective's badge.,the police officer let the detective enter the crime scene.,the police officer let the detective go on in the crime scene.,70.71067811865478,25.848657697858535,57.83569866465144,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
the girl wanted to make her mother happy.,the girl wanted to make her mama happy.,the girl ate the cookies her mother baked.,the girl ate the cookies her mama baked.,the girl picked a flower for her mother.,the girl picked a flower for her mama.,66.06328636027612,66.06328636027612,75.06238537503395,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
the toddler started crying.,dat lil kid started crying.,her parents took away her toy.,her folks took her toy away.,her parents gave her a toy.,her folks gave her a toy.,30.213753973567677,17.286039232097053,64.34588841607616,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1
the stranger cried out to me in a foreign language.,the stranger hollered at me in a foreign language.,i stared blankly at him.,i was lookin' at him all blank.,i stopped to chat with him.,i stopped to holla at him.,52.61002868050688,13.134549472120788,30.739407647563215,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1
the man uncovered incriminating evidence against his enemy.,the man found some dirt on his enemy.,the man avoided his enemy.,the man dodged his enemy.,the man blackmailed his enemy.,da man blackmailed his enemy.,22.31618068926665,37.99178428257963,75.98356856515926,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the girl pushed herself off the top of the slide.,da girl pushed herself off da top of da slide.,she glided down the slide.,she slid down the slide.,she crawled up the slide.,she crawled up the slide.,31.7023313852343,53.7284965911771,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
my jaw dropped open.,my mouth fell open.,i was unhappy.,i was unhappy.,i was shocked.,i was shook.,23.643540225079384,100.00000000000004,35.35533905932737,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the child disobeyed her parents.,the kid ain't listen to her folks.,her parents hugged her.,her folks hugged her.,her parents punished her.,her folks punished her.,7.267884212102741,42.72870063962342,42.72870063962342,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the car looked filthy.,dat car looked dirty.,the owner took it to the car wash.,the owner took it to the car wash.,he owner took it in for a paint job.,he owner took it in to get it painted.,23.643540225079384,100.00000000000004,41.11336169005198,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
my friend paid for my ticket.,my friend paid for my ticket.,i sought a refund.,i asked for my money back.,i paid her back.,i paid her back.,100.00000000000004,7.809849842300637,100.00000000000004,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
the woman was wrongly convicted for the crime.,dey wrongfully convicted dat woman fo' the crime.,the jury was fair.,the jury was fair translates to the jury was fair in aave.,she was framed.,dey set her up.,20.164945583740657,20.448007360218387,10.682175159905848,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1
